1. die Blutabnahme | blood decrease | WRONG: blood draw/blood sample collection - Blutabnahme means taking a blood sample, not a decrease in blood.
541. die Lehrküche | apprenticeship cooking | WRONG: teaching kitchen/training kitchen - Lehrk?che is a teaching or training kitchen.
542. der Leidensweg | path of suffering | OK
543. die Leistungserhebung | benefit elevation | WRONG: performance assessment/test - Leistungserhebung means assessing or testing performance.
544. die Leistungsphase | work phase | WRONG: service phase/performance phase - Leistungsphase is a project service phase, not a work phase.
545. der Leitartikel | editorial/leader/leading article | OK
546. die Leite | slope/hillside | OK
547. das Leitziel | aim | IMPROVE: guiding objective/key objective - Leitziel is a guiding objective, not just any aim.
548. die Leuchtkraft | luminosity/luminous intensity | OK
549. die Lichtschranke | light barrier | OK
550. das Lid | eyelid | OK
551. das Wunschkennzeichen | request licence plate | WRONG: personalized license plate/custom plate - Wunschkennzeichen means a chosen custom licence plate.
552. der Liedtext | lyrics | OK
553. der Lieferengpass | supply bottleneck | OK
554. die Lindenallee | avenue | IMPROVE: linden avenue - Lindenallee specifically names an avenue lined with linden trees.
555. das Lippenbekenntnis | lip service | OK
556. der Liquidator | liquidator | OK
557. das Literaturfestival | literature festival | OK
558. die Literaturgeschichte | history of literature/literary history | OK
559. der Lizenzvertrag | licence agreement | OK
560. die Luftröhre | trachea/windpipe | OK
561. die Luftzufuhr | clock | WRONG: air supply - Luftzufuhr means supply of air, not a clock.
562. die Lymphdrainage | lymph drain/lymphatic drainage | OK
563. der Lyriker | lyricist | WRONG: poet/lyric poet - Lyriker means a poet, not normally a song lyricist.
564. die Ma | ma | OK
565. der Macho | macho | OK
566. die Magnolie | magnolia | OK
567. der Major | major | OK
568. der Malkurs | brand course | WRONG: painting course - Malkurs means a painting course.
569. die Maltechnik | painting technique | OK
570. die Mangrove | mangrove | OK
571. der Mannschaftswettbewerb | crew competition | WRONG: team competition - Mannschaftswettbewerb means a team competition.
572. das Manual | manual | OK
573. die Märchenwelt | fairy-tale world | OK
574. die Marienkapelle | chapel | IMPROVE: St Mary's Chapel/Marian chapel - Marienkapelle is specifically a chapel dedicated to Mary.
575. die Marionette | marionette/puppet | OK
576. der Marstall | royal stables | OK
577. der Massenmörder | mass murderer | OK
578. die Massenvernichtungswaffe | weapon of mass destruction | OK
579. das Mastschwein | mast pig | WRONG: fattening pig - Mastschwein is a pig raised for fattening.
580. die Materialität | materiality | OK
581. das Mausrad | mouse bicycle | WRONG: mouse wheel - Mausrad means the wheel on a computer mouse.
582. der Median | median | OK
583. die Mediatisierung | mediatisation | OK
584. die Meeresströmung | ocean current | OK
585. das Meersalz | sea salt | OK
586. der Mehrheitsbeschluss | majority decision | OK
587. die Mehrheitsgesellschaft | mainstream society/majority society | OK
588. der Meiler | atomic pile/charcoal kiln/pile | OK
589. die Melone | bowler hat/melon | OK
590. das Memoiren | memoirs | OK
591. die Menopause | menopause | OK
592. die Menschenkenntnis | knowledge of human nature | OK
593. das Menschsein | manhood/personhood | WRONG: being human/human existence - Menschsein means the state of being human.
594. die Metallindustrie | metal industry | OK
595. die Microsite | microsite | OK
596. die Telematikinfrastruktur | teleinformatics infrastructure | OK
597. das Mietfahrzeug | clamp vehicle | WRONG: rental car/hire vehicle - Mietfahrzeug means a rented vehicle.
598. der Mikrokredit | microcredit | OK
599. die Mikroskopie | microscopy | OK
600. der Milchschaum | milk foam | OK
601. der Militärputsch | military coup/military coup d’état | OK
602. das Minispiel | mini game/mini-game/minigame | OK
603. der Mischfonds | bond | WRONG: mixed fund - Mischfonds is an investment fund, not a bond.
604. das Mischgebiet | mixed-use area | OK
605. die Zahnarztpraxis | cog office | WRONG: dental practice - Zahnarztpraxis means a dentist's office.
606. die Missgunst | disfavour/envy/grudge | OK
607. der Missmut | discontent | OK
608. der Mitläufer | follower | OK
609. die Mittagshitze | midday heat | OK
610. der Mittelfinger | middle finger | OK
611. das Mittelohr | middle ear | OK
612. der Mittelsmann | middleman/intermediary | OK
613. das Modedesign | fashion design | OK
614. die Modularisierung | module Aryanisation | WRONG: modularization - Modularisierung means modularization, not module Aryanisation.
615. das Momentum | momentum | OK
616. die Montageanleitung | assembly instructions | OK
617. das Morgengrauen | dawn/daybreak | OK
618. die Morgenröte | aurora | OK
619. die Morningshow | show | WRONG: morning show - Morningshow means morning show.
620. der Mörtel | mortar | OK
621. das Moskitonetz | mosquito net | OK
622. das Motel | motel | OK
623. der Mulch | mulch | OK
624. das Multimeter | multimeter | OK
625. der Münchener | person from Munich | OK
626. der Mürbeteig | shortcrust pastry/shortpastry | OK
627. die Muse | muse | OK
628. der Museumsbesucher | museum visitor | OK
629. das Zittern | shivering/trembling | OK
630. die Musikbibliothek | music library | OK
631. der Musiksaal | music cavity | WRONG: music hall/music room - Musiksaal means a room or hall for music.
632. der Muskelschmerz | muscle ache | OK
633. die Musterfeststellungsklage | model declaratory action | OK
634. das Mutterland | home country/mother country/motherland | OK
635. das Muttermal | birthmark/mole/nevus | OK
636. der Nachhilfeunterricht | private tutoring/remedial lessons | OK
637. die Nachsicht | leniency | OK
638. der Tinnitus | tinnitus | OK
639. der Nachtbus | night bus | OK
640. die Nachtschicht | night shift | OK
641. die Nachtwache | nightwatch | OK
642. der Nachzug | follow-up move | OK
643. der Nährstoffgehalt | nutrient content | OK
644. der Namenstag | name day | OK
645. die Nazizeit | nazi time | WRONG: Nazi era - Nazizeit means the Nazi era, not Nazi time.
646. der Zivildienst | civil life duty | WRONG: civilian service - Zivildienst means civilian service.
647. das Nebenzimmer | side room/adjoining room | OK
648. der Neigungswinkel | affinity angle | WRONG: angle of inclination/tilt angle - Neigungswinkel means tilt or inclination angle.
649. das Abendmahl | Communion/Eucharist/Holy | OK
650. das Netzkabel | net cable | WRONG: power cord/mains cable - Netzkabel means a power or mains cable.
651. die Neubildung | creation | WRONG: new formation/neoplasm - Neubildung means a new formation, not creation in general.
652. die Neuropathie | neuropathy | OK
653. das Nichtgefallen | dislike/displeasure | OK
654. der Nichtwähler | nonvoter | OK
655. die Niederschlagung | suppression/quashing | OK
656. das Niedrigwasser | low tide | OK
657. der Norweger | Norwegian | OK
658. der Notartermin | notary date | WRONG: notary appointment - Notartermin means an appointment with a notary.
659. die Notwehr | legitimate self-defence/self-defence | OK
660. die Nutzungsänderung | use alteration | WRONG: change of use - Nutzungs?nderung is the established term for a change of use.
661. die Oberflächenbeschaffenheit | surface texture | OK
662. die Obrigkeit | authorities/authority | OK
663. die Obsession | obsession | OK
664. die Ode | ode | OK
665. das Offenland | open land/open countryside | OK
666. der Ohrstöpsel | earplug/eartip | OK
667. die Ökonomik | economics (study of) | OK
668. das Onlinemedium | media | WRONG: online medium - Onlinemedium means an online medium, not media in general.
669. das Onlineshopping | online shopping | OK
670. die Opernsängerin | opera singer (female) | OK
671. das Opiat | opiate | OK
672. das Optimum | optimum | OK
673. der Torf | peat | OK
674. die Organfunktion | organ function | OK
675. das Organigramm | organigram/organigramme/organisation chart | OK
676. die Orgelmusik | organ music | OK
677. der Ortswechsel | change of location | OK
678. der Os | esker/os | OK
679. die Osteopathie | osteopathy | OK
680. der Ostertag | east day | WRONG: Easter day - Ostertag means Easter day, not east day.
681. das Outing | coming out/outing | OK
682. der Overdrive | overdrive | OK
683. das Oxytocin | oxytocin | OK
684. die Pacht | lease | OK
685. das Palladium | palladium | OK
686. der Palmsonntag | Palm Sunday | OK
687. das Trainingslager | training camp | OK
688. die Papierindustrie | document industry | WRONG: paper industry - Papierindustrie means the paper industry.
689. der Papyrus | papyrus | OK
690. der Parkschein | parking ticket | OK
691. der Patriot | patriot | OK
692. das Trampolin | trampoline | OK
693. die Personalausgabe | personnel issue | WRONG: personnel expenses/staff costs - Personalausgabe means spending on personnel, not an issue.
694. die Personalunion | personal union | OK
695. die Personalwirtschaft | human resources management | OK
696. die Personenkontrolle | person control | WRONG: identity check/person check - Personenkontrolle means checking a person or identity.
697. das Persönlichkeitsmerkmal | personality trait | OK
698. der Pesto | pesto | OK
699. der Pfarrgemeinderat | councilman | WRONG: parish council - Pfarrgemeinderat is a parish council, not a councilman.
700. der Pferdemarkt | horse market | OK
701. die Pferderasse | horse breed | OK
702. das Pferderennen | horse race | OK
703. der Pfifferling | chanterelle/girolle | OK
704. der Pflanzenfresser | herbivore | OK
705. der Pflanzenrest | plant radical | WRONG: plant residue/plant remains - Pflanzenrest means plant residue, not a radical.
706. die Pflegeanstalt | nursing home/care institution | OK
707. das Phosphat | phosphate | OK
708. die Pilzart | fungal species/species of mushroom/type of mushroom | OK
709. die Piraterie | piracy | OK
710. die Abgabenordnung | casting order | WRONG: Fiscal Code/tax code - Abgabenordnung is the German tax code.
711. die Abschlussfeier | graduation ceremony | OK
712. das Polarlicht | aurora/aurora polaris/polar light | OK
713. das Politbüro | politburo | OK
714. die Politikwissenschaftlerin | policy scientist | WRONG: political scientist - Politikwissenschaftlerin means a female political scientist.
715. die Polizeiangabe | police declaration | WRONG: police statement - Polizeiangabe means a statement or information from police.
716. die Polizeibeamtin | police officer | OK
717. der Polizeisprecher | police speaker | WRONG: police spokesperson - Polizeisprecher means police spokesperson.
718. die Polizeistation | police station | OK
719. die Polizeiwache | police station | OK
720. das Poloshirt | polo/polo shirt | OK
721. der Polyeder | polyhedron | OK
722. der Pontifikat | pontificate | OK
723. der Porträtierte | portrait subject | OK
724. der Postkasten | collection box/drop box/letter box | OK
725. der Potsdamer | person from Potsdam | OK
726. das Präsidiumsmitglied | headquarters member | WRONG: executive committee member/presidium member - Pr?sidiumsmitglied is a member of a presidium or executive committee.
727. die Preissuchmaschine | comparison shopping site | OK
728. die Premiummarke | brand | WRONG: premium brand - Premiummarke means a premium brand.
729. der Pressetext | press release/press text | OK
730. das Priesteramt | priesthood/priestly office | OK
731. die Priesterweihe | ordination to the priesthood | OK
732. das Prinzenpaar | carnival royal couple | OK
733. der Privatmann | private individual | OK
734. der Problemlöser | problem-solver | OK
735. die Problemsituation | problem situation | OK
736. die Produktionsfläche | production area | OK
737. der Profisport | professional sport | OK
738. die Trauerfeier | funeral service | OK
739. der Promotionsausschuss | doctorate committee | OK
740. der Promovend | doctoral candidate | OK
741. die Prüfsumme | checksum | OK
742. das Prüfungsverfahren | examination procedure/review procedure | OK
743. das Psychologiestudium | psychology studies | OK
744. der Softwareentwickler | software developer | OK
745. das Putten | putting (golf) | OK
746. die Pyrotechnik | pyrotechnics | OK
747. das Quartalsende | quarter end | OK
748. der Quarz | quartz | OK
749. der Quell | spring/source (poetic) | OK
750. die Querstraße | road | WRONG: cross street/side street - Querstra?e is a cross street, not road in general.
751. der Racker | rascal | OK
752. die Radikalität | radicalism | OK
753. die Rapunzel | corn salad | OK
754. die Trocknung | drying | OK
755. die Ratlosigkeit | perplexity/helplessness | OK
756. der Alptraum | nightmare | OK
757. der Raumteiler | partition | OK
758. das Rauschgift | dope/drug | OK
759. das Re | re/regarding | OK
760. der Rechtsberater | law adviser | OK
761. der Reformer | reformer | OK
762. die Anfälligkeit | predisposition/sensitivity/vulnerability | OK
763. der Regenradar | rain radar | OK
764. der Regent | ruler/sovereign | OK
765. das Regierungsgebäude | government building | OK
766. die Anlagestrategie | investment strategy | OK
767. der Regionalexpress | express | WRONG: regional express train - Regionalexpress is a regional express train service.
768. der Reichspräsident | Reich chairman | WRONG: Reich President - Reichspr?sident is the title Reich President, not chairman.
769. der Reifenhersteller | tyre manufacturer | OK
770. die Reißleine | cord | WRONG: rip cord/pull cord - Rei?leine means a pull cord or rip cord.
771. der Reitstall | boxing agency | WRONG: riding stable - Reitstall means a riding stable.
772. der Reizhusten | dry cough/nervous cough | OK
773. die Reizüberflutung | sensory overload | OK
774. das Rekordjahr | record year | OK
775. das Rekordniveau | record level | OK
776. das Rekordtief | record depression | WRONG: record low - Rekordtief means a record low.
777. die Religionslehrerin | faith female | WRONG: religious education teacher (female) - Religionslehrerin means a female religion teacher.
778. das Tröpfchen | driblet/droplet/good wine | OK
779. das Restrisiko | residual risk | OK
780. die Revanche | revenge/return match | OK
781. die Revolte | revolt | OK
782. die Rheinseite | angle | WRONG: Rhine side/side of the Rhine - Rheinseite means one side of the Rhine.
783. der Rheumatologe | rheumatologist | OK
784. der Ritterschlag | knighthood/accolade | OK
785. die Rivalität | rivalry | OK
786. der Rochen | ray/skate | OK
787. das Röhricht | reed bed/reeds | OK
788. die Römerstadt | Roman centre | WRONG: Roman town/city - R?merstadt means a Roman town, not a centre.
789. das Rosengewächs | rose plant/member of the rose family | OK
790. der Rücklauf | response/return | OK
791. der Rückversicherer | reinsurer | OK
792. der Rückzieher | backdown/climb-down/climbdown | OK
793. der Rüde | male dog | OK
794. die Rundfunkgebühr | broadcasting fee | OK
795. die Rüsche | ruche/ruffle | OK
796. die Russin | Russian | OK
797. der Sachtext | business lyric | WRONG: factual text/nonfiction text - Sachtext means a factual or nonfiction text.
798. der Safety | safety | OK
799. das Sahnehäubchen | cherry on the cake/icing on the cake | OK
800. der Sakralbau | sacred architecture/sacred building | OK
801. die Sakristei | sacristy | OK
802. der Salto | salto/somersault | OK
803. der Salzstock | salt dome | OK
804. das Sammelbecken | basin | IMPROVE: collecting basin/reservoir - Sammelbecken is a collecting basin, not just any basin.
805. der Samurai | samurai | OK
806. das Sanatorium | sanatorium | OK
807. die Sandbank | sandbank/sandbar/shoal | OK
808. die Tücke | guile/malice/vice | OK
809. der Sarkasmus | sarcasm | OK
810. der Sarkophag | sarcophagus | OK
811. der Satzbau | sentence construction | OK
812. die Säuglingsnahrung | baby food | OK
813. die Schadstoffemission | pollutant emissions | OK
814. die Schafherde | flock of sheep | OK
815. die Schalotte | scallion/shallot | WRONG: shallot - Schalotte means shallot, not scallion.
816. der Schaltplan | circuit diagram/circuit layout/electronic schematic | OK
817. der Schamane | shaman | OK
818. die Schärfung | sharpening | OK
819. der Schieber | floodgate/gate valve/peddler | IMPROVE: slider/gate valve - These are the more useful common meanings of Schieber.
820. der Schießstand | shooting range | OK
821. die Schiffsreise | boat trip/voyage | OK
822. die Schläfe | temple | OK
823. der Schläfer | sleeper | OK
824. das Schlafsofa | day bed/sleeper/sofa bed | OK
825. der Schlagersänger | crooner | WRONG: Schlager singer/pop singer - Schlagers?nger means a singer of Schlager music, not a crooner.
826. die Schlammschlacht | mud fight | OK
827. die Schlampe | bitch/slut | OK
828. die Schlappe | defeat | OK
829. die Schlichtheit | plainness/simplicity | OK
830. der Schlüsselbund | bunch of keys | OK
831. das Schmecken | tasting | OK
832. die Schmerzgrenze | pain threshold | OK
833. das Schmuddelwetter | miserable weather/bad weather | OK
834. die Schneehöhe | snow altitude | WRONG: snow depth - Schneeh?he means snow depth, not altitude.
835. der Schnelldurchlauf | fast forward/quick run-through | OK
836. das Schnittchen | small canapé | OK
837. die Schokoladenfabrik | chocolate factory | OK
838. das Schönheitsideal | beauty ideal | OK
839. der Schoppen | tankard/measure of wine | OK
840. der Schotterweg | ballast method | WRONG: gravel path - Schotterweg means a gravel path.
841. der Antritt | start footstep | WRONG: start/debut - Antritt means a start, assumption of office, or debut, not a footstep.
842. die Schreibmaschine | typewriter | OK
843. die Schuldentilgung | debt redemption | OK
844. das Schuldverhältnis | obligation | OK
845. die Schuldverschreibung | bond | OK
846. der Schulkamerad | school buddy | OK
847. der Schulrat | school advice | WRONG: school inspector/education official - Schulrat is an education official or school authority, not advice.
848. die Schürfwunde | abrasion | OK
849. der Schutzanzug | protective suit | OK
850. der Schutzbereich | safe area | WRONG: protected area/protection zone - Schutzbereich means a protected area, not a safe area.
851. die Schutzschicht | protective layer | OK
852. der Schutzschirm | protective shield/rescue umbrella | OK
853. der Schwarzmarkt | black market | OK
854. das Schwätzchen | little chat | OK
855. das Schweinchen | piggy/piglet | OK
856. die Schweinegrippe | hog flu/pig flu/swine flu | OK
857. die Schwimmweste | life jacket | OK
858. die Seerose | water lily | OK
859. der Seestern | sea star/starfish | OK
860. die Segnung | blessing | OK
861. der Sehende | sighted person | OK
862. der Seitenaltar | side altar | OK
863. die Seitenlage | lateral position/side position | OK
864. das Seitenschiff | side aisle (church) | OK
865. der Seitensprung | affair/fling | OK
866. das Selen | selenium | OK
867. die Sendeanlage | transmitter/transmission facility | OK
868. der Sendesaal | cavity | WRONG: broadcasting hall/studio - Sendesaal means a broadcasting hall or studio.
869. der Separatist | separatist | OK
870. das Servicepersonal | service staff | OK
871. die Shareware | share ware/shareware | OK
872. der Sherry | sherry | OK
873. das Sicherheitsbedürfnis | need for security | OK
874. das Sicherheitspersonal | security personnel/security staff | OK
875. die Sicherheitsprüfung | safety check | OK
876. die Sicherungsübereignung | aptitude | WRONG: transfer by way of security - Sicherungs?bereignung is a legal security transfer, not aptitude.
877. der Silberpfeil | silver arrow | OK
878. die Sinfonie | sinfonia/symphony | OK
879. der Sirup | syrup | OK
880. die Sitzhaltung | sitting position/sitting posture | OK
881. der Skilanglauf | cross-country skiing | OK
882. die Slideshow | slide show/slideshow | OK
883. die Sockelleiste | skirting board/baseboard | OK
884. der Solarkollektor | solar collector | OK
885. die Solidargemeinschaft | community | WRONG: solidarity community - Solidargemeinschaft means a community based on solidarity.
886. die Solidarisierung | solidarization/showing solidarity | OK
887. das Sommerhalbjahr | summer half a year | IMPROVE: summer half-year - The current wording is unidiomatic; summer half-year is the standard form.
888. die Sommerhitze | summer heat | OK
889. das Sommerkleid | summer dress | OK
890. das Sommerloch | silly season | OK
891. der Sonderling | eccentric/queer fellow/singular man | OK
892. der Sonderweg | probe method | WRONG: special path/separate path - Sonderweg means a special or separate path, not a probe method.
893. die Songwriterin | songwriter (female) | OK
894. der Sonnenblumenkern | sunflower seeds | OK
895. der Sonnenkollektor | solar thermal collector | OK
896. das Sonnensegel | awning/solar sail/sun awning | OK
897. der Sonntagvormittag | Sunday forenoon | IMPROVE: Sunday morning - Forenoon is archaic; Sunday morning is the useful learner gloss.
898. die Sozialdemokratie | social democracy | OK
899. das Anziehen | getting dressed/putting on | OK
900. der Sozialstandard | social standard | OK
901. die Spange | braces/buckle/clasp | OK
902. die Spannkraft | tension force | IMPROVE: resilience/tension - Spannkraft often means resilience or tension, not simply a force.
903. der Speckgürtel | back fat belt | WRONG: commuter belt/suburban belt - Speckg?rtel is the belt of suburbs around a city.
904. der Speis | pantry/mortar | OK
905. das Spenderorgan | organ | WRONG: donor organ - Spenderorgan means donor organ.
906. der Spezialfall | special case | OK
907. die Spezifizierung | specification | OK
908. das Spiegelei | fried egg | OK
909. der Spielmacher | playmaker | OK
910. der Spielteilnehmer | game participant | OK
911. die Spielvereinigung | game association | WRONG: sports club/playing association - Spielvereinigung is a sports club or association, not a game association.
912. die Spindel | newel/spindle | OK
913. der Spitz | spitz (dog) | OK
914. der Spitzberg | Spitzbergen | WRONG: pointed mountain/Spitzberg - Spitzberg is not the place name Spitzbergen.
915. die Spitzenkandidatin | leading candidate (female) | OK
916. das Spitzmaulnashorn | black rhino/black rhinoceros/hook-lipped rhinoceros | OK
917. der Splitt | grit/chippings | OK
918. das Sportgymnasium | sport grammar school | WRONG: sports high school/sports grammar school - Sportgymnasium is a sports-focused secondary school.
919. die Sportschule | sport school | OK
920. die Sportverletzung | sports injury | OK
921. die Sprachfähigkeit | language ability | OK
922. der Spritzbeutel | pastry bag/piping bag | OK
923. das Spülbecken | sink | OK
924. die Staatsverwaltung | States administration | WRONG: state administration - Staatsverwaltung means state administration.
925. das Staatswesen | States being | WRONG: state system/polity - Staatswesen means the structure or system of the state.
926. der Stack | stack | OK
927. der Städtebund | league of cities | OK
928. das Stadtwappen | municipal coat of arms | OK
929. der Stammbaum | family tree/genealogical tree | OK
930. das Ständchen | serenade | OK
931. der Staphylococcus | staphylococcus | OK
932. der Stargast | star guest | OK
933. die Startzeit | start time | OK
934. die Steifigkeit | stiffness | OK
935. die Stiefelette | ankle boot/bootee/bootie | OK
936. das Stimmband | vocal cord | OK
937. die Stoffwechselstörung | metabolic disease/metabolic disorder | OK
938. das Storchennest | stork nest | OK
939. das Störgeräusch | sturgeon noise | WRONG: interference noise/background noise - St?rger?usch means unwanted interference noise.
940. das Storyboard | storyboard | OK
941. der Strafgefangene | detainee/prisoner | OK
942. der Strafprozess | criminal procedure | OK
943. der Strafverteidiger | criminal defence lawyer | OK
944. der Arbeitsauftrag | business application | WRONG: work order/work assignment - Arbeitsauftrag means a work assignment or order.
945. das Streichquartett | string quartet | OK
946. der Stromfresser | eater | WRONG: power guzzler - Stromfresser means a device that consumes a lot of electricity.
947. der Strommast | pylon | OK
948. der Stromnetzbetreiber | power supply network operator | OK
949. der Stuck | stucco | OK
950. die Studentenstadt | student centre | IMPROVE: student town/student residence complex - Studentenstadt is more specific than a student centre.
951. die Stulle | sandwich (regional) | OK
952. der Stupa | stupa | OK
953. der Stuttgarter | Stuttgarter | IMPROVE: person from Stuttgart/Stuttgart resident - This explains the demonym rather than repeating the German form.
954. das Sudoku | sudoku | OK
955. der Supersportwagen | supercar | OK
956. die Arbeitsbelastung | work strain/workload | OK
957. das Zubehör | accessory | IMPROVE: accessories/equipment - Zubeh?r is normally a collective noun, not one accessory.
958. das Symbolbild | representative image/symbolic image | OK
959. die Symbolfigur | icon figure | WRONG: symbolic figure/icon - Symbolfigur means a symbolic figure or icon.
960. das Tabakprodukt | tobacco product | OK
961. der Tabellenzweite | second-place team/runner-up (in standings) | OK
962. der Tadel | admonition/censure | OK
963. der Tagungsteilnehmer | conference participant | OK
964. die TAN | TAN | OK
965. die Tarifautonomie | free collective bargaining | OK
966. die Tätigkeitsbeschreibung | activity description | WRONG: job description/duties description - T?tigkeitsbeschreibung means a job or duties description.
967. der Tau | dew | OK
968. der Umriss | contour/outline | OK
969. der Teebeutel | tea bag | OK
970. der Teenie | teenager | OK
971. der Teilchenbeschleuniger | particle accelerator | OK
972. die Teildisziplin | subdiscipline | OK
973. das Tele | telephoto/tele | OK
974. die Telefonleitung | phone line/telephone circuit/telephone line | OK
975. der Tempomat | cruise control | OK
976. der Terme | terminus | WRONG: term/expression - Term in German mathematics means a term or expression, not terminus.
977. der Termindruck | date pressing | WRONG: deadline pressure/time pressure - Termindruck means pressure caused by deadlines.
978. die Terrassentür | French window/patio door/terrace door | OK
979. der Testbetrieb | check business | WRONG: test operation/trial operation - Testbetrieb means trial or test operation.
980. der Testosteronspiegel | testosterone level | OK
981. der Teststreifen | test strip | OK
982. die Textanalyse | lyric analysis | WRONG: text analysis - Textanalyse means text analysis, not lyric analysis.
983. die Textproduktion | text production | OK
984. die Arbeitsmedizin | occupational medicine | OK
985. das Thesenpapier | thesis document | IMPROVE: position paper/thesis paper - Thesenpapier is more naturally a position paper.
986. der Thinktank | think tank/think-tank/thinktank | OK
987. der Thronfolger | heir apparent/successor to the throne | OK
988. der Toast | toast | OK
989. das Tomatenmark | tomate paste/tomato purée | OK
990. das Töpfchen | potty | OK
991. das Topmodel | tube top model | WRONG: top model - Topmodel means a top model, not a tube top model.
992. das Topspiel | tube top game | WRONG: top match/top game - Topspiel means a top match or marquee game.
993. der Torfabbau | peat cutting | OK
994. der Törn | turn | WRONG: sailing trip/cruise - T?rn is a nautical trip, not a turn.
995. die Tortur | torture | OK
996. das Total | total | OK
997. die Touristeninformation | tourist information/tourist information centre | OK
998. der Touristiker | tourism professional | OK
999. die Umweltbelastung | environment burden | WRONG: environmental impact/environmental pollution - Umweltbelastung means environmental impact or pollution, not burden.
1000. die Toxikologie | toxicology | OK
