1. die Doppelseite | doubles angle | WRONG: double-page spread - Doppelseite means a two-page spread, not an angle.
538. der Schützenverein | contactor association | WRONG: shooting club/rifle club - Schuetzenverein means a marksmen's club, not a contactor association.
539. das Schutzziel | protection goal/objective | OK
540. der Schwächste | weakest one | OK
541. der Schwefel | brimstone/sulfur | OK
542. der Schweißausbruch | sweat break-out | IMPROVE: outbreak of sweating - Schweissausbruch is more natural as a sudden bout of sweating.
543. der Schweißer | welder | OK
544. die Schwiegertochter | daughter-in-law | OK
545. der Schwimmkurs | course | IMPROVE: swimming course/swimming lessons - Schwimmkurs specifically means swimming lessons or course.
546. der Seenotrettungskreuzer | Kreuzer | WRONG: sea rescue cruiser/lifeboat - Seenotrettungskreuzer is a rescue vessel, not just Kreuzer untranslated.
547. die Sehgewohnheit | habit | IMPROVE: viewing habit - Sehgewohnheit is a habit of viewing or watching, not habit in general.
548. die Sehschwäche | visual impairment/poor eyesight | OK
549. das Seilen | sailing | WRONG: roping/use of ropes - Seilen relates to ropes or roping, not sailing.
550. der Selbstkostenpreis | price | WRONG: cost price - Selbstkostenpreis means price at cost, not price in general.
551. das Selbstmanagement | self-management | OK
552. der Sheriff | sheriff | OK
553. die Shoah | Shoah/Holocaust | OK
554. das Shoppingcenter | mall/shopping centre | OK
555. die Sicherheitsfirma | security company | OK
556. die Sicherheitsstufe | assurance degree | WRONG: security level - Sicherheitsstufe means security level, not assurance degree.
557. der Sinneseindruck | sensory impression | OK
558. der Skeptiker | sceptic | OK
559. der Urlauber | holiday-maker/vacationist | OK
560. der Söldner | mercenary | OK
561. das Sommercamp | summer camp | OK
562. die Sonderausstattung | probe decor | WRONG: special equipment/options - Sonderausstattung means optional or special equipment, not probe decor.
563. der Sonderpädagoge | probe educator | WRONG: special education teacher - Sonderpaedagoge means special needs educator, not probe educator.
564. das Sonstige | other/miscellaneous | OK
565. die Sozialstruktur | structure | IMPROVE: social structure - Sozialstruktur specifically means social structure.
566. die Spanplatte | particle board | OK
567. das Sparprogramm | spare channel | WRONG: savings programme/austerity programme - Sparprogramm means a programme of savings, not a spare channel.
568. der Spaten | spade | OK
569. die Spätschicht | late shift | OK
570. die Speicheldrüse | salivary gland | OK
571. der Speiseraum | food region | WRONG: dining room - Speiseraum means dining room, not food region.
572. der Spekulant | speculator | OK
573. der Spielfeldrand | field edge | OK
574. die Spielgemeinschaft | game community | IMPROVE: gaming community/joint team - Spielgemeinschaft is more specific than a literal game community.
575. der Spieltrieb | game desire | WRONG: play instinct - Spieltrieb means the instinct to play, not game desire.
576. der Spitzenkoch | top chef | OK
577. der Spitzenpolitiker | top-level politician | OK
578. die Sprachprüfung | language certificate/language exam | OK
579. das Sprachspiel | language game | OK
580. die Pastorin | pastor (female) | OK
581. der Spross | cion/offspring/scion | OK
582. der Spuk | haunting/spook | OK
583. die Pflichtaufgabe | business abandonment | WRONG: mandatory task - Pflichtaufgabe means an obligatory task, not business abandonment.
584. der Stadtname | city name | OK
585. das Stammbuch | family register | OK
586. die Stanze | stanza | IMPROVE: punch/stanza - Stanze can mean a punch or a stanza; the current gloss gives only the less general literary sense.
587. die Startbahn | runway | OK
588. die Startbedingung | starting condition | OK
589. der Politikwissenschaftler | political scientist/politologist | OK
590. die Staustufe | backing up degree | WRONG: barrage/weir - Staustufe is a river barrage or weir, not a backing-up degree.
591. die Stecknadel | ballhead pin/pin/sewing pin | OK
592. die Powerbank | powerbank | OK
593. das Stellwerk | interlocking station/signal box/switch tower | OK
594. die Sterberate | installment | WRONG: death rate/mortality rate - Sterberate means death rate, not installment.
595. die Sterblichkeitsrate | mortality installment | WRONG: mortality rate - Sterblichkeitsrate means mortality rate, not installment.
596. der Steuermann | coxswain/helmsman/steersman | OK
597. die Steuerungstechnik | control equipment | WRONG: control technology - Steuerungstechnik means control engineering or technology, not equipment in general.
598. die Stiefmutter | stepmother | OK
599. der Stiefvater | stepfather | OK
600. die Stifterin | founder/donor (female) | OK
601. die Stimmungslage | mood/prevailing mood | OK
602. die Strahlendosis | radiation dose | OK
603. das Straßenbild | road idea | WRONG: street scene - Strassenbild means the appearance or scene of a street, not a road idea.
604. die Straßenecke | street corner | OK
605. der Streifenwagen | panda car/patrol car/prowl car | OK
606. die Streu | litter/mulch | OK
607. das Stromkabel | power cable | OK
608. die Stromstärke | amperage/current/electric current | OK
609. das Styropor | polystyrene | OK
610. der Sucher | finder/seeker | OK
611. der Südpol | South Pole | OK
612. das Sumpfgebiet | wetland | OK
613. die Süßspeise | dessert/sweet dish | OK
614. der Präses | praeses | IMPROVE: president/chairperson - Praeses is obscure in English; president or chairperson is clearer for learners.
615. die Synapse | synapse | OK
616. der Tagfalter | butterfly | OK
617. die Präsidentschaft | presidency | OK
618. die Tanzmusik | dance music | OK
619. der Tapa | tapa | OK
620. die Tarifpartei | collective bargaining party/bargaining party | OK
621. die Tarte | pie/tart | OK
622. das Tauziehen | tug of war | OK
623. das Volumen | volume | OK
624. der Teamchef | team boss | IMPROVE: team manager/head coach - Teamchef is more natural as team manager or head coach than team boss.
625. die Testmethode | check method | WRONG: test method - Testmethode means test method, not check method.
626. die Textilbranche | textile branch | IMPROVE: textile industry - Textilbranche means the textile industry, not a branch generally.
627. die Textilfabrik | textile factory | OK
628. das Textverständnis | text comprehension | OK
629. der Thermoplast | thermoplastic | OK
630. die Robustheit | robustness | OK
631. die Rodung | clearing | OK
632. die Tierzucht | animal breeding | OK
633. die Titelgeschichte | cover story | OK
634. der Titelträger | title holder | OK
635. die Tonart | key | OK
636. der Tonfall | tone of voice | OK
637. der Totalausfall | total failure | OK
638. die Touristenattraktion | tourist attraction | OK
639. das Touristenvisum | tourist visa | OK
640. der Transit | astronomical transit | IMPROVE: transit - Transit is the general gloss; astronomical transit is only a specialized sense.
641. die Transition | transition | OK
642. der Transsexuelle | transsexual person | OK
643. die Traumatisierung | traumatisation | OK
644. der Triathlet | triathlete | OK
645. der Trierer | person from Trier | OK
646. die Trillerpfeife | whistle | OK
647. der Trinkbrunnen | drinking fountain/water bubbler/water fountain | OK
648. der Turnverein | gymnastics club | OK
649. der Türrahmen | door frame | OK
650. die Type | letter/type | OK
651. der Übeltäter | evildoer/malefactor/wrongdoer | OK
652. die Überholspur | fast lane | OK
653. die Übungsleiterin | instructor (female) | OK
654. die Umformung | transformation/reshaping | OK
655. der Umtrunk | drink/sociable drink | OK
656. die Undichtigkeit | leakage | OK
657. der Psychiater | psychiatrist/shrink | OK
658. der Unfallchirurg | trauma surgeon | OK
659. der Unfallschaden | accident damage | OK
660. die Untätigkeit | idleness/inaction/inactivity | OK
661. der Unterstand | shelter/dugout | OK
662. die Raiffeisenbank | Raiffeisenbank | OK
663. der Verdienstausfall | loss of earnings | OK
664. die Verdunstung | evaporation | OK
665. der Verehrer | admirer/lover | OK
666. das Verfassungsorgan | constitution organ | WRONG: constitutional body - Verfassungsorgan means a constitutional organ or body, not constitution organ.
667. das Verfassungsrecht | constitutional law/constitutional right | OK
668. der Verhandlungsführer | negotiator | OK
669. die Rallye | rally/rallye | OK
670. die Verhandlungsrunde | round of negotiations | OK
671. die Verkalkung | calcification | OK
672. der Verkaufsschlager | bestseller | OK
673. die Verkehrsinsel | traffic island | OK
674. der Verkehrsraum | traffic area/transport space | OK
675. das Verlies | dungeon | OK
676. der Vermessungsingenieur | geodesist/land surveyor/surveyor | OK
677. das Röntgen | X-ray/radiography | OK
678. die Vermüllung | littering | OK
679. das Vernehmen | hearing (in 'dem Vernehmen nach') | OK
680. die Verschattung | shadowing | OK
681. die Versorgungslage | supply situation | OK
682. die Videosprechstunde | video consultation | OK
683. die Violine | violin | OK
684. die Virusinfektion | viral infection | OK
685. das Raumschiff | spacecraft/spaceship/starship | OK
686. das Vogelgezwitscher | birdsong/twittering of birds | OK
687. der Volksaufstand | popular uprising | OK
688. die Volksgruppe | ethnic group/ethnical group | OK
689. die Volksverhetzung | incitement of the people/sedition | OK
690. der Vorbote | harbinger | OK
691. das Vorgehensmodell | course of action model | IMPROVE: process model/procedural model - Vorgehensmodell is more natural as a procedure or process model.
692. die Vorlauftemperatur | flow temperature | OK
693. die Vornahme | execution/performance | OK
694. das Vorspiel | foreplay/prelude/prologue | OK
695. die Vorstandschaft | board of directors beam | WRONG: board/executive committee - Vorstandschaft means the board or leadership, not a beam.
696. die Vorstellungskraft | imagination | OK
697. der Vortritt | precedence | OK
698. das Rechteck | rectangle | OK
699. die Wacke | wacke/greywacke | OK
700. die Waffenlieferung | arms shipment/delivery of arms/shipment of arms | OK
701. der Wahlabend | election night | OK
702. der Wählerwille | elector volition | WRONG: will of the voters - Waehlerwille means voters' will, not elector volition.
703. die Wahlhelferin | election worker (female) | OK
704. der Wahlsieg | election victory | OK
705. das Wahlsystem | adoption structure | WRONG: electoral system/voting system - Wahlsystem means an election or voting system, not adoption structure.
706. das Wahlverfahren | adoption action | WRONG: voting procedure/election process - Wahlverfahren means election procedure, not adoption action.
707. das Waldhaus | forest house | OK
708. das Wandgemälde | mural | OK
709. die Wanze | bug/true bug | OK
710. der Wärmebedarf | heat demand | OK
711. die Wärmeenergie | heat energy | OK
712. die Wärmerückgewinnung | heat recovery | OK
713. die Warteschleife | hold/holding | OK
714. der Wartungsvertrag | maintenance agreement | OK
715. der Waschsalon | launderette/laundrette/laundromat | OK
716. die Wasseraufbereitung | water conditioning | IMPROVE: water treatment - Wasseraufbereitung is normally water treatment, not conditioning.
717. der Wasserbehälter | water bin | WRONG: water tank/container - Wasserbehaelter means a water container or tank, not a bin.
718. die Wasserlandschaft | water landscape | OK
719. die Wasserquelle | water source | OK
720. die Wechselstube | bureau de change/currency exchange/currency exchange office | OK
721. die Weigerung | refusal | OK
722. das Weitwinkel | amplitude angle | WRONG: wide angle - Weitwinkel means wide angle, not amplitude angle.
723. das Weizenmehl | wheat flour | OK
724. der Weltbürger | world citizen | OK
725. der Weltfrieden | world peace | OK
726. die Weltmeisterin | Earth master | WRONG: world champion (female) - Weltmeisterin means female world champion, not Earth master.
727. der Weltruf | Earth call | WRONG: worldwide reputation - Weltruf means international reputation, not Earth call.
728. die Wendezeit | flip turn time | WRONG: period of change/turning point era - Wendezeit means a transition period, not flip turn time.
729. der Werbefilm | film | WRONG: advertising film/commercial - Werbefilm means an ad film, not film in general.
730. der Western | western | OK
731. der Whiskey | whiskey | OK
732. der Widerstandskämpfer | resistance fighter/resistor | OK
733. der Wildschaden | game damage | OK
734. der Windsurfer | windsurfer | OK
735. die Wirtschaftsmacht | economic power | OK
736. das Wirtschaftssystem | economic system | OK
737. die Wissensdatenbank | knowledge base | OK
738. das Wohlwollen | benevolence/good will/positivity | OK
739. die Wölbung | arch/bulge/vault | OK
740. das Wörtchen | a word or two/little word | OK
741. das Wrack | wreck | OK
742. die Zahlenfolge | count consequence | WRONG: number sequence - Zahlenfolge means a sequence of numbers, not count consequence.
743. die Zahlungsbereitschaft | willingness to pay | OK
744. die Zauberflöte | magic flute | OK
745. die Zeichenfolge | string | OK
746. die Zeitenwende | time flip turn | WRONG: historic turning point - Zeitenwende means an epochal change, not time flip turn.
747. der Ruck | jerk/jolt/start | OK
748. der Zeitungsbericht | newspaper report | OK
749. der Zellkern | cell nucleus/nucleus | OK
750. der Zellstoff | cellulose/pulp | OK
751. der Zeltplatz | campground | OK
752. der Ziegelstein | brick | OK
753. die Zigarre | cigar | OK
754. der Zocker | gambler/gamer/player | OK
755. der Regenschauer | rain shower | OK
756. der Zollbeamte | customs civil servant | IMPROVE: customs officer - Zollbeamte is the normal term for a customs officer.
757. der Zuckergehalt | sugar content | OK
758. der Zugangscode | access code | OK
759. die Zugluft | draft/draught | OK
760. die Zugmaschine | tractor/tractor unit | OK
761. die Zusammengehörigkeit | togetherness | OK
762. die Zwischenmahlzeit | snack | OK
763. der Zyklon | cyclone | OK
764. das Zytostatikum | cytostatic | IMPROVE: cytostatic drug - Zytostatikum is a noun for this type of drug, not just the adjective cytostatic.
765. das Abendland | Occident/western world | OK
766. der Abgaswert | emission price | WRONG: exhaust/emissions value - Abgaswert means an emissions measurement, not an emission price.
767. die Abgeschlagenheit | lassitude | OK
768. das Abiturzeugnis | A-levels certificate | IMPROVE: Abitur certificate/school-leaving certificate - Abiturzeugnis is the German qualification certificate, not exactly A-levels.
769. die Abrede | agreement | OK
770. die Abschirmung | shielding | OK
771. die Absetzung | dethronement/removal | OK
772. die Absorption | absorption | OK
773. das Abstimmungsergebnis | voting result | OK
774. die Absurdität | absurdity | OK
775. die Abtragung | removal/erosion | OK
776. der Abverkauf | discount sale/sale | OK
777. die Abwärtsspirale | downward spiral | OK
778. der Abwehrspieler | defender | OK
779. die Rückrunde | second half of the season | OK
780. das Acrylgemälde | acrylic painting | OK
781. das Aerosol | aerosol | OK
782. die Aggregation | aggregation | OK
783. das Agrarprodukt | agricultural product/produce | OK
784. der Rückschritt | regression/step back/step backwards | OK
785. das Aktiv | active voice | OK
786. das Aktivum | active/active voice/asset | OK
787. der Alkoholismus | alcoholism | OK
788. die Alm | alp/alpine pasture/mountain pasture | OK
789. der Altmeister | old master | OK
790. der Amateurfußball | amateur football | OK
791. die Amphibienart | amphibian species | OK
792. die Angina | angina/tonsillitis | OK
793. das Angriffsziel | assailment aim | WRONG: target - Angriffsziel means a target of attack, not assailment aim.
794. das Anhalten | stopping/persistence | OK
795. das Ankerzentrum | reception facility for asylum seekers | OK
796. die Anknüpfung | linking/connection | OK
797. die Anmutung | imposition/impression/unreasonable demand | WRONG: impression/look and feel - Anmutung means an impression or appearance; imposition belongs to Zumutung.
798. das Antihistaminikum | antihistamine/antihistaminic drug | OK
799. die Antilope | antelope | OK
800. das Antiquariat | antiquarian bookshop/antiquarian bookstore | OK
801. der Apfelessig | cider vinegar | OK
802. die Apokalypse | Apocalypse | OK
803. die Apostille | apostille | OK
804. das Ruder | oar/rudder/webfoot | OK
805. das Äquivalent | equivalent | OK
806. die Arbeitsgestaltung | business arrangement | WRONG: work design/work organisation - Arbeitsgestaltung concerns how work is organized, not business arrangement.
807. die Arbeitsmaschine | work machine/industrial machine | OK
808. die Arbeitssprache | working language | OK
809. die Arbeitsverwaltung | job management | WRONG: labour administration/employment administration - Arbeitsverwaltung means employment administration, not job management.
810. die Aromatherapie | aromatherapy | OK
811. das Arschloch | arsehole/asshat/asshole | OK
812. die Arteriosklerose | arteriosclerosis | OK
813. der Aszendent | ascendant | OK
814. die Atmungsaktivität | breathability | OK
815. die Audiodeskription | audio description | OK
816. der Auerochse | aurochs/urus | OK
817. der Aufmarsch | parade/deployment | OK
818. das Aufnahmeland | absorption country | WRONG: host country - Aufnahmeland means a receiving or host country, not absorption country.
819. das Auftaktspiel | opening game | OK
820. die Augenklinik | eye clinic | OK
821. das Augenlid | eyelid/palpebra | OK
822. die Ausdrucksfähigkeit | articulateness | OK
823. die Ausdrucksmöglichkeit | means of expression | OK
824. die Ausländerfeindlichkeit | hatred of foreigners/xenophobia | OK
825. der Ausrutscher | slip | OK
826. der Ausschlussgrund | exclusion basis | IMPROVE: reason for exclusion/grounds for exclusion - Ausschlussgrund is more natural as a reason or grounds for exclusion.
827. die Außenalster | stere | WRONG: Outer Alster - Aussenalster is the Hamburg lake, not stere.
828. das Außengehege | enclosure | IMPROVE: outdoor enclosure - Aussengehege specifically means an outdoor enclosure.
829. die Sachbearbeiterin | labourer | WRONG: clerk/case worker - Sachbearbeiterin means a female clerk or case worker, not a labourer.
830. der Austrieb | sprouting/budding | OK
831. der Autist | autist/autistic person | IMPROVE: autistic person - Autist is better rendered as autistic person for modern learner use.
832. das Autobahnkreuz | freeway junction/highway junction/interchange | OK
833. der Autokonzern | auto combine | WRONG: car company/automotive group - Autokonzern means a car corporation, not an auto combine.
834. der Backsteinbau | brick building | OK
835. die Reibung | friction | OK
836. das Bahnhofsviertel | area around the station | OK
837. der Bahnhofsvorplatz | station forecourt | OK
838. das Bahnnetz | face net | WRONG: railway network - Bahnnetz means rail network, not face net.
839. die Bahnstation | face station | WRONG: railway station - Bahnstation means railway station, not face station.
840. das Ballspiel | ball game | OK
841. der Bankensektor | bank sector | IMPROVE: banking sector - Bankensektor is more natural as banking sector.
842. die Bankfiliale | bank branch | OK
843. der Rekordmeister | champion of champions/championship record-holders/record champion | OK
844. der Renner | hit | OK
845. der Baron | baron | OK
846. die Base | base/cousin/paternal aunt | OK
847. der Baseball | baseball | OK
848. das Basics | basics | OK
849. der Bauchnabel | belly button/bellybutton/navel | OK
850. die Bauernregel | country proverb | WRONG: farmer's saying/weather lore - Bauernregel is a traditional weather proverb, not just a country proverb.
851. die Bauleitung | building direction | WRONG: site management/construction management - Bauleitung means construction management, not building direction.
852. der Bauzaun | building fence | WRONG: construction fence - Bauzaun means construction-site fence, not building fence.
853. der Beherbergungsbetrieb | business | WRONG: lodging establishment/accommodation business - Beherbergungsbetrieb means an accommodation provider, not business in general.
854. das Beiblatt | supplementary sheet | OK
855. die Beigabe | donation | WRONG: addition/enclosure/free gift - Beigabe means something added, not a donation.
856. die Beinfreiheit | legroom | OK
857. die Bereifung | tyres/tyre fitting | OK
858. der Bernstein | amber | OK
859. die Bescherung | distribution of Christmas presents/mess/mishap | OK
860. die Beschlagnahme | detention/forfeiture/sequestration | IMPROVE: confiscation/seizure - Beschlagnahme is best rendered as confiscation or seizure.
861. das Besenreis | idiopathic telangiectases/spider veins | OK
862. die Besiedelung | settlement | OK
863. die Besteigung | ascent | OK
864. der Besucherparkplatz | patron car park | IMPROVE: visitor car park - Besucherparkplatz means a visitor parking space or lot, not patron car park.
865. die Betaversion | beta version | OK
866. die Betonwand | concrete wall | OK
867. die Betriebsleitung | management/operations management | OK
868. der Betrugsfall | fraud case | OK
869. die Bierflasche | beer bottle | OK
870. der Billigflieger | aeroplane | WRONG: low-cost airline/budget carrier - Billigflieger means a budget airline, not an aeroplane.
871. die Binsenweisheit | platitude/truism | OK
872. der Biodiesel | biodiesel/biodiesel fuel | OK
873. der Biokunststoff | biobased plastic/biodegradable plastic/bioplastic | OK
874. die Biophysik | biophysics | OK
875. das Biosphärengebiet | biosphere area | OK
876. das Biotin | biotin | OK
877. der Bitterstoff | bitter principle | IMPROVE: bitter substance - Bitterstoff means a bitter-tasting substance; 'bitter principle' is technical and less useful.
878. der Blattsalat | leaf lettuce/leaf salad/lettuce | OK
879. die Blutarmut | blood lack | WRONG: anaemia - Blutarmut means anaemia, not blood lack.
880. das Blutbild | blood count/blood picture/haemogram | OK
881. das Blutdruckmessgerät | blood pressure metre/sphygmomanometer | OK
882. der Blutkrebs | blood Cancer | OK
883. der Blutsauger | bloodsucker/leech/vampire | OK
884. der Rezipient | percipient | WRONG: recipient - Rezipient means recipient or addressee, not percipient as the primary learner gloss.
885. die Bodenbeschaffenheit | soil quality/ground conditions | OK
886. das Bodybuilding | bodybuilding | OK
887. der Booster | stere | WRONG: booster - Booster means booster, not stere.
888. der Branchenkenner | industry expert/industry insider | OK
889. der Branchenprimus | industry leader/market leader | OK
890. die Bratkartoffel | German fried potatoes/German fries/fried potatoes | OK
891. die Braue | brow/eyebrow | OK
892. das Brennelement | fuel element | OK
893. die Bronchoskopie | bronchoscopy | OK
894. die Buchkunst | book art | OK
895. der Buchverlag | edition/publishing | WRONG: book publisher/publishing house - Buchverlag means a book publisher, not edition.
896. das Bühnenstück | stage play | OK
897. die Bundesbahn | federal railroad/federal railway | OK
898. der Bundesumweltminister | minister | WRONG: Federal Environment Minister - Bundesumweltminister is a specific federal minister, not minister in general.
899. der Bürgerrechtler | civil rights activist | OK
900. die Bürgerwehr | bourgeois weir | WRONG: vigilante group/citizens' militia - Buergerwehr means a citizen militia or vigilante group, not bourgeois weir.
901. das Busfahren | bus travel | OK
902. die Bustour | bus tour | OK
903. das Byte | byte | OK
904. die Abmahnung | warning | IMPROVE: formal warning/warning letter - Abmahnung is a formal legal or employment warning, not just any warning.
905. die Chefärztin | chief physician (female) | OK
906. der Chefsessel | boss armchair | WRONG: executive chair - Chefsessel means an executive chair, not a boss armchair.
907. der Chemnitzer | person from Chemnitz | OK
908. der Claim | claim/slogan | OK
909. der Codename | code name | OK
910. der Codex | codex | OK
911. der Couchtisch | coffee table/end table/occasional table | OK
912. das Customizing | customisation | OK
913. der Dachstein | concrete roof tile | OK
914. der Dampfreiniger | steam cleaner | OK
915. der Darmausgang | gut exit | WRONG: anus/bowel outlet - Darmausgang means the outlet of the bowel, not gut exit.
916. die Darstellerin | actress | OK
917. die Datenautobahn | information superhighway | OK
918. der Datenkrake | date kraken | WRONG: data-hungry company/data octopus - Datenkrake is a figurative data-collecting entity, not a date kraken.
919. die Risikogruppe | risk group | OK
920. der Dechant | dean (church) | OK
921. die Dehnübung | stretching exercise | OK
922. die Dekanin | dean | OK
923. der Delphin | dolphin | OK
924. der Demonstrationszug | protest march | OK
925. die Deregulierung | deregulation | OK
926. der Detailreichtum | detail wealth | IMPROVE: richness of detail - Detailreichtum is idiomatically richness of detail.
927. die Determinante | determinant | OK
928. die Detonation | detonation | OK
929. die Deutlichkeit | clarity | OK
930. das Diagnoseverfahren | diagnostic procedure | OK
931. der Diakonat | deaconate/diaconate | OK
932. der Rückzugsort | retreat/refuge | OK
933. der Saldo | balance/bottom line | OK
934. die Diffamierung | defamation | OK
935. der Discount | discount | OK
936. die Diskussionsgrundlage | discussion base | IMPROVE: basis for discussion - Diskussionsgrundlage is more natural as basis for discussion.
937. die DNA | DNA | OK
938. der Doc | doc | OK
939. das Dogma | dogma | OK
940. das Dominikanerkloster | Dominican cloister | IMPROVE: Dominican monastery - Dominikanerkloster is a Dominican monastery; cloister is less common here.
941. die Sandale | sandal | OK
942. der Donut | donut/doughnut | OK
943. das Dopamin | dopamine | OK
944. der Doppelfehler | double fault | OK
945. das Dörfchen | hamlet | OK
946. das Dorfleben | village life | OK
947. der Dramatiker | dramatist/dramaturg/dramaturge | OK
948. der Dresdner | person from Dresden | OK
949. der Dress | kit/strip (sports) | OK
950. die Druckschrift | printscript | WRONG: block letters/printed script - Druckschrift means printed or block lettering, not printscript.
951. die Drüse | gland | OK
952. das Dschungelcamp | amp | WRONG: jungle camp - Dschungelcamp means jungle camp, not amp.
953. der Dung | dung/manure | OK
954. das Durchkommen | getting through | OK
955. der Durchlauferhitzer | continuous-flow water heater/instantaneous water heater/tankless water heater | OK
956. die Schallwelle | sound wave | OK
957. die Durchschlagskraft | decisiveness/force/penetrating power | OK
958. die Duschkabine | shower cabinet/shower cubicle/shower stall | OK
959. die Ecstasy | ecstasy | OK
960. der Ehering | wedding band/wedding ring | OK
961. der Schlagzeuger | drummer | OK
962. die Eigendynamik | momentum of its own/internal dynamic | OK
963. der Eignungstest | aptitude test/examination of professional competence/fitness test | OK
964. die Einkaufsmeile | buying league | WRONG: shopping street/shopping mile - Einkaufsmeile means a shopping area or street, not buying league.
965. die Einlassung | statement (legal) | OK
966. der Einreicher | submitter | OK
967. der Einsender | broadcaster | WRONG: sender/contributor - Einsender means someone who sends or submits something, not a broadcaster.
968. die Einstichstelle | puncture site | OK
969. die Eintrittswahrscheinlichkeit | probability of occurrence | OK
970. der Eisenbahner | railroader | OK
971. der Eisheilige | ice saint | OK
972. die Eismaschine | ice cream freezer/ice cream maker | OK
973. die Elbvertiefung | deepening of the Elbe | OK
974. der Elektroingenieur | electrical engineer | OK
975. die Elektrolyse | electrolysis | OK
976. das Elektrowerkzeug | power tool | OK
977. der Emu | emu | OK
978. das End | end (colloquial) | OK
979. die Endokrinologie | endocrinology | OK
980. die Endzeit | end time | IMPROVE: end times - Endzeit usually means the apocalyptic end times, not merely end time.
981. die Entbindungsstation | childbirth station | WRONG: maternity ward - Entbindungsstation means maternity ward, not childbirth station.
982. die Entkopplung | decoupling | OK
983. die Entwicklerin | developer | OK
984. die Erdarbeit | earthworks | OK
985. das Erdgeschoß | fold | WRONG: ground floor - Erdgeschoss means ground floor, not fold.
986. die Erdkröte | common toad | OK
987. die Erdschicht | earth class | WRONG: earth layer/soil stratum - Erdschicht means a layer of earth, not a class.
988. der Erfolgsfall | successful case | OK
989. der Ermessensspielraum | discretion field | WRONG: discretionary scope/discretionary leeway - Ermessensspielraum means room for discretion, not a field.
990. die Ermüdungserscheinung | apparition | WRONG: sign of fatigue - Ermuedungserscheinung means a symptom or sign of fatigue, not apparition.
991. die Erntemenge | crop abundance | WRONG: harvest quantity/crop yield - Erntemenge means the amount harvested, not crop abundance.
992. der Ersatzspieler | replacement gambler | WRONG: substitute player - Ersatzspieler means substitute player, not replacement gambler.
993. das Erscheinungsjahr | year of publication | OK
994. das Erschließen | opening up/development | OK
995. die Erstveröffentlichung | publication | IMPROVE: first publication - Erstveroeffentlichung specifically means first publication.
996. das Erwärmen | warming up | OK
997. die Erwiderung | reply | OK
998. der Erzengel | archangel | OK
999. das Erzeugen | generation/production | OK
1000. der Erzeugerpreis | producer price/producer's price | OK
