1. schleudern | catapult/fishtail/hurl | OK
791. entheben | remove from office/relieve | OK
792. erleuchten | enlighten/illuminate | OK
793. ermahnen | admonish/scold/urge | OK
794. fernbleiben | be absent/stay away | OK
795. feststecken | be stuck/get stuck/pin | OK
796. frustrieren | frustrate | OK
797. herausheben | bring out/emphasise/lift out | OK
798. herholen | fetch | OK
799. hochkommen | come up/well up | OK
800. kitzeln | tickle | OK
801. kodieren | code/encode | OK
802. kollabieren | collapse | OK
803. lästern | backbite/blaspheme/malign | OK
804. lichten | clear/thin out | OK
805. maskieren | conceal/disguise/dress up | OK
806. purzeln | drop/fall/tumble | OK
807. säugen | suckle | OK
808. scherzen | joke | OK
809. schieflaufen | go wrong | OK
810. schlichten | mediate/settle | OK
811. schmökern | browse through/leaf through | OK
812. schmoren | braise/overheat | OK
813. siedeln | settle | OK
814. stressen | put under stress | OK
815. übersiedeln | move | OK
816. überspielen | conceal/dub/outplay | OK
817. umrechnen | convert | OK
818. umrunden | circumnavigate | OK
819. umwerfen | knock over/stun/throw on | OK
820. verbiegen | become bent/bend | OK
821. vereiteln | foil/thwart | OK
822. verhören | interrogate/mishear | OK
823. verkümmern | atrophy/die/waste away | OK
824. vervierfachen | increase fourfold/quadruple | OK
825. verwässern | water down | OK
826. verwirren | confuse | OK
827. voraussehen | anticipate/foresee | OK
828. wegmüssen | have to leave/have to go | OK
829. wegräumen | remove/tidy | OK
830. zupacken | get down/grab/knuckle down | OK
831. zupfen | pluck | OK
832. zurückwollen | get back/go back/return | OK
833. zuvorkommen | anticipate | OK
834. zwischenspeichern | cache/save temporarily | OK
835. abmachen | agree/remove/take off | OK
836. abschlagen | beat/drive back/knock off | OK
837. absegnen | bless/grant | OK
838. abstrafen | punish | OK
839. abstreifen | free oneself from/get rid of/slip off | OK
840. abzählen | choose by counting/count/count up | OK
841. anhäufen | accumulate/pile up/rack up | OK
842. anlassen | start/leave on | OK
843. asphaltieren | asphalt | OK
844. aufblasen | inflate/show off | OK
845. auffressen | devour/eat up | OK
846. auftauen | thaw | OK
847. aufweichen | become soft/soak/soften | OK
848. ausgliedern | outsource | OK
849. aushärten | age/cure/harden | OK
850. ausholen | draw back/go far back/sound out | OK
851. aussteuern | disqualify/endow/modulate | OK
852. auszählen | count/count out | OK
853. beglücken | bless/delight/make happy | OK
854. bekleben | stick on/cover with stickers or labels | OK
855. besingen | celebrate/extol | OK
856. bewirten | host/cater to | OK
857. bezichtigen | accuse | OK
858. davontragen | carry away/carry off/come away | OK
859. dimensionieren | dimension/size | OK
860. dimmen | dim | OK
861. dividieren | divide | OK
862. durchsuchten | search through | OK
863. einfliegen | fly in/fly into/get flying practice | OK
864. entgegenhalten | counter/gainsay | OK
865. entledigen | get rid of | OK
866. entleihen | borrow | OK
867. ereilen | befall | OK
868. erhärten | harden | OK
869. florieren | boom/flourish/prosper | OK
870. futtern | eat/feast | OK
871. guthaben | have credit/have something in hand | OK
872. heranrücken | approach/come closer/draw near | OK
873. hinken | halt/limp | OK
874. jonglieren | juggle | OK
875. karamellisieren | caramelise | OK
876. klappern | clatter/click/rattle | OK
877. lancieren | launch | OK
878. lecken | leak/lick | OK
879. meditieren | meditate | OK
880. meißeln | chisel | OK
881. mühen | make an effort | OK
882. nachbereiten | follow up/go over | OK
883. naschen | graze/snack | OK
884. portieren | port | OK
885. portionieren | portion | OK
886. privatisieren | pass into private hands/privatise | OK
887. prügeln | beat/beat up/brawl | OK
888. quellen | gush/soak/swell | OK
889. schimmern | gleam/glisten/shimmer | OK
890. schlussfolgern | conclude/reason | OK
891. schrecken | frighten | OK
892. schrillen | shrill | OK
893. solidarisieren | show solidarity | OK
894. sprinten | sprint | OK
895. transplantieren | transplant | OK
896. überlisten | outsmart/outwit/trick | OK
897. überrollen | roll over/run over/overrun | OK
898. umwerben | court/woo | OK
899. unterbieten | undercut | OK
900. verärgern | annoy/upset | OK
901. verfüllen | backfill/fill | OK
902. verhöhnen | deride/jeer/mock | OK
903. verleugnen | deny | OK
904. verputzen | parget/plaster/scarf | OK
905. verschmerzen | get over | OK
906. verstummen | die away/fall silent/hush | OK
907. verzehnfachen | increase tenfold | OK
908. vibrieren | vibrate | OK
909. vorsetzen | set in front of; serve/present | OK
910. zensieren | censor/mark | OK
911. zertrümmern | break up/smash/split | OK
912. zoomen | zoom | OK
913. zusammennehmen | consider/gather up/pull oneself together | OK
914. abhauen | cut off/run away | OK
915. abreiben | rub off/dry off/grate | OK
916. abriegeln | bar/bolt/cordon | OK
917. abschleifen | grind/polish/refine | OK
918. abstreiten | deny/gainsay | OK
919. abzocken | rip off | OK
920. anheften | attach/baste/decorate | OK
921. ankaufen | buy/purchase | OK
922. anlernen | train/teach | OK
923. anschnallen | buckle on/strap sb. in/strap up | OK
924. anstarren | stare | OK
925. antizipieren | anticipate | OK
926. aufessen | eat up/finish | OK
927. aufhebeln | break open/force open/pry open | OK
928. auflehnen | rebel/revolt | OK
929. aufpolieren | brush up | OK
930. auftanken | fill up/gas/recover | OK
931. aufwiegen | offset | OK
932. ausbalancieren | balance | OK
933. ausklappen | fold out/open out | OK
934. authentifizieren | authenticate | OK
935. beschmieren | smear/scrawl on | OK
936. beteuern | asseverate/assure | OK
937. bewässern | irrigate/water | OK
938. boxen | box | OK
939. bräunen | brown/tan | OK
940. brüllen | bellow/bray/holler | OK
941. bürgen | vouch/warrant | OK
942. bürsten | brush | OK
943. degradieren | degrade/demote | OK
944. disqualifizieren | disqualify | OK
945. durchbringen | get through/squander | OK
946. durchfließen | flow through | OK
947. düsen | dash/rush | OK
948. eingemeinden | incorporate into a municipality/annex | OK
949. einrücken | move in; indent; be called up | OK
950. eintreiben | collect | OK
951. emanzipieren | emancipate | OK
952. entpacken | unpack/unpackage/unzip | OK
953. flimmern | flicker/glimmer | OK
954. folgern | conclude/deduce/infer | OK
955. foltern | torture | OK
956. gruseln | give someone the creeps | OK
957. heraufbeschwören | bring about/conjure up/evoke | OK
958. herumstehen | be in the way/hang around/stand around | OK
959. herumtragen | carry about/carry around/circulate | OK
960. hierbleiben | stay | OK
961. hinreißen | carry away/enrapture | OK
962. hinwegsetzen | disregard something/flout/jump over | OK
963. horchen | eavesdrop/hark/listen | OK
964. intervenieren | intercede/interfere/intervene | OK
965. kaputtmachen | break/kill oneself/smash | OK
966. kompilieren | compile | OK
967. kontrastieren | contrast | OK
968. krankmachen | make sick/sicken | OK
969. losziehen | go off/go out/lash out at | OK
970. nummerieren | number | OK
971. plätschern | ripple/splash/babble | OK
972. präferieren | prefer | OK
973. rasen | race/rage/rush | OK
974. sabotieren | sabotage | OK
975. schuften | work like a horse | OK
976. schwächeln | weaken slightly | OK
977. stampfen | stamp/stomp | OK
978. stutzen | prune/trim; stop short | OK
979. subtrahieren | subtract | OK
980. trügen | deceive | OK
981. umbuchen | rebook | OK
982. umfallen | fall over/faint | OK
983. unterfordern | demand too little/not challenge enough/underchallenge | OK
984. untergliedern | subdivide | OK
985. updaten | update | OK
986. verloben | affiance/become engaged/betroth | OK
987. verpönen | frown upon | OK
988. verprügeln | beat up/thrash | OK
989. verscheuchen | drive away/drive off | OK
990. vonstattengehen | take place | OK
991. vorlassen | let go ahead/let pass | OK
992. vorpreschen | rush ahead | OK
993. vorrücken | advance/go forward/move forward | OK
994. weglaufen | run away | OK
995. wetteifern | compete | OK
996. wettmachen | compensate/make up for | OK
997. zeihen | accuse | OK
998. zurückmüssen | have to go back | OK
999. zurückschneiden | cut back/prune | OK
1000. abbrausen | shower off; rush off | OK
