1. abfeuern | fire | OK
796. drapieren | drape | OK
797. durchkämmen | comb through/search thoroughly | OK
798. durchkreuzen | thwart/cross out | OK
799. durchnummerieren | number | OK
800. durchreisen | travel through | OK
801. durchschalten | connect through/interconnect/shift through | OK
802. eiern | wobble | OK
803. einblasen | blow in/blow into/inject | OK
804. einströmen | flood in/pour in/stream in | OK
805. entblößen | bare/denude/disrobe | OK
806. enthaupten | behead/decapitate | OK
807. entlüften | vent/bleed air | OK
808. erlesen | select | OK
809. ermessen | evaluate | OK
810. erquicken | refresh/revive | OK
811. erschleichen | obtain by stealth/fraud | OK
812. erstarken | grow stronger | OK
813. erweichen | give in/melt/move | OK
814. erwürgen | choke/strangle | OK
815. faulenzen | laze around/idle | OK
816. fechten | fence | OK
817. festfahren | get stuck | OK
818. festziehen | fasten/tighten | OK
819. festzurren | fix/lash/lash down | OK
820. fixen | fix | OK
821. formalisieren | formalise | OK
822. fortschicken | send away | OK
823. foulen | foul | OK
824. funzen | function | OK
825. gären | ferment/leaven | OK
826. generalisieren | generalise | OK
827. gerinnen | clot/coagulate/congeal | OK
828. grasen | graze | OK
829. grätschen | straddle | OK
830. grunzen | grunt | OK
831. herabstufen | degrade/downgrade | OK
832. hereinlassen | let in | OK
833. hervorkramen | dredge up/fish out/trundle out | OK
834. hervorzaubern | conjure up | OK
835. hineingebären | be born into/bear into | OK
836. hinterziehen | evade | OK
837. hochklettern | climb up | OK
838. hochkrempeln | roll up | OK
839. idealisieren | idealise | OK
840. instruieren | instruct | OK
841. kaltlassen | leave someone cold | OK
842. kapitulieren | capitulate | OK
843. kentern | capsize/overbalance/overturn | OK
844. klimpern | jingle | OK
845. koalieren | form a coalition | OK
846. kolportieren | hawk/spread | OK
847. kontaminieren | contaminate/infect | OK
848. kotzen | barf/puke/spew | OK
849. krähen | crow | OK
850. kraulen | stroke/pet; do the crawl | OK
851. kurbeln | crank/turn; shoot film | OK
852. liberalisieren | deregulate/free/liberalise | OK
853. lochen | punch holes | OK
854. lugen | peek/look out | OK
855. marginalisieren | marginalise | OK
856. matschen | make muddy/squelch | OK
857. mauern | lay bricks | OK
858. metabolisieren | metabolise | OK
859. mitkriegen | notice/realize/catch | OK
860. mittrainieren | train in combination with/train together | OK
861. motorisieren | become motorised/buy a car/get some wheels | OK
862. nächtigen | pass the night/spend the night/stay overnight | OK
863. nachzählen | recount | OK
864. necken | tease | OK
865. niederstechen | stab | OK
866. oszillieren | oscillate | OK
867. pauken | cram/slog away at studying | OK
868. perforieren | perforate | OK
869. pilotieren | pilot | OK
870. pinkeln | pee/piss/urinate | OK
871. plakatieren | put up posters | OK
872. pöbeln | be abusive/heckle/insult | OK
873. pokern | play poker | OK
874. raffen | grasp/understand; gather up | OK
875. rappeln | rattle | OK
876. rattern | clatter/judder/rattle | OK
877. redigieren | edit/redact | OK
878. reinlegen | prank/trick | OK
879. replizieren | reply/replicate | OK
880. restrukturieren | restructure | OK
881. rezitieren | recite | OK
882. schaben | chafe/scrape/shave | OK
883. scheuern | chafe/scour | OK
884. schiffen | piss/rain | OK
885. schmettern | smash | OK
886. schmusen | cuddle/fondle/smooch | OK
887. schnacken | chat | OK
888. schnarchen | snore | OK
889. schnupfen | sniff/snuff; have a cold | OK
890. schrammen | scrape | OK
891. schunkeln | swing | OK
892. schwarzsehen | be pessimistic; watch TV without a license | OK
893. schwemmen | float/rinse/soak | OK
894. simsen | SMS/text | OK
895. skypen | skype | OK
896. sonnen | sun | OK
897. splittern | shatter/splinter | OK
898. spornen | spur on | OK
899. stählen | strengthen/temper/toughen | OK
900. straucheln | fall/stumble | OK
901. streunen | stray | OK
902. suhlen | wallow | OK
903. systematisieren | arrange/systematise | OK
904. totschweigen | hush up | OK
905. tricksen | cheat | OK
906. tröpfeln | drip | OK
907. trudeln | coast/spin/windmill | OK
908. überdosieren | overdose | OK
909. übereilen | rush | OK
910. überfüllen | overfill/overcrowd | OK
911. überspitzen | carry too far/exaggerate/overdo | OK
912. überspülen | flood/overflow/wash over | OK
913. überstülpen | put over/impose | OK
914. umfangen | clasp/embrace/enfold | OK
915. umhängen | hang around/put on; rehang | OK
916. umranden | border/encircle | OK
917. verdicken | thicken | OK
918. vergelten | repay | OK
919. verhökern | sell off | OK
920. verklingen | die away/fade away | OK
921. verlachen | laugh at/ridicule | OK
922. verleiden | ruin/spoil | OK
923. vermahlen | grind | OK
924. vernaschen | eat up | OK
925. verpixeln | pixelate | OK
926. verplempern | fritter away | OK
927. versachlichen | objectify/objectivise | OK
928. verschachteln | interlace/interleave/nest | OK
929. verschiffen | ship | OK
930. verschreien | decry/brand as | OK
931. verschwitzen | soak with sweat | OK
932. versechsfachen | increase sixfold/sextuple | OK
933. vorkochen | precook | OK
934. vorplanen | plan ahead/preplan | OK
935. vorschießen | advance/pay in advance | OK
936. vorstrecken | advance | OK
937. vorwärmen | preheat | OK
938. vorwärtskommen | get ahead/get on/make one's way | OK
939. wegfliegen | fly away | OK
940. wegtragen | carry away | OK
941. weißen | whiten | OK
942. weiterbauen | continue building | OK
943. welken | dry/fade/wilt | OK
944. wellen | corrugate/curl/undulate | OK
945. wiedergutmachen | make amends/compensate | OK
946. zappeln | fidget/flap | OK
947. zeitigen | bring about/lead to | OK
948. zementieren | cement | OK
949. zerpflücken | pick something to pieces | OK
950. zerquetschen | crush/mash/squash | OK
951. zerstoßen | crush/pound | OK
952. zivilisieren | civilise | OK
953. zunähen | sew up/suture | OK
954. zunichtemachen | frustrate/ruin | OK
955. zuparken | block by parking/park in | OK
956. zurollen | roll toward/roll up to | OK
957. zurückdatieren | predate | OK
958. zusammenreißen | get a grip/pull oneself together | OK
959. zuschießen | contribute/pass the ball to somebody | OK
960. aalen | laze around/stretch out | OK
961. abblitzen | rebuff | OK
962. abdämpfen | dampen/mitigate/reduce the steam | OK
963. abdrücken | pull the trigger | OK
964. abfeilen | file off | OK
965. abfräsen | mill off | OK
966. abmagern | lose weight | OK
967. abschenken | pour off; give away (a game) | OK
968. abspritzen | spray off/ejaculate | OK
969. abverkaufen | sell off | OK
970. abwimmeln | get rid of sb | OK
971. achtgeben | be careful/pay attention/watch | OK
972. alimentieren | support financially/pay maintenance | OK
973. amputieren | amputate | OK
974. anfüllen | fill up | OK
975. anfüttern | feed gradually; bait/chum | OK
976. anhimmeln | idolise | OK
977. ankern | anchor/cast anchor/drop anchor | OK
978. anmischen | blend/create by mixing/mix | OK
979. anrollen | roll up | OK
980. anschmiegen | cuddle up/snuggle up | OK
981. arretieren | lock/secure in place | OK
982. aufbocken | jack up/put on stands | OK
983. aufbrühen | brew up/make | OK
984. aufkreuzen | appear/sail to windward/show up | OK
985. aufmotzen | pimp/soup up/tune up | OK
986. aufmucken | rebel | OK
987. aufplustern | blow up/exaggerate/puff oneself | OK
988. ausblasen | blow out/extinguish/shut down | OK
989. auseinanderfallen | disintegrate/fall apart/fall to pieces | OK
990. auseinanderfalten | fan out/unfold | OK
991. ausforschen | investigate/probe | OK
992. aushungern | starve out | OK
993. ausleeren | drain/dump/empty | OK
994. auslöffeln | spoon out/spoon up | OK
995. ausstopfen | stuff | OK
996. austarieren | balance/balance out/determine | OK
997. ausufern | escalate/get out of control/overflow | OK
998. baggern | dig/excavate | OK
999. bebildern | illustrate | OK
1000. behelligen | bother/harass | OK
