1. die Produktionsgesellschaft | production company | OK
529. die Vorbedingung | condition/precondition/prerequisite | OK
530. das Vorbereitungsspiel | preparation game | OK
531. die Vorläuferzelle | forerunner basic item | WRONG: precursor cell - Vorl?uferzelle means precursor cell
532. das Vorleben | life | IMPROVE: previous life - Vorleben means prior life or past history
533. das Vorrundenspiel | preliminary round game | OK
534. die Wachablösung | guard removal | WRONG: changing of the guard - Wachabl?sung means changing of the guard
535. der Wachdienst | guard service/security firm/sentry | OK
536. der Wachmann | watchman | IMPROVE: security guard - Wachmann is more commonly security guard
537. der Wachsmalstift | crayon | IMPROVE: wax crayon - Wachsmalstift is specifically a wax crayon
538. die Wachstumsprognose | growth forecast/growth prognosis | OK
539. der Wafer | wafer | OK
540. das Waffeleisen | waffle iron | OK
541. das Wahlkampfthema | campaign issue/election campaign topic | OK
542. die Wahrhaftigkeit | truthfulness/veracity | OK
543. der Wahrheitsgehalt | truth content/truthfulness | OK
544. die Waldbesitzerin | forest owner (female) | OK
545. die Waldlandschaft | forest landscape | OK
546. die Waldwiese | forest meadow | OK
547. der Waliser | Welsh/Welshman | OK
548. der Walker | walker | OK
549. das Walmdach | hip roof | OK
550. die Wandelbarkeit | changeability/mutability | OK
551. der Wanderstock | walking stick | OK
552. die Wanderungsbewegung | hike emotion | WRONG: migration movement - Wanderungsbewegung usually means migration movement
553. die Wanduhr | wall clock | OK
554. das Wappentier | heraldic animal | OK
555. das Warenlager | goods depot/warehouse | OK
556. die Wärmebehandlung | heat treatment | OK
557. die Wärmequelle | heat source/source of heat | OK
558. das Wartungsintervall | maintenance interval | OK
559. die Waschstraße | car wash | OK
560. der Wasen | sod/vapour | WRONG: turf/sod - Wasen means turf or sod; vapour is misleading
561. das Wasserloch | water hole | OK
562. der Wassermangel | water shortage | OK
563. die Wassermelone | watermelon | OK
564. das Wassern | splashdown (aircraft on water) | OK
565. die Wasserpfeife | hookah/water pipe | OK
566. das Wasserrad | waterwheel | OK
567. die Wasserschutzpolizei | water police | OK
568. das Wassertier | aquatic animal/water animal | OK
569. die Weberei | weaving | IMPROVE: weaving mill - Weberei is commonly a weaving mill
570. der Webstuhl | weaving loom | OK
571. das Webvideo | W3 video | WRONG: web video - Webvideo means web video
572. das Wehwehchen | minor ailment | OK
573. die Weichsel | morello cherry/sour cherry | OK
574. die Weihnachtstradition | Christmas tradition | OK
575. das Weißbier | wheat beer | OK
576. die Weißwurst | weisswurst | OK
577. das Wellenbad | swimming-pool | WRONG: wave pool - Wellenbad is a wave pool
578. der Wellensittich | budgerigar/budgie | OK
579. die Wellpappe | corrugated cardboard/corrugated board | OK
580. das Weltgeschehen | world affairs | OK
581. der Weltrang | Earth degree | WRONG: world ranking - Weltrang means world ranking or rank
582. die Werbebranche | branch | WRONG: advertising industry - Werbebranche means the advertising industry
583. der Werbebrief | advertising letter/sales letter | OK
584. das Wertguthaben | credit balance/value credit | OK
585. der Westbahnhof | vest railroad station | WRONG: west station - Westbahnhof means west station
586. der Westflügel | west wing | OK
587. der Westteil | western part | OK
588. der Wettbewerbsteilnehmer | competition participant | OK
589. das Wettrüsten | arms race | OK
590. der Wiederholungstäter | recidivist/repeat offender | OK
591. die Wiederinbetriebnahme | recommissioning/restarting | OK
592. der Wiesengrund | meadow basis | OK
593. der Wildesel | wild ass/wild donkey | OK
594. die Wildgans | wild goose | OK
595. die Windböe | gust | OK
596. das Windverhältnis | wind conditions | OK
597. die Winterwanderung | winter hike | OK
598. das Wirkprinzip | principle | IMPROVE: operating principle - Wirkprinzip is an operating principle
599. die Wirkstoffmenge | active substance abundance | WRONG: amount of active ingredient - Wirkstoffmenge means amount of active ingredient
600. der Wirrwarr | chaos/clutter/confusion | OK
601. der Wirtschaftsexperte | economic expert | OK
602. die Wissensbasis | knowledge base | OK
603. das Anbringen | wrestling | WRONG: attachment/mounting - Anbringen as a noun means attaching or mounting
604. die Wochenmitte | puerperal centre | WRONG: midweek - Wochenmitte means the middle of the week
605. die Wochenstube | nursery/lying-in room | OK
606. die Wohnstraße | residential street | OK
607. der Wohnturm | residential tower | OK
608. die Messstelle | measuring station | OK
609. der Wrap | wrap | OK
610. das Wunderbare | something marvellous | OK
611. die Wundertüte | lucky bag | OK
612. das Wunschdenken | wish-thinking/wishful thinking/wishthinking | OK
613. der Würzburger | person from Würzburg/Würzburg native | OK
614. das Zahlenschloss | combination lock | OK
615. der Zahlungsanspruch | payment claim | OK
616. der Zahlungsausfall | payment default | OK
617. die Zahlungspflicht | payment obligation | OK
618. die Zahlungsweise | method of payment | OK
619. die Zahnerhaltung | conservative dentistry/restorative dentistry | OK
620. die Zahnpaste | cog paste | WRONG: toothpaste - Zahnpaste means toothpaste
621. die Zahnradbahn | rack railway | OK
622. die Zahntechnik | dental technology | OK
623. der Zaubertrick | conjuring trick | OK
624. der Zeichensatz | character set | OK
625. die Zeichentrickserie | Comic series | WRONG: cartoon series - Zeichentrickserie means animated/cartoon series
626. die Zeitachse | time axis/time line/time-line | OK
627. die Zeitform | time | WRONG: tense - Zeitform is the grammatical term tense
628. das Zeitlimit | time limit | OK
629. der Zeitschriftenartikel | magazine article | OK
630. der Zeitsprung | time jump | OK
631. der Zeitvertrag | fixed-term contract/temporary contract | OK
632. die Zellulose | cellulose | OK
633. die Zerstörungskraft | destruction force | WRONG: destructive force - Zerst?rungskraft means destructive force
634. das Mitbringsel | small present/souvenir | OK
635. das Zeugnisverweigerungsrecht | law | WRONG: right to refuse to testify - The current gloss omits the actual legal meaning
636. das Ziffernblatt | dial/clock face | OK
637. die Zimmerdecke | ceiling | OK
638. der Zimmermann | carpenter | OK
639. die Zimmersuche | room search/search for a room | OK
640. die Zinne | balcony, patio, deck/merlon/peak | IMPROVE: merlon/pinnacle - Zinne is a battlement merlon or pinnacle
641. der Zionismus | Zionism | OK
642. der Zisterzienser | Cistercians | OK
643. das Zivil | civil life/civil status/civilian | OK
644. der Zögling | boarding pupil | OK
645. der Zöllner | customs officer/tax collector | OK
646. die Zollstelle | customs office | OK
647. das Zuchtbuch | breed book | IMPROVE: studbook - Zuchtbuch is the standard term studbook
648. die Zuckerfabrik | blood sugar level factory | WRONG: sugar factory - Zuckerfabrik means sugar factory
649. das Zugfahren | train travel | OK
650. das Zugpferd | draft horse/draught horse | OK
651. die Zündkerze | spark plug/sparking plug | OK
652. der Zündstoff | explosive material/fuel | OK
653. der Zungenschlag | tongue click/accent | OK
654. das Zupfinstrument | plucked string instrument | OK
655. die Zusatzausstattung | addition decor | WRONG: additional equipment - Zusatzausstattung means optional or additional equipment
656. das Zuspiel | pass | OK
657. der Zustrom | inflow/influx | OK
658. die Zwangshaft | force arrest | WRONG: coercive detention - Zwangshaft is detention used to compel compliance
659. die Zwangsprostitution | force prostitution | WRONG: forced prostitution - Zwangsprostitution means forced prostitution
660. die Zwangsräumung | eviction | IMPROVE: forced eviction - The modifier Zwangs- is important here
661. die Zwangsstörung | OCD/obsessive-compulsive disorder | OK
662. der Zweisitzer | two-seater | OK
663. die Zwischenfrage | interposed question/follow-up question | OK
664. das Zwitschern | chirping | OK
665. der Abbiegeassistent | turning assistant | OK
666. die Abbrecherquote | dropout rate | OK
667. die Abenddämmerung | crepuscule/dusk/twilight | OK
668. die Abenteuergeschichte | adventure story | OK
669. die Abenteuerreise | adventure trip | OK
670. der Abenteuerurlaub | adventure holiday/adventure vacation | OK
671. das Abfallrecht | waste law | OK
672. der Abfalltransport | waste transport | OK
673. die Abfalltrennung | waste separation | OK
674. die Abfallverbringung | waste shipment | OK
675. der Abfallzweckverband | waste management association | IMPROVE: waste management association - Abfallzweckverband is a special-purpose waste association
676. das Abfließen | draining away | OK
677. die Abführung | transfer/delivery | OK
678. der Abgänger | school-leaver | OK
679. die Abgasreinigung | exhaust treatment | OK
680. der Abgesang | Abgesang/end/swan song | OK
681. die Abhebung | drawing/withdrawal | OK
682. die Ablation | ablation/detachment/surgical removal | OK
683. die Ablichtung | copy/photocopy | OK
684. die Ablieferung | delivery | OK
685. die Abmahnwelle | wave of warning letters/wave of cease-and-desist notices | OK
686. die Abschiedsrede | parting address | IMPROVE: farewell speech - Abschiedsrede is a farewell speech
687. der Abschlussjahrgang | accounts vintage | WRONG: graduating class - Abschlussjahrgang means a graduating year or class
688. die Abschwächung | lessening/softening/toning down | OK
689. das Abseilen | abseiling | OK
690. der Absolutismus | absolutism | OK
691. die Absonderung | emission/excretion/isolation | OK
692. der Abspann | credits (end of film) | OK
693. die Abstellkammer | box room/storage closet/storage room | OK
694. das Abstimmungsverfahren | voting procedure | OK
695. die Abtastrate | sampling rate | OK
696. das Abwassersystem | sewage system/sewerage/wastewater system | OK
697. der Abwehrmechanismus | defence mechanism | OK
698. die Achalasie | achalasia/esophageal achalasia | OK
699. die Achillesferse | Achilles heel | OK
700. die Achselhöhle | armpit/axilla | OK
701. die Achslast | axle load | OK
702. die Achtsamkeitsübung | mindfulness exercise | OK
703. der Achtungserfolg | attention success | WRONG: respectable success - Achtungserfolg is a respectable success despite not winning
704. die Adaptation | adaptation | OK
705. der Adelstitel | title of nobility | OK
706. die Adoleszenz | adolescence | OK
707. die Adware | adware | OK
708. die Afrikanerin | African | OK
709. die Afrikanistik | African studies | OK
710. der Agrarminister | secretary of agriculture | OK
711. die Agrarwissenschaft | agronomy | IMPROVE: agricultural science - Agrarwissenschaft is agricultural science
712. die Ahnungslosigkeit | ignorance | OK
713. der Ahornbaum | maple tree | OK
714. der Akrobat | acrobat | OK
715. der Aktenschrank | filing cabinet | OK
716. der Aktiensplit | stock split | OK
717. der Aktuator | actuator | OK
718. der Alert | alert | OK
719. die Alimentation | alimentation | OK
720. die Alkoholabhängigkeit | alcohol addiction | OK
721. die Alkoholvergiftung | alcohol intoxication/alcohol poisoning | OK
722. der Alleinerbe | residuary legatee/sole heir/universal successor | OK
723. die Allergologie | allergology | OK
724. der Allerwerteste | buttocks | OK
725. die Allgemeinbevölkerung | general population | OK
726. das Allgemeinwohl | common good | OK
727. der Alligator | alligator | OK
728. das Alltagsphänomen | everyday life phenomenon | OK
729. das Alltagsthema | everyday life subject | WRONG: everyday topic - Alltagsthema means everyday topic
730. das Alpenpanorama | panorama | IMPROVE: Alpine panorama - The current gloss omits Alpen-
731. der Altbischof | former bishop | OK
732. die Alterserscheinung | sign of aging/age-related symptom | OK
733. die Altersspanne | breakdown | WRONG: age range - Altersspanne means age range
734. der Altkanzler | former chancellor | OK
735. der Altort | old town/historic centre | OK
736. die Alumna | alumna | OK
737. die Ameisenart | ant species | OK
738. das Amin | amine | OK
739. der Amtsdirektor | office director | OK
740. die Amtsenthebung | dismissal/removal from office | OK
741. die Amtsführung | conduct in office/administration of office | OK
742. die Amtsperson | office person | WRONG: public official - Amtsperson means public official
743. das Amulett | amulet | OK
744. die Anarchie | anarchy | OK
745. die Anbetung | worship | OK
746. die Andreaskirche | St Andrew's Church | OK
747. der Androide | android | OK
748. der Anfängerkurs | beginner's course | OK
749. die Animationsserie | animated cartoon series/animated television series | OK
750. der Anis | anise/aniseed | OK
751. der Ankömmling | newcomer/arrival | OK
752. der Anlasser | cranking motor/starter/starting motor | OK
753. der Anrainerstaat | neighboring country/bordering state | OK
754. die Ansichtssache | elevation business | WRONG: matter of opinion - Ansichtssache is a matter of opinion
755. das Ansteckungsrisiko | contagion chance | WRONG: risk of infection - Ansteckungsrisiko means risk of infection
756. der Anstifter | instigator | OK
757. das Anthropozän | Anthropocene | OK
758. das Antidiabetikum | antidiabetic | OK
759. der Antiheld | antihero | OK
760. die Antiqua | antiqua/old face type | OK
761. das Anziehsachen | clothes | OK
762. die Apathie | apathy | OK
763. der Apothekenleiter | pharmacy manager/head pharmacist | OK
764. das Arbeitsministerium | ministry of labour | OK
765. die Arbeitsproduktivität | labour productivity | OK
766. die Arbeitssitzung | work session | OK
767. der Arbeitstisch | business table | WRONG: work table - Arbeitstisch means work table
768. das Arbeitsverbot | work ban/working prohibition | OK
769. die Arbeitswissenschaft | business academic discipline | WRONG: labour science/ergonomics - Arbeitswissenschaft is labour science or ergonomics
770. die Arbeitszufriedenheit | business content | WRONG: job satisfaction - Arbeitszufriedenheit means job satisfaction
771. das Arboretum | arboretum | OK
772. das Architekturmodell | architectural model/architecture model | OK
773. der Architekturwettbewerb | architecture competition | OK
774. das Armenviertel | poor district/poor quarter | OK
775. die Arnika | arnica/leopard's bane/mountain arnica | OK
776. der Arrest | attachment/confinement/detention | OK
777. die Artothek | picture library | OK
778. die Arzneipflanze | medicinal plant | OK
779. das Aschenbrödel | Cinderella | OK
780. die Askese | asceticism | OK
781. die Assistenzärztin | doctor | IMPROVE: assistant doctor/resident - The current gloss is too broad for Assistenz?rztin
782. die Astrofotografie | astrophotography | OK
783. der Astrophysiker | astrophysicist | OK
784. das Atemproblem | breathing problem | OK
785. das Atemschutzgerät | breathing apparatus/respirator | OK
786. der Atheist | atheist | OK
787. der Äthiopier | Ethiopian | OK
788. das Atomabkommen | nuclear agreement | OK
789. die Atomanlage | nuclear plant | OK
790. das Motivationsschreiben | letter of motivation | OK
791. die Audiothek | audio library | OK
792. das Aufbaustudium | assembly studies | WRONG: postgraduate studies - Aufbaustudium means postgraduate or advanced studies
793. die Auffangwanne | drip tray/collection tray | OK
794. die Auffüllung | replenishment/filling | OK
795. der Aufgabenkreis | scope of duties/responsibilities | OK
796. der Aufmacher | front-page story/headline | OK
797. die Aufnahmefähigkeit | absorption ability | IMPROVE: absorption capacity - This is the idiomatic technical gloss
798. die Aufsichtsratssitzung | board meeting/meeting of the supervisory board/supervisory board meeting | OK
799. die Auftraggeberin | client/principal (female) | OK
800. der Auftragskiller | application contract | WRONG: contract killer - Auftragskiller means contract killer
801. der Aufwachraum | post-anesthesia care unit/recovery room | OK
802. die Aufwärtsbewegung | emotion | WRONG: upward movement - Aufw?rtsbewegung means upward movement
803. der Auserwählte | chosen one | OK
804. die Ausführlichkeit | detail/thoroughness | OK
805. das Ausfuhrverbot | export prohibition | OK
806. die Auslöschung | erasement/extermination/extinction | OK
807. die Ausreisepflicht | departure business | WRONG: obligation to leave the country - Ausreisepflicht is a legal duty to leave
808. die Ausschließung | end closing | WRONG: exclusion - Ausschlie?ung means exclusion
809. die Außenbahn | outer track/outer lane | OK
810. der Außenbezirk | suburb | OK
811. der Außendienstler | field service worker/sales rep | OK
812. die Außenhaut | covering | WRONG: outer skin - Au?enhaut means outer skin or shell
813. die Außenschicht | exterior layer/external layer/facing | OK
814. das Multitalent | all-rounder | OK
815. die Aussichtslosigkeit | desperation/hopelessness | OK
816. die Aussonderung | separation/sorting out | OK
817. die Aussperrung | end closing | WRONG: lockout - Aussperrung means lockout
818. die Ausstülpung | protrusion | OK
819. die Ausweichroute | itinerary | WRONG: alternative route - Ausweichroute means alternative or diversion route
820. das Autodach | car roof | OK
821. die Autogrammkarte | autograph billett | WRONG: autograph card - Autogrammkarte means autograph card
822. die Autogrammstunde | autograph session/autographing session | OK
823. der Automobilclub | automobile club | OK
824. die Autophagie | autophagocytosis | IMPROVE: autophagy - Autophagie is normally autophagy
825. das Autorenteam | author team | IMPROVE: team of authors - Autorenteam means a team of authors
826. die Autowerkstatt | auto repair shop/garage | OK
827. das Axiom | axiom | OK
828. der Ayurveda | Ayurveda | OK
829. der Musikverein | music association | OK
830. die Bachforelle | brook trout/brown trout/river trout | OK
831. der Backbone | backbone | OK
832. das Musikvideo | music video | OK
833. das Bäckerhandwerk | baker's trade | OK
834. die Backsteinfassade | brick façade | OK
835. die Backsteingotik | Brick Gothic | OK
836. der Badebetrieb | bath business | WRONG: bathing operations - Badebetrieb means swimming/bathing operations
837. die Badelatsche | flip-flop/bath sandal | OK
838. der Bahnfahrer | rail rider | WRONG: rail traveller - Bahnfahrer means rail passenger or traveller
839. der Bahnreisende | rail traveller | OK
840. die Baleareninsel | island | IMPROVE: Balearic island - The current gloss omits Balearen-
841. der Ballbesitz | ball belongings | WRONG: ball possession - Ballbesitz means possession of the ball
842. der Ballermann | Ballermann/Mallorca party area | OK
843. die Ballettschule | ballet school | OK
844. die Balz | mating/mating foreplay/mating season | OK
845. die Bandenwerbung | band advertising | WRONG: perimeter advertising - Bandenwerbung is advertising on boards around a pitch
846. der Bandleader | band leader | OK
847. die Bankenbranche | bank branch | WRONG: banking sector - Bankenbranche means banking sector
848. die Bankenkrise | bank crisis | IMPROVE: banking crisis - Bankenkrise is more idiomatically banking crisis
849. der Bankier | banker | OK
850. das Bankwesen | banking | OK
851. der Barde | bard | OK
852. der Barsch | bass/perch | OK
853. das Basketballspiel | basketball game/basketball match | OK
854. das Bataillon | battalion | OK
855. der Batzen | lump/wad | OK
856. der Bauauftrag | building application | WRONG: building contract - Bauauftrag means construction contract/order
857. der Bauchmuskel | abdominal muscle/stomach muscle | OK
858. der Baudezernent | building senior colleague | WRONG: building director - Baudezernent is a municipal building department head
859. das Baugerüst | scaffolding | OK
860. die Bauingenieurin | civil engineer (female) | OK
861. der Baumkronenweg | treetop walkway | OK
862. das Beamtenstatusgesetz | act | IMPROVE: Civil Servants Status Act - The current gloss is much too broad
863. die Bebilderung | illustration | OK
864. die Nacharbeit | business | WRONG: rework - Nacharbeit means rework
865. das Bedienfeld | control panel | OK
866. der Bedienungsfehler | operation blemish | WRONG: operating error - Bedienungsfehler means operating error
867. der Befreiungsschlag | game/coup | WRONG: liberating blow - Befreiungsschlag is a liberating blow or clearance
868. der Begleitumstand | circumstance | IMPROVE: accompanying circumstance - Begleitumstand includes the accompanying modifier
869. die Begräbnisstätte | burial site | OK
870. die Begriffsbildung | concept formation/conception | OK
871. der Beichtstuhl | confessional | OK
872. der Beifang | bycatch | OK
873. das Beinchen | little leg | OK
874. die Beispielrechnung | sample calculation/example calculation | OK
875. das Bekennerschreiben | avowal letter/claim of responsibility/letter claiming responsibility | OK
876. das Bekleidungsgeschäft | clothing store | OK
877. die Beliebigkeit | arbitrariness | OK
878. die Benommenheit | drowsiness/dizziness | OK
879. die Bepreisung | pricing | OK
880. der Berberaffe | Barbary ape/Barbary macaque/magot | OK
881. die Berechenbarkeit | calculability/predictability | OK
882. das Bergamt | mining office | IMPROVE: mining authority - Bergamt is a mining authority
883. das Bergbauunternehmen | mining business | WRONG: mining company - Bergbauunternehmen means mining company
884. der Bergführer | mountain guide | OK
885. das Berghotel | heap hotel | WRONG: mountain hotel - Berghotel means mountain hotel
886. die Berufsschülerin | vocational school student | OK
887. der Anpfiff | starting whistle | OK
888. das Besatzungsmitglied | crew member | OK
889. der Beschleuniger | accelerant/accelerator/activator | OK
890. die Besonnenheit | moderation/prudence | OK
891. der Besserwisser | know-it-all/smart aleck/wiseacre | OK
892. die Bestattungskosten | funeral costs/burial costs | OK
893. der Betriebsunfall | industrial accident/workplace accident | OK
894. die Betriebszugehörigkeit | business belonging | WRONG: length of service - Betriebszugeh?rigkeit means tenure with a company
895. das Bettlaken | bed sheet | OK
896. der Nachteilsausgleich | damage balance | WRONG: compensation for disadvantage - Nachteilsausgleich is compensation/accommodation for disadvantage
897. das Beuteltier | marsupial | OK
898. der Bevölkerungsteil | part of the population/segment of the population | OK
899. die Bewässerungsanlage | irrigation system | OK
900. das Bewässerungssystem | irrigation system | OK
901. die Bewegungsrichtung | direction of movement | OK
902. die Bewehrung | reinforcement | OK
903. der Beweisantrag | evidence application | WRONG: request to take evidence - Beweisantrag is a legal evidentiary motion
904. die Beweiskraft | probative force | IMPROVE: probative value - This is the idiomatic legal term
905. die Bewölkung | cloudiness/clouding/clouds | IMPROVE: cloud cover - Bew?lkung most commonly means cloud cover
906. die Bezahlschranke | paywall | OK
907. das Bezirkskrankenhaus | borough hospital | WRONG: district hospital - Bezirkskrankenhaus means district hospital
908. der Bezirksvorsteher | district head | OK
909. die Bib | library (slang) | OK
910. die Bibelausgabe | Bible edition | OK
911. die Bibelübersetzung | Bible translation | OK
912. der Nachtisch | afters/dessert/pudding | OK
913. die Ansammlung | accumulation/accumulativeness/aggregation | OK
914. der Bibliotheksraum | library region | WRONG: library room - Bibliotheksraum means library room
915. das Biedermeier | Biedermeier | OK
916. der Bienenstand | apiary | OK
917. die Bienenweide | bee pasture | OK
918. das Bierbrauen | beer brewing | OK
919. die Bierdose | ale box | WRONG: beer can - Bierdose means beer can
920. das Bierzelt | beer tent | OK
921. die Binge | subsidence/sinkhole | OK
922. die Binnenalster | stere | WRONG: Inner Alster - Binnenalster is the Inner Alster in Hamburg
923. das Binnengewässer | inland waters | OK
924. das Binnenschiff | inland water vessel/river boat | IMPROVE: inland vessel - Binnenschiff is the usual term for an inland vessel
925. der Binnensee | inland lake/lake | OK
926. das Binokular | eyepiece | WRONG: binocular/binocular microscope - Binokular is not an eyepiece
927. der Biochemiker | biochemist | OK
928. die Biochemikerin | chemist | WRONG: female biochemist - Biochemikerin specifically means a woman biochemist
929. der Biologielehrer | biology teacher | OK
930. die Biomechanik | mechanics | WRONG: biomechanics - Biomechanik means biomechanics
931. die Biometrie | biometrics | OK
932. das Birkenholz | birch wood | OK
933. die Birnensorte | pear variety | OK
934. der Bischofssitz | bishop's see/diocesan town/seat of a bishopric | OK
935. der Bismarckturm | castle | WRONG: Bismarck tower - Bismarckturm means Bismarck tower
936. der Blasebalg | bellows | OK
937. der Blauwal | Blue Whale | OK
938. der Blechbläser | brass player | IMPROVE: brass player - Blechbl?ser is singular here
939. der Blechschaden | bodywork damage | OK
940. der Blender | imposter/impostor/show-off | OK
941. die Blickrichtung | glance direction | IMPROVE: viewing direction - Blickrichtung means direction of view
942. die Blinddarmentzündung | appendicitis | OK
943. das Blümchen | floret/flower/little | IMPROVE: little flower/floret - The gloss little alone is misleading
944. das Blumengeschäft | flower business | WRONG: flower shop - Blumengesch?ft means flower shop
945. das Blutbad | bloodbath/carnage/massacre | OK
946. der Bob | bob | OK
947. der Bodendecker | acorn | WRONG: ground cover - Bodendecker is a ground-cover plant
948. die Bodenfeuchte | soil moisture | OK
949. der Bodenkontakt | ground contact | OK
950. die Bodennähe | close to the ground | OK
951. die Bodenstation | ground station | OK
952. die Bohrinsel | drilling platform/oil rig | OK
953. der Bolzen | bolt | OK
954. der Bomber | bomber | OK
955. der Bon | receipt | OK
956. die Bongo | bongo | OK
957. der Brandgeruch | baking odor | WRONG: burning smell - Brandgeruch is the smell of burning
958. der Brandherd | fire/flashpoint/hot spot | OK
959. der Brandmeister | chief fireman/fire chief | OK
960. der Brandort | site of the fire/fire scene | OK
961. die Brandschutzmaßnahme | fire protection measure | OK
962. die Brandstelle | site of the fire | OK
963. die Brasilianerin | Brazilian | OK
964. das Brathähnchen | roast chicken | OK
965. die Bratpfanne | frying pan | OK
966. das Braun | brown | OK
967. der Bräutigam | bridegroom/fiancé/groom | OK
968. die Brautmode | bird fashion | WRONG: bridal fashion - Brautmode means bridal fashion
969. die Bremsung | braking | OK
970. der Brezen | pretzels (Bavarian) | IMPROVE: pretzel (Bavarian) - The entry is singular; the current gloss is plural
971. das Brikett | briquette | OK
972. die Brosche | brooch | OK
973. die Brotscheibe | slice of bread | OK
974. die Bruchlandung | crash landing | OK
975. die Bruchrechnung | fractional arithmetic | IMPROVE: fractions - Bruchrechnung is arithmetic with fractions
976. die Bruchstelle | breaking point | OK
977. die Aquakultur | aquaculture | OK
978. das Bruttosozialprodukt | gross national product | OK
979. die Buchausgabe | book edition | OK
980. der Buchbestand | book inventory/library holdings | OK
981. das Buchenholz | beech wood/beechwood | OK
982. die Bücherverbrennung | book burning | OK
983. die Bücherwelt | book world/world of books | OK
984. der Buchverkauf | book sale | OK
985. der Buckelwal | humpback whale | OK
986. das Bügelbrett | ironing board | OK
987. der Bühnenraum | stage area | OK
988. das Bulletin | bulletin | OK
989. der Bundesjustizminister | federal Attorney General | WRONG: Federal Minister of Justice - Germany has a justice minister, not a federal Attorney General
990. die Bundespressekonferenz | federal briefing | WRONG: federal press conference - Bundespressekonferenz means federal press conference
991. die Bundesprüfstelle | Federal Review Board | OK
992. die Bundesverteidigungsministerin | federal minister of defence | OK
993. das Bürgerkriegsland | civil war country | OK
994. die Bürgerrechtsbewegung | civil rights movement | OK
995. der Burggraf | burgrave | OK
996. der Burgturm | castle castle | WRONG: castle tower - Burgturm means castle tower
997. der Bussard | buzzard | OK
998. der Buzzer | buzzer | OK
999. der Cacher | geocacher | OK
1000. das Campusgelände | campus terrain | IMPROVE: campus area - The German word means area or grounds, not terrain for learners
