1. das Gruppenspiel | group match | OK
574. der Buddhismus | Buddhism | OK
575. das Bügeln | iron | WRONG: ironing - Das B?geln is the activity ironing, not the object iron.
576. das Copyright | copyright | OK
577. die Darmspiegelung | colonoscopy | OK
578. das Dieselfahrzeug | diesel vehicle | OK
579. der Dorfbewohner | villager | OK
580. die Drehung | gyration/rotation/turn | OK
581. der Adler | Aquila/eagle | OK
582. der Einfallsreichtum | ingenuity/inventiveness/resourcefulness | OK
583. die Einlagensicherung | deposit guarantee/deposit protection | OK
584. das Eishockey | ice hockey | OK
585. die Elektroindustrie | electrical industry | OK
586. der Elfmeter | penalty kick | OK
587. der Ellenbogen | cubit arc | WRONG: elbow - Ellenbogen means elbow, not cubit arc.
588. der Entrepreneur | entrepreneur | OK
589. die Entwicklungschance | development chance | IMPROVE: development opportunity - Entwicklungschance is a chance or opportunity for development.
590. die Ermächtigung | authorisation/empowerment | OK
591. die Erotik | eroticism | OK
592. der Erstplatzierte | first-place finisher | OK
593. die Erzdiözese | archdiocese | OK
594. das Esszimmer | dining room | OK
595. das Etwas | something | OK
596. das Extrem | extreme | OK
597. die Familienfeier | family ceremony | WRONG: family celebration - Familienfeier means a family celebration, not family ceremony.
598. die Familienpolitik | family policy | OK
599. der Feinschmecker | connoisseur/foodie/gastronomer | OK
600. das Festhalten | holding on/clinging | OK
601. die Filmvorführung | film demonstration | WRONG: film screening - Filmvorf?hrung means film screening, not film demonstration.
602. der Final | final | OK
603. das Portal | portal/gateway | OK
604. die Fledermausart | bat species | OK
605. der Alb | elf/incubus/nightmare | OK
606. die Forschergruppe | explorer group | WRONG: research group - Forschergruppe means research group, not explorer group.
607. die Forschungskooperation | research co-operation | OK
608. der Fötus | foetus | OK
609. der Freistil | style | WRONG: freestyle - Freistil means freestyle, not simply style.
610. die Freizügigkeit | freedom of movement | OK
611. die Fristverlängerung | deadline extension | OK
612. die Gartenarbeit | gardening | OK
613. das Gasteltern | guest parent | WRONG: host parents - Gasteltern means host parents, not guest parent.
614. die Gebäudesanierung | building refurbishment | OK
615. das Gebrüder | brothers | OK
616. das Gefüge | structure/fabric | OK
617. der Geländewagen | off-road vehicle/SUV | OK
618. die Generalprobe | dress rehearsal/final rehearsal | OK
619. die Generierung | generation/natural language generation | OK
620. das Geschöpf | creature | OK
621. die Gesprächsführung | conversation command | WRONG: conducting a conversation - Gespr?chsf?hrung means conversation management or conducting dialogue.
622. das Gesuch | appeal/petition/request | OK
623. der Giftstoff | toxic substance/poison | OK
624. die Glukose | glucose | OK
625. das Graphen | graphene | OK
626. der Gruppenleiter | group leader | OK
627. die Gültigkeitsdauer | validity duration | OK
628. das Impressum | imprint/masthead | OK
629. die Handwerkskunst | craftsmanship | OK
630. das Hauptproblem | main problem | OK
631. das Hauptquartier | headquarters | OK
632. der Herausforderer | challenger | OK
633. der Heuschnupfen | allergic coryza/allergic rhinitis/hay fever | OK
634. der Hobbygärtner | hobby gardener | OK
635. der Horror | horror | OK
636. die Hotelanlage | hotel complex/resort complex | OK
637. die Hungersnot | dearth/famine | OK
638. das Infektionsrisiko | infection chance | WRONG: risk of infection - Infektionsrisiko means infection risk, not infection chance.
639. die Initiatorin | initiator (female) | OK
640. die Innung | guild | OK
641. die Instabilität | instability | OK
642. das Journal | journal | OK
643. das Kinderheim | children's home/orphanage | OK
644. der Kindersitz | child safety seat | OK
645. die Kindeswohlgefährdung | imperilment | WRONG: child endangerment - Kindeswohlgef?hrdung means endangerment of a child?s welfare.
646. die Klimaschutzmaßnahme | climate protection measure | OK
647. der Knall | bang/crack | OK
648. das Kniegelenk | knee joint | OK
649. der Knöchel | ankle/knuckle | OK
650. das Bußgeld | fine | OK
651. die Kompensation | compensation | OK
652. der Konkurrenzkampf | competition/competitive struggle | OK
653. das Konservatorium | conservatory (music) | OK
654. die Kopfhaut | scalp | OK
655. der Kot | crap/dung/excrement | OK
656. die Kralle | claw/talon | OK
657. die Krisensituation | crisis situation | OK
658. die Kulturpolitik | cultural politics | OK
659. die Kundengruppe | client group | OK
660. die Kunstschule | art school | OK
661. der Kunstunterricht | art lessons | OK
662. das Kuscheltier | plush toy/plushie/stuffed animal | OK
663. das Ladekabel | charge cable | IMPROVE: charging cable - Ladekabel is idiomatically charging cable.
664. das Landesarbeitsgericht | country labour court | WRONG: regional labor court - Landesarbeitsgericht means state/regional labor court.
665. die Landesliste | country list | WRONG: state list - Landesliste is a state-level electoral party list, not country list.
666. der Lehrerberuf | teaching profession | OK
667. die Leiterplatte | printed circuit board | OK
668. der Lernfortschritt | progress | IMPROVE: learning progress - Lernfortschritt specifically means progress in learning.
669. das Leuchtmittel | illuminant | OK
670. die Lilie | lily | OK
671. der Lobbyist | lobbyist | OK
672. die Losung | bible quote/droppings/password | OK
673. der Luftangriff | airstrike | OK
674. die Luftreinhaltung | air pollution control/air quality control | OK
675. das Kindergeld | child benefit | OK
676. die Maut | toll | OK
677. das Mehr | plus | OK
678. die Menschheitsgeschichte | history of humanity/human history | OK
679. das Altern | ageing/aging | OK
680. das Microsoft | Microsoft | OK
681. der Mini | mini | OK
682. das Mitgliedsland | member country/member state | OK
683. der Mittwochmorgen | Wednesday good morning | WRONG: Wednesday morning - Mittwochmorgen means Wednesday morning.
684. das Modehaus | fashion house | OK
685. das Monument | monument | OK
686. der Kinderwagen | baby buggy/baby carriage/perambulator | OK
687. die Nachbildung | creation | WRONG: replica/reproduction - Nachbildung means replica or reproduction, not creation.
688. der Nachrichtendienst | intelligence agency/news agency | OK
689. der Nachtschwärmer | night owl | OK
690. die Nachwelt | posterity | OK
691. die Nachzahlung | back payment/subsequent payment | OK
692. die Nanopartikel | nanoparticle | OK
693. das Naturdenkmal | natural monument | OK
694. die Netzhaut | retina | OK
695. der Neubürger | bourgeois | WRONG: new citizen/resident - Neub?rger means new citizen or new resident, not bourgeois.
696. der Kopfschmerz | headache | OK
697. das Nichts | nothing/nothingness | OK
698. die Ölheizung | oil heating | OK
699. der Ölpreis | oil price | OK
700. das Ornament | ornament | OK
701. das Östrogen | oestrogen/œstrogen | OK
702. die Parodontitis | periodontitis/pyorrhea | OK
703. der Parteitag | party congress | OK
704. die Partnersuche | search for a partner | OK
705. die Patin | godmother | OK
706. das Pellet | pellet | OK
707. der Personenverkehr | passenger traffic | OK
708. der Plattenspieler | gramophone/record player | OK
709. der Populist | populist | OK
710. der Portugiese | Portuguese | OK
711. der Praxistest | practical test | OK
712. die Preissteigerung | price comparison | WRONG: price increase - Preissteigerung means price increase, not price comparison.
713. das Pressegespräch | conversation with the press/press briefing | OK
714. die Priorisierung | precedence/priority | OK
715. die Psychotherapeutin | therapist | IMPROVE: psychotherapist - Psychotherapeutin specifically means a female psychotherapist.
716. das Radioprogramm | radio channel | IMPROVE: radio program - Radioprogramm means radio program or schedule, not radio channel.
717. der Range | range | OK
718. die Rasenfläche | lawn area | OK
719. die Ratingagentur | credit rating agency/rating agency | OK
720. die Rebe | grapevine/vine | OK
721. der Rechtsausschuss | legal affairs committee | OK
722. der Recyclinghof | civic amenity site/household waste recycling centre/recycling centre | OK
723. die Regierungspartei | governing party/ruling party | OK
724. die Dynamik | dynamics | OK
725. die Renovierungsarbeit | renovation work | OK
726. die Andacht | devotion | OK
727. der Rollout | roll-out | OK
728. der Rumpf | fuselage/hull/torso | OK
729. das Rüstungsgut | armour estate | WRONG: defense equipment - R?stungsgut means armaments or defense equipment, not armour estate.
730. die Sachkosten | material costs/overhead costs | OK
731. die Sammelstelle | collecting point/collection point | OK
732. die Schablone | stencil/template | OK
733. die Schar | crowd/flock/ploughshare | OK
734. die Schautafel | exhibition banquet | WRONG: display board - Schautafel means display board or information panel.
735. der Scherben | shards/pieces of broken glass | OK
736. das Schließfach | safe deposit box | OK
737. der Schnaps | liquor/spirits | OK
738. der Schulanfänger | school starter/first-year pupil | OK
739. der Schulbeginn | start of school | OK
740. die Schulnote | grade/mark | OK
741. die Schutzkleidung | protective clothing | OK
742. der Schwangerschaftstest | pregnancy test | OK
743. die Arthrose | arthrosis/osteoarthritis | OK
744. der Sicherheitshinweis | safety information | OK
745. die Sportbekleidung | sportswear | OK
746. die Stadtbahn | light rail | OK
747. die Stilrichtung | style direction | IMPROVE: style/trend - Stilrichtung means a style, school, or trend; style direction is literal.
748. das Straßenkind | street child/street urchin | OK
749. die Krone | crown | OK
750. der Streitschlichter | mediator/arbitrator | OK
751. die Südseite | south side | OK
752. das Superfood | superfood | OK
753. das Symphonieorchester | philharmonic orchestra/symphony orchestra | OK
754. die Syntax | syntax | OK
755. die Talkshow | talk show | OK
756. das Titan | titanium/titanium (element) | OK
757. der Toaster | toaster | OK
758. der Tonträger | audio medium/sound carrier | OK
759. der Tresen | bar/counter | OK
760. das Trockenfutter | feed | IMPROVE: dry food/dry feed - Trockenfutter means dry food or dry feed, not feed in general.
761. die Überfahrt | crossing | OK
762. die Ausschau | lookout | OK
763. die Umbenennung | renaming | OK
764. die Umverteilung | redistribution | OK
765. die Ungewissheit | uncertainty | OK
766. die Uniklinik | university hospital | OK
767. die Unterführung | subway/underpass | OK
768. die Unterwelt | nether world/netherworld/underworld | OK
769. die Unversehrtheit | integrity | OK
770. die Urlaubsreise | vacation trip/holiday trip | OK
771. die Verhaltensänderung | behaviour change/behavioral change/change in behaviour | OK
772. die Verhältnismäßigkeit | proportionality | OK
773. das Verkehrsministerium | transport ministry | OK
774. die Verkehrssituation | communication situation | WRONG: traffic situation - Verkehrssituation means traffic situation, not communication situation.
775. das Verpackungsmaterial | packaging material | OK
776. die Verrichtung | task/activity | OK
777. die Versäumnis | failure/neglect/omission | OK
778. die Verschwörungstheorie | conspiracy theory | OK
779. die Berufstätigkeit | professional activity | OK
780. die Viertelstunde | quarter hour | OK
781. die Vogelperspektive | bird's eye view | OK
782. die Volkswirtschaftslehre | economics | OK
783. das Vollgas | full throttle/pedal to the metal | OK
784. das Volt | volt | OK
785. die Mehrzahl | majority/plural | OK
786. das Vorschulalter | preschool age | OK
787. die Wählerin | elector/voter | OK
788. die Warteschlange | line/queue/waiting line | OK
789. der Wegbereiter | forerunner/pioneer/trailblazer | OK
790. der Weißstorch | white stork | OK
791. der Werbekunde | client | IMPROVE: advertising client - Werbekunde specifically means an advertising client/customer.
792. der Wettkampftag | competition day | OK
793. der Wilde | wild one/savage | OK
794. die Wilderei | poaching | OK
795. die Windschutzscheibe | windshield/windscreen | OK
796. die Winterpause | winter break | OK
797. der Wintertag | winter day | OK
798. die Zahnreinigung | dental cleaning/teeth cleaning | OK
799. der Zeitabstand | time interval | OK
800. der Risikofaktor | risk factor | OK
801. die Zimmerpflanze | houseplant | OK
802. die Zitadelle | citadel | OK
803. die Abkehr | abandonment/rejection/renunciation | OK
804. die Addition | addition/addition reaction | OK
805. der Älteste | eldest/elder | OK
806. die Alufolie | aluminium foil | OK
807. der Amp | amp | OK
808. die Anämie | anemia | OK
809. die Anteilnahme | solicitousness | WRONG: sympathy/condolences - Anteilnahme means sympathy or condolences, not solicitousness.
810. das Arbeitsheft | workbook | OK
811. der Arbeitsweg | commute/way to work | OK
812. der Atemzug | breath | OK
813. der Aufenthaltsstatus | residence status | OK
814. die Aufforstung | reforestation | OK
815. die Auftragsdatenverarbeitung | order data processing | OK
816. der Ausnahmezustand | state of emergency/state of exception | OK
817. die Ausnutzung | exploitation/utilisation | OK
818. das Äußere | appearance/exterior | OK
819. die Aussparung | notch/recess | OK
820. der Bankkunde | bank customer | OK
821. das Selbstverständnis | self-perception | OK
822. der Bauplan | building plan/construction plan | OK
823. der Bausatz | building composition | WRONG: kit/construction set - Bausatz means a kit, not building composition.
824. die Belieferung | supply/delivery | OK
825. die Bete | beet | OK
826. die Betrachtungsweise | approach/view | OK
827. das Bienenvolk | bee colony | OK
828. der Biologieunterricht | biology lessons | OK
829. das Blasen | blowing | OK
830. das Plus | plus | OK
831. der Investor | investor | OK
832. der Freistaat | free state | OK
833. der Kläger | plaintiff | OK
834. die Installation | installation/installation art | OK
835. der Waldrand | edge of the forest | OK
836. das JavaScript | JavaScript | OK
837. das Lesen | reading | OK
838. das Bündnis | alliance/confederation | OK
839. die Publikation | publication | OK
840. der Rechtsanwalt | lawyer/attorney | OK
841. die Ermittlung | investigation | OK
842. der Entwickler | developer | OK
843. die Wochenstunde | hour per week | OK
844. das Wohngebäude | residence/residential building | OK
845. der Container | container | OK
846. die Elektrotechnik | electrical engineering/electro-technics/electrotechnology | OK
847. die Erhaltung | preservation | OK
848. der Malteser | Maltese | OK
849. die Festlegung | determination/specification | OK
850. die Sexualität | sexuality | OK
851. das Fundament | foundation | OK
852. das Jobcenter | job centre/jobcentre | OK
853. der Kaufpreis | buying price/purchase price | OK
854. die Konfiguration | configuration | OK
855. der Sex | sex | OK
856. die Zivilgesellschaft | civil society | OK
857. die Bibel | Bible | OK
858. die Provinz | province | OK
859. der Vermittler | agent/arbitrator/mediator | OK
860. der Zuwachs | growth/increase | OK
861. der Charme | charm | OK
862. das Exponat | exhibit | OK
863. die Schaffung | creation/generation | OK
864. die Simulation | simulation | OK
865. der Single | single | OK
866. die Verpflegung | catering/food and drink | OK
867. der Vorstandsvorsitzende | chairman/chief executive officer | OK
868. der Wolf | wolf | OK
869. die Ziffer | digit/figure/numeral | OK
870. der Datensatz | data record/record | OK
871. der Elternteil | parent | OK
872. das Testament | testament/will | OK
873. die Aufsichtsbehörde | supervisory/regulatory authority | OK
874. die Auslegung | design/interpretation | OK
875. der Stall | boxing agency/fly/racing stable | IMPROVE: stable - Stall primarily means stable; the current gloss obscures the main meaning.
876. die Taufe | baptism/christening | OK
877. die Witterung | atmospheric conditions/scent/weather | OK
878. die Brauerei | brewery | OK
879. die Erreichung | attainment | OK
880. die Erwachsenenbildung | adult education/continuing education | OK
881. der Fußweg | footpath/walkway | OK
882. der Globus | globe | OK
883. der Hort | day-nursery/golden/haven | IMPROVE: after-school care center/refuge - Hort often means after-school care center or refuge; golden is wrong.
884. das Huhn | chicken/fowl/hen | OK
885. das Indiz | circumstantial evidence/indication/sign | OK
886. die Kathedrale | cathedral | OK
887. die Rundreise | round trip | OK
888. die Schöpfung | Creation/creation | OK
889. die Sorgfalt | carefulness/meticulousness | OK
890. die Vergünstigung | discount/concession/benefit | OK
891. die Wertung | evaluation/judgement/rating | OK
892. der Applaus | applause | OK
893. die Ausbildungsstelle | apprenticeship training position | OK
894. der Darm | gut/intestine | OK
895. die Differenzierung | differentiation/distinction | OK
896. der Glanz | brightness/lustre/radiance | OK
897. der Graben | ditch | OK
898. die Hauptstraße | high gate/high street/main street | IMPROVE: main street - Hauptstra?e primarily means main street; high gate is unrelated.
899. der Internetzugang | Internet access | OK
900. der Kubikmeter | cubic metre | OK
901. das Kuratorium | board of trustees/advisory board | OK
902. der Schlauch | hose/tube | OK
903. der Tab | tab | OK
904. die Wirtschaftswissenschaft | economics | OK
905. die Bundesbank | Federal Bank of Germany | OK
906. die Halbinsel | peninsula | OK
907. das Herkunftsland | country of origin | OK
908. der Junior | junior | OK
909. der Qualitätsstandard | quality standard | OK
910. die Raumfahrt | astronautics/space travel | OK
911. der Satellit | satellite | OK
912. die Übelkeit | nausea | OK
913. die Wirtschaftsinformatik | business informatics | OK
914. der Austritt | balcony/leakage/leaving | OK
915. der Brandschutz | fire prevention/fire protection | OK
916. die Buchhaltung | bookkeeping | OK
917. das Controlling | management accounting and control | OK
918. das Duo | duo | OK
919. der Geldbeutel | purse/wallet | OK
920. der Guide | guide | OK
921. der Kamerad | comrade/companion | OK
922. das Kohlenhydrat | carbohydrate | OK
923. die Power | power | OK
924. die Softwareentwicklung | software development | OK
925. die Vollendung | completion/perfection | OK
926. das Attribut | attribute | OK
927. der Bundesgerichtshof | Federal Court of Justice/Federal High Court of Justice/Federal Supreme Court | OK
928. die Chemikalie | chemical | OK
929. der Ernstfall | emergency | OK
930. der Felsen | rock | OK
931. die Halbzeit | half-time | OK
932. der Kardinal | cardinal | OK
933. der Klub | club | OK
934. die Passage | passage/transit | OK
935. die Referenz | reference | OK
936. der Rückblick | retrospective/review | OK
937. der Weinberg | vineyard | OK
938. die Wildnis | wilderness | OK
939. der Advent | Advent | OK
940. die Anstalt | asylum/institute | OK
941. die Ästhetik | aesthetics | OK
942. die Beschleunigung | acceleration/speeding up | OK
943. das Bilderbuch | picture book | OK
944. der Bluetooth | Bluetooth | OK
945. die Dauerausstellung | permanent exhibition | OK
946. die Dosierung | dosage/dose/dosing | OK
947. die Drucke | box/case/coffer | WRONG: prints - Die Drucke is the plural of Druck meaning prints.
948. die Fehlermeldung | error message | OK
949. die Festsetzung | arrest/assessment/detention | IMPROVE: setting/fixing/assessment - Festsetzung primarily means setting or fixing, besides legal assessment.
950. die Freizeitgestaltung | leisure activities | OK
951. der Innenhof | patio | OK
952. das Innenministerium | Home Office/interior ministry | OK
953. der Macher | maker/go-getter | OK
954. das Rechnungswesen | accountancy/accounting | OK
955. der Regierungschef | head of government | OK
956. das Ressort | department | OK
957. die Feste | fortress | OK
958. die Synagoge | shul/synagog/synagogue | OK
959. die Unterseite | underside/bottom | OK
960. die Verbindlichkeit | courtesy/liability/obligation | OK
961. die Abnahme | decrease/lessening/official acceptance | OK
962. die Abschaffung | abolition | OK
963. die Bürgschaft | bond/guaranty/suretyship | OK
964. die Ausbreitung | broadening/diffusion/dispersion | OK
965. der Controller | controller | OK
966. der Durchfall | diarrhea/diarrhoea/failure | OK
967. der Energieträger | energy carrier | OK
968. die Geschenkidee | gift idea | OK
969. die Marktwirtschaft | market economy | OK
970. der Rechtsanspruch | entitlement/legal claim | OK
971. die Rezension | critique/recension/review | OK
972. der Schädling | pest | OK
973. der Schuldner | debtor | OK
974. die Selbständigkeit | independence/self-employment | OK
975. der Sommermonat | summer month | OK
976. die Staatsangehörigkeit | citizenship/nationality | OK
977. die Vogelart | bird species | OK
978. die Beilage | attachment/garnishings/inclosure | IMPROVE: side dish/supplement/enclosure - Beilage is usually a side dish, supplement, or enclosure.
979. die Buchmesse | book fair | OK
980. der Bundesbürger | German citizen/federal citizen | OK
981. die Erscheinung | apparition/appearance/aspect | OK
982. das Erscheinungsbild | appearance/aspect/garb | OK
983. die Grafikkarte | graphics card | OK
984. die Grundkenntnis | basic knowledge | OK
985. die Ideologie | ideology | OK
986. der Krankheitserreger | pathogen/germ | OK
987. das Leuchten | brilliance/luminescence/radiance | OK
988. das Monster | monster | OK
989. der Zähler | counter/numerator | OK
990. der Anstoß | annoyance/initiation/kick-off | OK
991. das Atom | atom | OK
992. das Eigenheim | home/homestead | OK
993. die Einweihung | inauguration | OK
994. die Kündigungsfrist | notice period | OK
995. die Liegenschaft | immovable/piece of real estate/property | OK
996. das Meeting | meeting | OK
997. die Methodik | method/methodology | OK
998. der Mitstreiter | companion/comrade-in-arms | OK
999. das Oktoberfest | Oktoberfest | OK
1000. der Player | player | OK
