1. das Burgfräulein | castle Miss | WRONG: damsel of the castle - The current gloss is unidiomatic and mistranslates Fraeulein as the title Miss.
548. der Jutebeutel | jute bag | OK
549. der Kabelkanal | cable channel/cable duct | OK
550. der Kaffeekonsum | coffee consumption | OK
551. die Kaffeemühle | coffee grinder/coffee mill/coffeemill | OK
552. die Verhaltensweise | behaviour/course of conduct | OK
553. die Kaffeesorte | coffee type | OK
554. die Kaffeetasse | coffee cup | OK
555. das Kälbchen | calf | OK
556. das Kaltgetränk | cold beverage | OK
557. die Kaltluft | cold air | OK
558. das Kamerabild | camera image | OK
559. die Kameraleute | camera people | WRONG: camera operators/camera crew - Kameraleute is the people operating cameras.
560. das Kaminfeuer | chimney fire | WRONG: fireplace fire - Kaminfeuer is a fire in the fireplace, not a chimney fire.
561. der Karfreitag | Good Friday | OK
562. der Kampfmittelräumdienst | duty | WRONG: explosive ordnance disposal service - The current gloss omits the entire compound meaning.
563. der Kampfstoff | combat agent/warfare agent | OK
564. der Kapitalbedarf | capital need | IMPROVE: capital requirements - This is the idiomatic business term.
565. die Kapitalertragsteuer | capital gains tax | OK
566. der Karolinger | Carolingian | OK
567. der Kartoffelbrei | mashed potato/mashed potatoes | OK
568. der Kartoffelpuffer | fried mashed potatoes/fried potato patty/latke | OK
569. das Kartoffelpüree | mashed potato/mashed potatoes | OK
570. die Kartografie | cartography | OK
571. der Käsekuchen | cheesecake | OK
572. die Käsetheke | cheese counter | OK
573. die Kaskoversicherung | collision damage insurance/partially comprehensive insurance | OK
574. der Katamaran | catamaran | OK
575. das Katapult | catapult | OK
576. der Katholizismus | Catholicism | OK
577. der Katzenbesitzer | bitch possessor | WRONG: cat owner - The current gloss mistranslates Katze.
578. die Katzenrasse | cat breed | OK
579. die Kaue | miners' changing room | OK
580. der Kaufmannsladen | businessman business | WRONG: toy shop/pretend shop - Kaufmannsladen is a children's play shop.
581. die Kaulquappe | polliwog/pollywog/porriwiggle | OK
582. der Keil | gore/wedge | OK
583. das Kernobst | pome fruit | OK
584. die Kerntemperatur | core temperature | OK
585. die Kettlebell | kettlebell | OK
586. der Keyboarder | keyboardist | OK
587. der Kibbuz | kibbutz | OK
588. der Kieferknochen | pine bone | WRONG: jaw bone - Kiefer means jaw here, not pine.
589. der Kiesel | pebble | OK
590. der Kieselstein | pebble | OK
591. der Kiesstrand | pebble beach | OK
592. die Kindergärtnerin | nursery teacher | OK
593. der Kindergottesdienst | child (church) service | IMPROVE: children's church service - The current gloss is awkward and underspecified.
594. die Kinderkleidung | children's clothing | OK
595. die Kinderliteratur | child literature | IMPROVE: children's literature - The current gloss is unidiomatic English.
596. der Kinderpunsch | children's punch/non-alcoholic fruit punch | OK
597. der Kinderschreibtisch | child desk | IMPROVE: child's desk - The current gloss is unidiomatic English.
598. die Kindersterblichkeit | child mortality | OK
599. der Kindheitstraum | childhood dream | OK
600. das Kirchenamt | church office | OK
601. der Kirchenaustritt | church balcony | WRONG: leaving the church - Kirchenaustritt means formally leaving a church, not a balcony.
602. das Kirchenmitglied | church member | OK
603. die Kirchenprovinz | ecclesiastical province | OK
604. der Kirchenvater | Christian Fathers/Church Fathers/Early Church Fathers | OK
605. der Klarname | name | WRONG: real name - Klarname means the real/plain name, not name in general.
606. die Klassenkameradin | classmate | OK
607. der Klecks | blot/splotch | OK
608. das Kleegras | clover grass | OK
609. die Kleinbäuerin | crofter | IMPROVE: small farmer (female) - Crofter is region-specific and less useful for Kleinbaeuerin.
610. der Kleinbetrieb | bran business | WRONG: small business - The current gloss mistranslates Klein- as bran.
611. die Kleinkunstbühne | cabaret | OK
612. das Kleinstlebewesen | microorganism | OK
613. die Klickzahl | click count | OK
614. das Klinikpersonal | clinic staff | OK
615. das Knacken | cracking | OK
616. der Knieschmerz | knee pain | OK
617. die Knieverletzung | knee injury | OK
618. das Knirschen | crunching/grinding | OK
619. der Koala | koala | OK
620. der Koalitionsausschuss | coalition committee | OK
621. die Kochbox | cooking box/meal kit | OK
622. die Kollegialität | collegiality | OK
623. der Kolonialherr | Lord | WRONG: colonial ruler/colonizer - Kolonialherr is a colonial ruler, not simply a lord.
624. der Kolonialstil | style | WRONG: colonial style - The current gloss omits colonial.
625. die Kolonne | convoy/fractionating column | OK
626. die Kolumnistin | columnist | OK
627. der Kommissionspräsident | commission chairman | OK
628. das Kommunikationsproblem | communication problem | OK
629. der Komplott | conspiracy/plot | OK
630. die Kompostierung | composting | OK
631. der Konditor | confectioner | OK
632. der Konferenzsaal | conference hall | OK
633. das Konfetti | confetti | OK
634. die Kongregation | congregation | OK
635. die Kongresshalle | congress hall | OK
636. der Königspalast | royal palace | OK
637. das Karzinom | carcinoma | OK
638. das Konklave | conclave | OK
639. die Konservendose | can/tin | OK
640. der Konstruktor | constructor | OK
641. das Kontor | trading post/office (historical) | OK
642. das Kontrollkästchen | checkbox/tick box/tickbox | OK
643. der Kontrollraum | control room | OK
644. der Kontrollverlust | tailspin | WRONG: loss of control - The current gloss gives an idiomatic result, not the noun meaning.
645. das Konvolut | bundle/collection | OK
646. die Konzipierung | conception/design | OK
647. die Kopfnote | head grade | WRONG: top note - Kopfnote is a top note in perfume, not a head grade.
648. das Kopfschütteln | head shake | OK
649. die Kopfweide | pollarded willow | OK
650. die Koreanerin | Korean | OK
651. die Körnung | decoy place/grain | WRONG: grain size - Koernung means granularity; the current gloss contains unrelated noise.
652. das Körperinnere | body interior | OK
653. die Körperlichkeit | carnality/corporality/corporeality | OK
654. die Körpermitte | core/midsection | OK
655. der Kosmetikartikel | cosmetics/cosmetic product | OK
656. der Kosmetiker | cosmetician | OK
657. die Kostenentwicklung | cost trend/cost development | OK
658. der Kostümbildner | costume artist | OK
659. der Kranführer | crane driver/crane operator | OK
660. die Krankenbehandlung | care | WRONG: medical treatment - Krankenbehandlung is treatment of patients, not care in general.
661. die Kränkung | slight | OK
662. der Krautsalat | coleslaw/slaw | OK
663. das Kästchen | ballot box/box/small box | IMPROVE: small box/checkbox - Ballot box is not the usual meaning of Kaestchen.
664. die Kreditbank | commercial bank/credit bank | OK
665. die Kreditkarteninformation | credit card information | OK
666. der Kriegsbeginn | start of the war | OK
667. der Kriegsflüchtling | war refugee | OK
668. die Kriegspartei | belligerent party/warring party | OK
669. der Kriegsverbrecher | war criminal | OK
670. die Krisenbewältigung | crisis management | OK
671. die Kritikerin | critic | OK
672. der Krokus | crocus | OK
673. das Kronblatt | petal | OK
674. der Kronjuwel | crown jewel | OK
675. die Kronkolonie | crown colony | OK
676. der Kropf | crop/goiter/goitre | OK
677. die Krümmung | curvature | OK
678. der Kubaner | Cuban | OK
679. der Kubikzentimeter | cubic centimetre | OK
680. das Küchenmesser | kitchenknife | IMPROVE: kitchen knife - The current gloss needs the standard spacing.
681. der Kühlergrill | radiator grille | OK
682. das Kühlmittel | average | WRONG: coolant - The current gloss is unrelated.
683. die Volkshochschule | adult education centre | OK
684. die Kühltasche | cool bag | OK
685. das Kinderprogramm | children's program | OK
686. das Kulturmagazin | culture mag/culture program | OK
687. die Kulturministerin | cultural minister | OK
688. der Kulturschatz | cultural treasure | OK
689. der Kulturschock | culture shock | OK
690. die Kumulierung | cumulation | OK
691. die Kundenliste | client list | OK
692. die Kunstfigur | art figure | WRONG: fictional character/persona - Kunstfigur means an invented artistic persona, not an art figure.
693. die Kunstgalerie | art gallery | OK
694. das Kunstharz | art gum | WRONG: synthetic resin - Kunstharz is synthetic resin, not gum.
695. die Kunststofffolie | plastic foil | OK
696. der Klassenkamerad | classmate | OK
697. das Kuratoriumsmitglied | curatorship member | WRONG: board-of-trustees member - Kuratorium is a board of trustees, not curatorship.
698. der Kuraufenthalt | cure delay | WRONG: spa stay - Kur means spa treatment/cure, not delay.
699. die Kürbissuppe | gourd soup | WRONG: pumpkin soup - Kuerbis in this food compound is pumpkin.
700. die Kurzatmigkeit | shortness of breath | OK
701. die Kurzweil | amusement/diversion/pastime | OK
702. die Küstenlinie | coastline | OK
703. die Küstenwache | coast guard | OK
704. der Kustos | curator/custos | OK
705. das Kyrie | Kyrie | OK
706. der Laborwert | lab price | WRONG: lab value - Wert means value here, not price.
707. der Labrador | Labrador | OK
708. der Lachmuskel | risible muscle | WRONG: laugh muscle - The current gloss is an obscure literal rendering.
709. die Ladenkasse | business cash | WRONG: cash register - Ladenkasse is the register/till in a shop.
710. der Laichplatz | spawning site | OK
711. der Ländercode | country code | OK
712. der Landesfürst | country prince | WRONG: territorial prince/ruler - Landesfuerst is a ruler of a territory, not a country prince.
713. der Landschaftsmaler | landscape artist/landscape painter/landscapist | OK
714. die Landschaftsmalerei | landscape painting | OK
715. die Landschildkröte | tortoise | OK
716. die Landungsbrücke | landing backbend | WRONG: landing stage - The current gloss is nonsensical.
717. die Landwirtschaftsministerin | agriculture minister | OK
718. die Landwirtschaftsschule | agricultural college | OK
719. die Landzunge | country tongue | WRONG: headland - Landzunge is a geographic spit/headland, not a tongue of a country.
720. die Kletterhalle | hall | WRONG: climbing gym/climbing hall - The compound specifies a climbing facility, not any hall.
721. die Langhantel | barbell | OK
722. das Ziehen | pulling/drawing | OK
723. die Langzeitarbeitslosigkeit | joblessness | WRONG: long-term unemployment - The current gloss omits long-term.
724. der Lärmpegel | noise level | OK
725. die Lasagne | lasagna | OK
726. das Laubblatt | leaf | OK
727. der Laubsauger | leaf vacuum | OK
728. die Laufgruppe | group of runners/running club/running group | OK
729. die Laufruhe | barrel calm | WRONG: smooth running - Laufruhe describes how smoothly/quietly something runs.
730. das Läuten | ringing (of bells) | OK
731. der Lautstärkeregler | volume controller | OK
732. die Klinke | handle/latch/phone jack | OK
733. der Lebensmittelskandal | food scandal | OK
734. die Lebensmittelversorgung | food supply | OK
735. der Lederschuh | leather shoe | OK
736. die Leerfahrt | empty run | OK
737. das Leerrohr | emptiness duct | WRONG: empty conduit - Leerrohr is a vacant conduit/duct, not emptiness.
738. das Lehrmittel | apprenticeship average | WRONG: teaching aid - Lehrmittel are instructional materials, not apprenticeship averages.
739. die Lehrverpflichtung | apprenticeship commitment | WRONG: teaching load/obligation - Lehrverpflichtung is an obligation to teach.
740. der Leichtathlet | athlete | IMPROVE: track-and-field athlete - Leichtathlet is more specific than athlete.
741. der Leihgeber | lender | OK
742. das Leitprinzip | guiding principle | OK
743. die Lenkstange | bar | WRONG: handlebar - Lenkstange is a steering/handlebar, not a bar in general.
744. die Lernschwäche | learning disability/learning disorder | OK
745. die Lesebrille | reading glasses | OK
746. der Knorpel | cartilage/gristle | OK
747. der Leserkreis | readership/circle of readers | OK
748. der Letten | Latvians | WRONG: loam/clay - With article der, Letten is a soil/clay term, not Latvians.
749. der Leuchter | candelabrum/candlestick | OK
750. der Leukozyt | leukocyte/white blood cell | OK
751. der Lichtblitz | light flash | OK
752. der Lichtkegel | light cone | OK
753. die Lichtverschmutzung | light pollution/photopollution | OK
754. der Lieblingsfilm | favourite film | OK
755. das Lieblingsgetränk | favourite drink | OK
756. der Lieblingsschuh | favourite shoe | OK
757. das Lieblingsspielzeug | favourite toy | OK
758. das Liederbuch | songbook | OK
759. die Kohlensäure | carbonic acid | OK
760. die Limo | soda | OK
761. der Linksextremismus | far left/left-wing extremism | OK
762. die Literaturliste | bibliography/reading list | OK
763. der Literaturnobelpreisträger | Nobel laureate in literature | OK
764. der Lockenstab | curling iron | OK
765. die Lokalpresse | local press | OK
766. das Lorbeerblatt | bay leaf/laurel leaf | OK
767. der Löschangriff | assailment | WRONG: firefighting operation - Loeschangriff is an operation to extinguish a fire, not an assault.
768. der Lötkolben | soldering iron | OK
769. das Luftschiff | aeroplane/airplane/airship | WRONG: airship - Luftschiff means airship; airplane is misleading.
770. die Luftströmung | air current | OK
771. die Lungenfibrose | lung fibrosis/pulmonary fibrosis | OK
772. die Kommunikationswissenschaft | communication science/communication studies | OK
773. das Luxusproblem | luxury problem | OK
774. der Magensaft | gastric juice | OK
775. die Magensäure | gastric acid | OK
776. die Magnetresonanztomografie | magnetic resonance imaging/nuclear magnetic resonance imaging | OK
777. das Makromolekül | macromolecule | OK
778. das Malbuch | colouring book | OK
779. der Manga | manga | OK
780. der Männerberuf | male-dominated profession | OK
781. der Marktbericht | market report | OK
782. der Marktleiter | store manager/market manager | OK
783. die Marone | bay bolete/chestnut/sweet chestnut | OK
784. der Mascarpone | mascarpone | OK
785. die Maschinenpistole | submachine gun | OK
786. der Maschinenraum | engine room/machine room | OK
787. die Masernimpfung | measles vaccination | OK
788. die Massenschlägerei | mass brawl | OK
789. die Mastektomie | mastectomy | OK
790. der Matchball | match point | OK
791. das Materiallager | material store/material storage | OK
792. der Matrose | sailor | OK
793. die Mattscheibe | screen/matt glass | OK
794. das Mediengesetz | media law | OK
795. der Mehrkampf | all-around | OK
796. das Konsumgut | consumer good/final good | OK
797. die Meise | bonkers/paridae/tit | OK
798. die Meisterleistung | champion benefit | WRONG: masterly performance - Leistung means performance/achievement, not benefit.
799. die Menschenansammlung | gathering/gathering of people | OK
800. die Menschenkette | human chain | OK
801. der Menschensohn | Son of Man | OK
802. die Menschenverachtung | human contempt | WRONG: contempt for humanity - The current gloss is a literal mistranslation.
803. der Metallstab | metal bar | OK
804. die Meute | pack | OK
805. der Mikroprozessor | microprocessor | OK
806. das Mikrosystem | structure | WRONG: microsystem - The current gloss omits the actual term.
807. die Milchpumpe | breast pump | OK
808. der Militäreinsatz | military operation | OK
809. der Milliardenbetrag | billion absolute value | WRONG: amount in billions - Betrag means amount, not absolute value.
810. die Milz | spleen | OK
811. der Minigolfplatz | mini-golf course | OK
812. der Ministrant | altar boy/ministrant | OK
813. der Minutentakt | minute bar | WRONG: one-minute intervals - Minutentakt means at minute intervals, not a bar.
814. das Misstrauensvotum | vote of no-confidence | OK
815. der Miteigentümer | co-owner/coproprietor | OK
816. der Mitesser | blackhead/comedo | OK
817. der Mitorganisator | co-organiser/coorganizer | OK
818. das Mittagsgebet | lunchtime prayer | OK
819. der Mittellauf | middle reaches | OK
820. die Mittellinie | center line/midline | OK
821. die Möbelindustrie | furniture industry | OK
822. der Mobilfunkkunde | mobile communications client | IMPROVE: mobile phone customer - The current gloss is understandable but not idiomatic learner English.
823. die Modeschau | fashion exhibition | WRONG: fashion show - Modeschau is a runway/fashion show, not an exhibition.
824. das Molkereiprodukt | dairy product | OK
825. der Montagmittag | Monday lunchtime | OK
826. der Mopp | mop | OK
827. der Motorblock | engine bloc | IMPROVE: engine block - Bloc is the wrong English word for the engine part.
828. die Mucke | caprice/flaw/foible | WRONG: music (slang) - Mucke commonly means music/gig in colloquial German; the current gloss misses that primary use.
829. der Mückenstich | mosquito bite | OK
830. die Müllhalde | garbage dump | OK
831. die Müllkippe | dump/waste tip | OK
832. die Müllsammelaktion | action | WRONG: waste collection campaign - The compound means an organized trash collection action.
833. die Mülltüte | garbage bag | OK
834. der Multilateralismus | multilateralism | OK
835. der Mündel | ward | OK
836. die Mundharmonika | harmonica/mouth organ/mouthorgan | OK
837. der Museumsleiter | museum director/museum manager | OK
838. das Musikleben | music life | OK
839. die Musiktherapie | music therapy | OK
840. der Muskelfaserriss | torn muscle fiber | OK
841. die Muskelschicht | muscle layer | OK
842. der Muslimbruder | brother | WRONG: Muslim Brother - The compound refers to a member of the Muslim Brotherhood, not brother in general.
843. die Mutmaßung | supposition/conjecture | OK
844. die Mykologie | mycology | OK
845. die Nabe | hub | OK
846. das Nachbarhaus | neighboring house | OK
847. der Nachhauseweg | method | WRONG: way home - Nachhauseweg means the route home, not a method.
848. die Nachhilfelehrerin | extra assistance female | WRONG: female tutor - Nachhilfelehrerin is a tutor giving extra lessons.
849. die Nachtarbeit | night business | WRONG: night work - Arbeit means work here, not business.
850. das Nachtlicht | night light/nightlight | OK
851. das Nachtschattengewächs | nightshade/solanum | OK
852. der Nachttisch | bedside table/night table/nightstand | OK
853. der Nachtzug | night train | OK
854. die Nachweisgrenze | detection limit | OK
855. das Nachwuchsproblem | shortage of young talent/succession problem | OK
856. das Nacktfoto | nude picture | OK
857. der Kontoinhaber | account holder | OK
858. die Nahrungsmittelindustrie | food industry/foodstuff industry | OK
859. die Namensliste | name list | OK
860. das Zivilrecht | civil law | OK
861. die Narzisse | daffodil | OK
862. die Nasendusche | nasal douche/nasal rinse | OK
863. die Nasennebenhöhle | paranasal sinus | OK
864. die Nasenspitze | tip of the nose | OK
865. die Nationalelf | national team | OK
866. die Nationalratswahl | National Council election | OK
867. die Naturgeschichte | natural history | OK
868. die Naturkonstante | natural constant/physical constant | OK
869. die Naturwissenschaftlerin | natural scientist | OK
870. die Nebelmaschine | fog machine/smoke machine | OK
871. der Nematode | nematode | OK
872. das Netzwerkprotokoll | network protocol | OK
873. die Neuansiedlung | settle | WRONG: resettlement/new settlement - Neuansiedlung is a noun, not the verb settle.
874. die Neuaufnahme | absorption | WRONG: new admission/intake - Neuaufnahme means taking/admitting anew, not absorption generally.
875. der Neujahrstag | New Year stay | WRONG: New Year's Day - The current gloss mistranslates Tag as stay.
876. der Neunte | ninth | OK
877. der Newsfeed | news feed/web feed | OK
878. das Nichtwissen | not knowing/ignorance | OK
879. der Niederwald | coppice | OK
880. das Niedrigenergiehaus | low-energy house | OK
881. der Niedriglohn | low wage | OK
882. die Nordseeinsel | island | WRONG: North Sea island - The compound specifies an island in the North Sea.
883. der Nordteil | northern part | OK
884. der Nordwest | north-west/northwest | OK
885. die Notarin | notary (female) | OK
886. der Notarztwagen | emergency physician Dipper | WRONG: emergency ambulance - The current gloss is nonsensical.
887. die Notation | musical notation | IMPROVE: notation - The word is broader than musical notation.
888. der Notgroschen | savings for a rainy day | OK
889. die Notifizierung | notification | OK
890. die Kontrollgruppe | control group | OK
891. die Notlösung | emergency solution/stopgap/stopgap solution | OK
892. das Notstromaggregat | emergency generator | OK
893. der Novemberpogrom | November pogrom | OK
894. die Nüchternheit | rationality/soberness/sobriety | OK
895. der Nullpunkt | cipher dot | WRONG: zero point - Nullpunkt is zero point, not cipher dot.
896. die Numerik | numerical analysis/numerics | OK
897. der Nutella | Nutella | OK
898. das Obdach | shelter | OK
899. der Oberbau | track | WRONG: superstructure - Oberbau usually means superstructure; track is too narrow here.
900. der Oberbauch | epigastrium | OK
901. der Oberbefehlshaber | commander-in-chief | OK
902. die Oberbekleidung | outerwear | OK
903. die Oberflächenstruktur | surface structure/texture | OK
904. das Oberseminar | advanced seminar | OK
905. die Obliegenheit | duty/obligation | OK
906. die Obligation | obligation | OK
907. das Observatorium | observatory | OK
908. der Obstkorb | fruit basket | OK
909. die Offizin | pharmacy/printing house | OK
910. das Ohm | ohm/ohm (unit) | OK
911. der Ohrhörer | earphone | OK
912. die Ohrmarke | ear tag | OK
913. das Oktett | octet | OK
914. das Ölfeld | oil field | OK
915. der Ölfilter | oil filter | OK
916. der Oligarch | oligarch | OK
917. die Ölsaat | oilseed | OK
918. die Ölspur | trail of oil | OK
919. die Olympiamannschaft | Olympic team | OK
920. die Ombudsperson | person | WRONG: ombudsperson - The current gloss omits the ombuds role.
921. das Omen | omen | OK
922. die Onlinekommunikation | communication | WRONG: online communication - The compound specifies online communication.
923. die Orchestrierung | orchestration | OK
924. der Orientalist | orientalist | OK
925. der Orientierungspunkt | orientation dot | WRONG: orientation point/reference point - Punkt means point here, not dot.
926. der Kündigungsschutz | protection against dismissal | OK
927. der Ortsansässige | resident | OK
928. der Osteopath | osteopath | OK
929. die Osterzeit | Easter season/Easter time | OK
930. die Ostkirche | Eastern Christianity | IMPROVE: Eastern Church - Ostkirche refers to an Eastern church tradition/institution.
931. die Ostseeinsel | Baltic Sea island | OK
932. der Ostseestrand | beach | WRONG: Baltic Sea beach - The compound specifies the Baltic Sea.
933. der Ostwind | east wind/easterly wind | OK
934. der Otter | otter | OK
935. die Ovation | ovation | OK
936. der Overall | jumpsuit/overall | OK
937. die Ozonschicht | ozone layer | OK
938. die Paarbeziehung | affair | WRONG: couple relationship - Paarbeziehung is a couple relationship, not an affair.
939. der Paläontologe | paleontologist | OK
940. die Papiertüte | paper bag | OK
941. das Paradox | paradox | OK
942. die Kunstszene | art scene | OK
943. der Parkettboden | parquet flooring | OK
944. der Parteifreund | party colleague | OK
945. die Parteiführung | party command | WRONG: party leadership - Fuehrung means leadership here, not command.
946. die Parteispitze | party leaders/party leadership | OK
947. die Passbehörde | passport office/passport authority | OK
948. der Pastoralreferent | pastoral assistant | OK
949. das Patrizierhaus | patrician house | OK
950. der Pazifist | pacifist | OK
951. die Peergroup | peer group | OK
952. der Pelletofen | pellet stove | OK
953. die Penetration | penetration | OK
954. der Penner | bum | OK
955. das Periodikum | periodical | OK
956. die Personenbeschreibung | person description | OK
957. das Petabyte | petabyte | OK
958. die Pfarre | parish | OK
959. der Pferdefreund | horse lover/horse-lover/horselover | OK
960. der Pferdewirt | groom/stablehand | OK
961. der Pflanzenextrakt | plant extract | OK
962. die Pflegefachfrau | qualified nurse/care specialist (female) | OK
963. der Pflegefachmann | qualified nurse/care specialist (male) | OK
964. der Pflock | peg/stake | OK
965. der Pförtner | doorman/gatekeeper/porter | OK
966. der Phänotyp | phenotype | OK
967. der Philister | Philistines/philistine | OK
968. der Philologe | philologist | OK
969. die Piratenpartei | Pirate Party | OK
970. die Pirsch | stalking (hunting) | OK
971. der Pizzabäcker | pizzaiolo/pizzamaker | OK
972. das Planetensystem | planetary system | OK
973. die Plastikhülle | sculpture case | WRONG: plastic cover - Huelle means cover/casing, not sculpture case.
974. die Plastikverpackung | plastic packaging | OK
975. die Plünderung | looting/plundering | OK
976. der Kurztrip | trip | IMPROVE: short trip - Kurz- adds the meaning short.
977. die Pneumokokke | pneumococcus/streptococcus pneumoniae | OK
978. die Pneumonie | pneumonia | OK
979. der Podologe | chiropodist/podiatrist/podologist | OK
980. der Polarforscher | explorer | WRONG: polar explorer - The compound specifies a polar explorer.
981. die Polizeiakademie | police academy | OK
982. die Polizeistreife | police patrol | OK
983. die Polka | polka | OK
984. der Porno | porn/porno | OK
985. die Pornografie | pornography | OK
986. das Portmonee | wallet/purse | OK
987. die Portokasse | postage cash | WRONG: petty cash - Portokasse idiomatically means petty cash.
988. die Potsdamerin | person from Potsdam (female) | OK
989. die Pränataldiagnostik | prenatal diagnosis | OK
990. das Präsens | indicative present time/present/present time | IMPROVE: present tense - This is the standard grammar term.
991. der Präsidentschaftskandidat | presidential candidate | OK
992. der Presseausweis | press identity card | OK
993. die Pressestimme | press comment/press opinion | OK
994. das Prestigeprojekt | prestige project | OK
995. der Preußenkönig | Prussian king | OK
996. die Priesterin | churchwoman/priestess | OK
997. der Primus | top of the class | OK
998. die Privatadresse | address | WRONG: private address - The compound specifies private address.
999. das Privatunternehmen | business | WRONG: private company - The compound specifies a privately owned company.
1000. das Probespiel | audition/trial performance | OK
