1. sein | be | OK
855. ernÃ¤hren | feed/nourish | OK
856. verbauen | block/use up (materials) | OK
857. wandeln | change/stroll | OK
858. einigen | agree/unite | OK
859. hinterfragen | question | OK
860. lenken | steer/direct | OK
861. sortieren | sort | OK
862. verhandeln | negotiate | OK
863. bewundern | admire | OK
864. drÃ¤ngen | push/urge | OK
865. vergrÃ¶ÃŸern | enlarge/increase | OK
866. verschlieÃŸen | close/lock | OK
867. verwÃ¶hnen | spoil/pamper | OK
868. abhalten | hold/prevent | OK
869. anbauen | grow/cultivate | OK
870. anstellen | employ/hire | OK
871. entgegenwirken | counteract | OK
872. gratulieren | congratulate | OK
873. verbleiben | remain | OK
874. erlassen | enact/waive | OK
875. fÃ¼rchten | fear | OK
876. hochladen | upload | OK
877. montieren | install/mount | OK
878. auskennen | be familiar with | OK
879. fortfÃ¼hren | continue | OK
880. spiegeln | reflect/mirror | OK
881. trÃ¤umen | dream | OK
882. auflisten | list | OK
883. erÃ¶rtern | discuss/debate | OK
884. fangen | catch | OK
885. Ã¼berweisen | transfer | OK
886. verdoppeln | double | OK
887. abschalten | turn off | OK
888. anfÃ¼hren | lead/cite | OK
889. ausliefern | deliver/extradite | OK
890. abstellen | turn off/park | OK
891. voranbringen | advance/move forward | OK
892. abheben | take off/withdraw | OK
893. entziehen | withdraw/revoke | OK
894. fotografieren | photograph/take a photo | OK
895. interpretieren | interpret | OK
896. mitarbeiten | collaborate | OK
897. ausleihen | borrow/lend | OK
898. hervorrufen | cause/evoke | OK
899. entschlieÃŸen | decide | OK
900. ermutigen | encourage | OK
901. Ã¼bertreffen | surpass/exceed | OK
902. verpacken | pack/wrap | OK
903. zuhÃ¶ren | listen | OK
904. programmieren | program/code | OK
905. darlegen | explain/present | OK
906. heiraten | marry | OK
907. widerrufen | revoke/cancel | OK
908. einlassen | let in/get involved in | OK
909. ernennen | appoint | OK
910. werten | rate/evaluate | OK
911. nachlesen | look up/read up on | OK
912. abzielen | aim at | OK
913. anweisen | instruct/assign | OK
914. bestechen | bribe/impress | OK
915. schÃ¤digen | damage/harm | OK
916. verweigern | refuse/deny | OK
917. anklicken | click on | OK
918. aufbringen | raise/apply | OK
919. versammeln | gather/assemble | OK
920. gliedern | structure/divide | OK
921. unterschÃ¤tzen | underestimate | OK
922. abschaffen | abolish | OK
923. abweichen | deviate/differ | OK
924. stehlen | steal | OK
925. Ã¼bersteigen | exceed | OK
926. vortragen | present/recite | OK
927. ausstrahlen | broadcast/radiate | OK
928. erholen | recover/relax | OK
929. schienen | seem/seemed | OK
930. verschenken | give away | OK
931. vorlesen | read aloud | OK
932. zurÃ¼cklegen | cover (distance)/save | OK
933. schwimmen | swim | OK
934. ansagen | announce | OK
935. kriegen | get | OK
936. reprÃ¤sentieren | represent | OK
937. streiten | argue/fight | OK
938. abspielen | play (back) | OK
939. ausscheiden | drop out/be eliminated | OK
940. ignorieren | ignore | OK
941. umziehen | move/change clothes | OK
942. Ã¼bersehen | overlook | OK
943. wiegen | weigh | OK
944. einbetten | embed | OK
945. fokussieren | focus | OK
946. kleben | stick/glue | OK
947. zuweisen | assign | OK
948. abrechnen | settle/bill | OK
949. ausbreiten | spread out | OK
950. dominieren | dominate | OK
951. eingreifen | intervene | OK
952. umbauen | rebuild/renovate | OK
953. vollziehen | carry out/execute | OK
954. aufladen | charge/load | OK
955. erbauen | build/construct | OK
956. ernten | harvest | OK
957. reservieren | reserve | OK
958. verstÃ¤ndigen | notify/inform | OK
959. zusammenfÃ¼hren | bring together | OK
960. zusammenhÃ¤ngen | be connected/be related | OK
961. fressen | eat (animals)/devour | OK
962. reparieren | repair | OK
963. zugeben | admit | OK
964. pflanzen | plant | OK
965. unterteilen | divide | OK
966. aufpassen | pay attention/be careful | OK
967. bestreiten | deny/finance | OK
968. eintreffen | arrive | OK
969. erwirtschaften | generate/earn | OK
970. hinnehmen | accept/put up with | OK
971. Ã¼berfordern | overwhelm | OK
972. tauchen | dive | OK
973. zusagen | accept/promise | OK
974. aufsetzen | put on/draft | OK
975. bestaunen | marvel at | OK
976. wiedergeben | reproduce/render | OK
977. austragen | deliver/host (event) | OK
978. einloggen | log in | OK
979. erhoffen | hope for | OK
980. zurÃ¼ckweisen | reject/refuse | OK
981. behindern | hinder/obstruct | OK
982. entlassen | dismiss/fire | OK
983. klagen | complain/sue | OK
984. weiterfÃ¼hren | continue | OK
985. anheben | raise/lift | OK
986. anknÃ¼pfen | connect/resume | OK
987. aufgehen | open/work out | OK
988. beanspruchen | claim/demand | OK
989. gucken | look/watch | OK
990. ordnen | arrange/organise | OK
991. teilhaben | participate/share in | OK
992. verbrennen | burn | OK
993. versterben | pass away/die | OK
994. ausnutzen | exploit/take advantage of | OK
995. schelten | scold | OK
996. unterziehen | undergo/subject to | OK
997. vermerken | note/record | OK
998. vorfinden | find | OK
999. reiÃŸen | tear/rip | OK
1000. resultieren | result | OK
