1. beklatschen | applaud | OK
791. entsetzen | horrify/horror-stricken/relieve | OK
792. entspiegeln | apply an antireflection coating | OK
793. entwaffnen | disarm | OK
794. entwarnen | give the all clear | OK
795. erbeben | quake/shudder | OK
796. erbittern | enrage | OK
797. erdrosseln | throttle | OK
798. erheischen | demand | OK
799. erklettern | climb/climb up | OK
800. ersäufen | drown | OK
801. erzittern | quake/tremble | OK
802. erzürnen | enrage | OK
803. exerzieren | drill/practice/practise | OK
804. exkludieren | debar/exclude/expel | OK
805. expedieren | dispatch/forward/post | OK
806. fabulieren | fabricate/tell tall tales | OK
807. fakturieren | bill/invoice | OK
808. falsifizieren | falsify | OK
809. fauchen | hiss | OK
810. feixen | smirk/sneer at | OK
811. fermentieren | ferment | OK
812. festnageln | nail down/pill down | OK
813. fetzen | shred/tear; fight | OK
814. ficken | bone/bonk/fuck | OK
815. fiepen | beep/squeak | OK
816. fingern | finger/touch | OK
817. fingieren | feign | OK
818. flambieren | flambe/flambé | OK
819. flanschen | flange | OK
820. flehen | entreat/implore/supplicate | OK
821. flektieren | inflect | OK
822. fliesen | tile | OK
823. flirren | shimmer | OK
824. flügeln | wing | OK
825. fluoreszieren | fluoresce | OK
826. forteilen | hasten away/hurry away/hurry off | OK
827. fortspülen | wash away | OK
828. fortwollen | go/go away/leave | OK
829. fotokopieren | photocopy | OK
830. frappieren | amaze/astonish/astound | OK
831. freipressen | deliver by blackmail/obtain someone's release | OK
832. frickeln | tinker | OK
833. fringsen | steal | OK
834. fugen | joint | OK
835. fummeln | fiddle/fumble/grope | OK
836. gaffen | gape | OK
837. gefriertrocknen | freeze-dry | OK
838. geloben | swear/vow | OK
839. genieren | embarrass; be embarrassed | OK
840. gerieren | act/behave | OK
841. gesundschrumpfen | downsize to viability/right-size | OK
842. girren | coo | OK
843. gleichschalten | bring into line/coordinate | OK
844. gleißen | gleam/glisten/glitter | OK
845. gluckern | bubble/chuckle/gurgle | OK
846. goutieren | appreciate/approve | OK
847. graduieren | graduate | OK
848. gratinieren | gratinate/gratiné | OK
849. grauen | be terrified/dawn/grey | OK
850. greinen | grizzle/whinge | OK
851. grölen | bawl/howl | OK
852. grooven | groove | OK
853. gummieren | gum/rubberise | OK
854. halluzinieren | hallucinate | OK
855. hampeln | fidget | OK
856. hartsieden | hard-boil | OK
857. hätscheln | coddle/fondle/pamper | OK
858. heimfahren | drive back/drive home/go back | OK
859. heimschicken | send home | OK
860. herankarren | cart in/haul in | OK
861. herausfliegen | be thrown out/drop out/fly out | OK
862. herbeieilen | rush over | OK
863. hereinbitten | invite in | OK
864. hereinrufen | call in | OK
865. hereinschneien | drop in unexpectedly; snow in | OK
866. heroisieren | heroise | OK
867. hersetzen | put down here; sit down here | OK
868. herumfuchteln | gesticulate | OK
869. herunterbeten | rattle off/reel off | OK
870. hervorziehen | pull out | OK
871. herzeigen | show | OK
872. herzen | hug | OK
873. hinausgucken | look out | OK
874. hinaustragen | broadcast/carry beyond/carry out | OK
875. hineinrennen | run into/rush in/rush into | OK
876. hineinströmen | pour in | OK
877. hinunterklettern | climb down | OK
878. hinunterschlucken | swallow | OK
879. hinunterstürzen | plunge/fall down; gulp down | OK
880. hochstemmen | heave up/lift up/push oneself up | OK
881. höhlen | hollow out | OK
882. holpern | bump/jolt/lurch | OK
883. hopfen | hop | OK
884. hupen | beep one's horn/honk/hoot | OK
885. hüsteln | cough slightly | OK
886. hyperventilieren | hyperventilate | OK
887. imkern | keep bees | OK
888. immigrieren | immigrate | OK
889. innovieren | innovate | OK
890. intrigieren | cabal/intrigue | OK
891. intubieren | intubate | OK
892. ionisieren | ionise | OK
893. irrewerden | go crackers/lose faith | OK
894. islamisieren | IslamicIse/Islamise | OK
895. japsen | gasp/pant | OK
896. jauchzen | cheer/exult/rejoice | OK
897. jaulen | howl/yowl | OK
898. kabeln | cable | OK
899. kacken | crap/poo/poop | OK
900. kahlschlagen | deforest | OK
901. kapitalisieren | capitalise/cash in | OK
902. kegeln | bowl | OK
903. kehrtmachen | turn back | OK
904. kerben | carve | OK
905. kiebitzen | kibitz | OK
906. kippeln | tilt/wobble | OK
907. klackern | click | OK
908. kläffen | yap | OK
909. klauben | collect/pick/sort out | OK
910. kleinbekommen | defeat/break down/wear down | OK
911. kleinschreiben | begin a word without a capital letter/lowercase/not set much store | OK
912. knechten | enslave/oppress/subjugate | OK
913. knuffen | poke | OK
914. knuspern | crunch/munch | OK
915. knutschen | canoodle/mack/smooch | OK
916. kodifizieren | codify | OK
917. kollaborieren | collaborate | OK
918. kommandieren | command | OK
919. komplementieren | complement | OK
920. kondolieren | condole | OK
921. konkatenieren | concatenate | OK
922. kontrahieren | contract | OK
923. kören | select for breeding purposes | OK
924. korrumpieren | corrupt | OK
925. koten | defecate | OK
926. krakeln | doodle/scrawl | OK
927. kränkeln | ail | OK
928. kreischen | scream/screech/shriek | OK
929. kulminieren | culminate | OK
930. kungeln | collude/horse-trade/machinate | OK
931. lädieren | damage/injure | OK
932. laichen | spawn | OK
933. lärmen | be noisy/brawl/fuss | OK
934. latinisieren | Latinise | OK
935. lavieren | manoeuvre/tack | OK
936. leerräumen | clean out | OK
937. leichttun | find easy | OK
938. liften | lift | OK
939. logieren | lodge | OK
940. lohen | tan (leather) | OK
941. löhnen | pay/shell out | OK
942. loseisen | pry loose; get away; persuade someone to part with something | OK
943. losmarschieren | march off | OK
944. lukrieren | acquire/win | OK
945. magnetisieren | magnetise | OK
946. malträtieren | maltreat | OK
947. mampfen | munch/nosh/scrump | OK
948. marodieren | maraud/rage | OK
949. massakrieren | massacre | OK
950. mäßigen | control/moderate/restrain | OK
951. mauscheln | Yiddish/cheat/fiddle | OK
952. menstruieren | menstruate | OK
953. mikroskopieren | examine/microscope | OK
954. mineralisieren | mineralise | OK
955. mitsegeln | sail along/join a sailing trip | OK
956. moralisieren | moralise | OK
957. müffeln | smell musty/stink | OK
958. nachgießen | add in/cast/pour in | OK
959. nachgrübeln | brood/think | OK
960. nachsitzen | serve detention/stay after school | OK
961. nadeln | shed | OK
962. nahegehen | affect deeply | OK
963. netzwerken | network | OK
964. niederdrücken | depress/press down/suppress | OK
965. niederhalten | oppress/suppress | OK
966. niedermetzeln | butcher/massacre/slaughter | OK
967. niedersetzen | put/sit down | OK
968. niederwalzen | crush | OK
969. nörgeln | beef/carp/cavil | OK
970. nullen | zero | OK
971. obstruieren | obstruct | OK
972. ösen | fit with eyelets; bail out | OK
973. outsourcen | outsource | OK
974. paktieren | make a pact | OK
975. pappen | stick/glue | OK
976. paralysieren | paralyse/paralyze | OK
977. parametrisieren | parameterise | OK
978. parfümieren | perfume | OK
979. parkettieren | parquet/put down | OK
980. passivieren | passivate/passivise | OK
981. perlen | bead/bubble/drip from | OK
982. persiflieren | satirise | OK
983. pfuschen | botch/scamp | OK
984. piercen | pierce | OK
985. piesacken | pester/harass/badger | OK
986. pimpern | fuck/shag | OK
987. pipettieren | pipette | OK
988. pirschen | creep/go deerstalking/stalk | OK
989. plagiieren | plagiarise | OK
990. plärren | bawl/blare/blare out | OK
991. platschen | splash | OK
992. plauschen | chat/chat away/exaggerate | OK
993. polemisieren | polemise | OK
994. popeln | pick the nose | OK
995. poussieren | flirt/court | OK
996. profanieren | profane | OK
997. prolongieren | extend/prolong | OK
998. proportionieren | proportion/size | OK
999. prosperieren | prosper | OK
1000. protegieren | patronize/sponsor/promote | OK
