1. der Milchpreis | price for milk | OK
564. das Spenderblut | benefactor blood | WRONG: donor blood/donated blood - Spender means donor, not benefactor here
565. die Spezialkräfte | special forces | OK
566. die Spezifität | specificity | OK
567. der Spielbericht | game report | OK
568. das Spielbrett | board | IMPROVE: game board - board alone loses the Spiel- meaning
569. der Spielcharakter | game character | OK
570. das Spielergebnis | game outcome | OK
571. der Spielführer | team captain | OK
572. die Spiellandschaft | playscape/play landscape | OK
573. die Spieltechnik | game equipment | WRONG: playing technique - Technik means technique here, not equipment
574. die Spieluhr | musical clock | WRONG: music box - Spieluhr is the standard word for a music box
575. der Spielverderber | spoilsport | OK
576. der Spielwitz | game gag | WRONG: playfulness/flair - Spielwitz is not a game gag
577. das Spielzeugauto | toy car | OK
578. der Spielzeughersteller | toy manufacturer | OK
579. der Spital | hospital | OK
580. das Sporthotel | sports hotel | OK
581. der Steuerbescheid | tax assessment | OK
582. die Sprachfamilie | family of languages/language family | OK
583. die Sprachverarbeitung | language processing | OK
584. die Sprechanlage | intercom | OK
585. der Sprechchor | chorus of voices | OK
586. der Sprechgesang | sprechgesang | OK
587. der Sprengkörper | explosive device | OK
588. die Sprengkraft | force | WRONG: explosive force - the current gloss omits Spreng-
589. der Sprengstoffanschlag | explosives attack/bomb attack | OK
590. das Spülwasser | sink water | WRONG: rinsing water - Spuel- means rinsing or washing up, not sink
591. der Spürhund | sniffer dog/tracker dog | OK
592. die Spurweite | rail gauge/track gauge | OK
593. das Squash | squash | OK
594. die Staatsgewalt | state power/state authority | OK
595. der Stabilisator | stabilizer | OK
596. die Stachelbeere | gooseberry | OK
597. das Stadtderby | centre derby | WRONG: city derby/local derby - Stadt means city, not centre
598. der Stadtmensch | citizen/urbanite | OK
599. die Stadtratswahl | city council adoption | WRONG: city council election - Wahl means election, not adoption
600. das Stadtväter | city fathers | OK
601. die Staffelei | easel | OK
602. die Stahlproduktion | steel production | OK
603. das Stahlwerk | steel mill/steelworks | OK
604. die Standardgröße | standard quantity | WRONG: standard size - Groesse means size here, not quantity
605. die Standardsituation | standard situation | OK
606. das Standgerät | stand alone unit/stand-alone machine/standing unit | OK
607. der Stärkegehalt | starch content | OK
608. der Starkoch | celebrity chef/star chef | OK
609. der Statthalter | governor/proconsul/vicegerent | OK
610. die Statuette | statuette | OK
611. das Stauende | end of a traffic jam/back of the queue | OK
612. die Stechuhr | time clock | OK
613. das Steckenpferd | hobby/hobby-horse | OK
614. die Steckrübe | swede/rutabaga | OK
615. der Steigbügel | stapes/stirrup | OK
616. der Steinhaufen | cairn/pile of stones | OK
617. der Steinofen | stone oven | OK
618. die Steinschleuder | slingshot | OK
619. das Stelldichein | date/rendezvous/tryst | OK
620. der Stelzenläufer | black-winged stilt/stiltwalker | OK
621. das Steroid | steroid | OK
622. das Stethoskop | stethoscope | OK
623. der Steuerbetrag | tax amount | OK
624. die Steuerbilanz | tax balance sheet | OK
625. die Steuerfahndung | tax fraud investigation/tax investigation | OK
626. die Stichverletzung | engraving breach | WRONG: stab wound - Stich means stab here, not engraving
627. die Stieleiche | english oak | OK
628. die Stilistik | stylistics | OK
629. die Stimmlage | voice pitch/vocal register | OK
630. die Stirnseite | forehead angle | WRONG: front side/end face - Stirnseite is the front or end face, not a forehead angle
631. die Stockente | mallard | OK
632. das Stockmaß | floor degree | WRONG: height at the withers/stick measure - Stockmass is an animal height measure
633. die Stichwahl | runoff | OK
634. der Stöpsel | cork/peg/plug | OK
635. die Stoßwelle | shock wave | OK
636. die Strafzumessung | measurement | WRONG: sentencing - Strafzumessung is determining a sentence
637. die Strandnähe | beach closeness | WRONG: proximity to the beach - Naehe means proximity, not closeness as an abstract trait
638. der Strandspaziergang | beach a walk in the park | WRONG: walk on the beach/beach walk - the current gloss is garbled
639. der Straßenmusiker | street musician | OK
640. die Straßensanierung | road redevelopment | OK
641. die Straßensperrung | closing off a road/road closure | OK
642. der Straßenstrich | street prostitution/streetwalking | OK
643. der Streamer | streamer | OK
644. das Streifenhörnchen | chipmunk | OK
645. der Streuner | stray (animal) | OK
646. der Strippenzieher | puppet-master/wirepuller | OK
647. der Strohballen | straw bale | OK
648. der Stromabnehmer | current collector | OK
649. der Stromkonzern | electricity company/power utility | OK
650. die Stromlieferung | electricity supply | OK
651. der Stubentiger | parlour tiger | WRONG: house cat - Stubentiger is a colloquial word for a domestic cat
652. der Stuckateur | plasterer | OK
653. die Studentenbewegung | student movement | OK
654. die Studentenschaft | student body | OK
655. die Studentenverbindung | fraternity/student association/student fraternity | OK
656. das Studentenvisum | student visa | OK
657. der Studienrat | study advice | WRONG: secondary school teacher/senior teacher - Studienrat is a teacher title, not study advice
658. die Studienrätin | secondary school teacher (female) | OK
659. das Stündchen | little hour | OK
660. der Stura | student council (StuRa) | OK
661. der Stützpfeiler | buttress | OK
662. der Substituent | substituent | OK
663. das Suchtverhalten | addictive behavior | OK
664. der Südamerikaner | South American | OK
665. der Süddeutsche | south German | OK
666. die Südhalbkugel | Southern Hemisphere | OK
667. der Südstaat | south States | WRONG: southern state - Staat means state here, not States plural
668. der Südstrand | south beach | OK
669. der Sundowner | downer | WRONG: sundowner - the current gloss is a different word
670. die Supermacht | superpower | OK
671. der Superreiche | super-rich person | OK
672. das Süppchen | soup | OK
673. der Süßwasserfisch | freshwaterfish | IMPROVE: freshwater fish - the current gloss has a spacing error
674. der Süßwassersee | freshwater lake | OK
675. die Synkope | syncope | OK
676. die Systemadministration | system administration | OK
677. die Systemtheorie | system theory | OK
678. die Szenografie | scenography/set design | OK
679. der Tabellenfünfte | chart fifth | WRONG: fifth in the table/standings - Tabellen- refers to league standings
680. der Tabernakel | tabernacle | OK
681. der Tagelöhner | day labourer | OK
682. die Tagesbaustelle | day building ground | WRONG: day construction site - Baustelle means construction site
683. der Stier | bull/Taurus | OK
684. das Tagfahrlicht | daytime running light | OK
685. die Talentschmiede | flair forge | WRONG: talent factory/talent incubator - Schmiede is figurative here, not flair forge
686. die Talsohle | dale bottom | WRONG: valley floor/lowest point - Talsohle is not dale bottom in learner English
687. die Talstation | valley station | OK
688. der Tannenzapfen | fir cone | OK
689. der Tanzabend | dance eve | WRONG: dance evening - Abend means evening, not eve here
690. der Tanzlehrer | dance instructor | OK
691. der Tanzschuh | dance shoe | OK
692. der Tapetenwechsel | change of scene/change of wallpaper | OK
693. der Tarifkonflikt | pay dispute/wage dispute | OK
694. die Tarifpolitik | pay scale policy | OK
695. der Taschendieb | pickpocket | OK
696. der Taschendiebstahl | pickpocketing | OK
697. die Taschenuhr | pocket watch | OK
698. das Tätigkeitsgebiet | activity area | OK
699. das Tätigkeitsmerkmal | activity characteristic | OK
700. die Tatze | paw | OK
701. der Tatzeitpunkt | act moment | WRONG: time of offence/time of the act - Zeitpunkt means point in time
702. die Tauchschule | school | WRONG: diving school - the current gloss omits Tauch-
703. der Täufling | person to be baptised | OK
704. der Taufpate | godfather | OK
705. der Taufstein | font | OK
706. der Täuschungsversuch | chicanery attempt | WRONG: attempted deception - Taeuschung means deception, not chicanery here
707. der Tausender | dew broadcaster | WRONG: thousand/thousand-euro note - the current gloss is a mistranslation
708. die Technikfolgenabschätzung | technology assessment | OK
709. die Teekanne | teapot | OK
710. der Teen | teen | OK
711. die Teeplantage | tea plantation | OK
712. die Teestube | tearoom | OK
713. die Teilkompetenz | partial competence | OK
714. der Teilnahmeantrag | interest application | WRONG: request to participate/application to participate - Teilnahme means participation, not interest
715. die Telefongesellschaft | phone company | OK
716. die Telefonrechnung | phone bill/telephone bill | OK
717. der Teleprompter | auto-cue/teleprompter | OK
718. die Television | vision | WRONG: television - the current gloss drops the prefix and changes the meaning
719. der Tempelritter | Knight Templar | OK
720. der Tennisball | tennis ball | OK
721. die Tanke | gas station (colloquial) | OK
722. das Tennisturnier | tennis tournament | OK
723. der Textblock | text block | OK
724. der Textdichter | lyric poet | OK
725. die Textgestaltung | lyric arrangement | WRONG: text design/text layout - Text means text here, not lyric
726. der Thailänder | Tai/Thai/Thailander | OK
727. die Theaterszene | theater scene | OK
728. der Theologieprofessor | theology professor | OK
729. das Therapeutikum | therapeutic agent | OK
730. der Thrombozyt | thrombocyte | OK
731. der Tiefstpreis | price | WRONG: lowest price - Tiefst- means lowest
732. der Tiefststand | all-time low/record low | OK
733. der Tierfilmer | animal filmmaker | OK
734. das Tiermodell | animal model | OK
735. das Tierpräparat | animal preparation | WRONG: taxidermy specimen/prepared animal - the current gloss is a literal calque
736. die Tierrasse | animal breed | OK
737. das Tischgespräch | table conversation | OK
738. die Todesanzeige | obituary | OK
739. der Todesstreifen | death strip | OK
740. die Todsünde | deadly sin/mortal sin | OK
741. das Tonband | tape | OK
742. der Tonfilm | sound film | OK
743. der Tontechniker | sound engineer/audio engineer | OK
744. die Topografie | topography | OK
745. der Topscorer | top scorer | OK
746. der Torbogen | archway | OK
747. das Torfhaus | peat house | OK
748. die Torfrau | female goalkeeper/goalkeeper | OK
749. der Totensonntag | Sunday | WRONG: Sunday of the Dead/Totensonntag - the current gloss is too generic
750. der Touchdown | touchdown | OK
751. der Touri | tourist (slang) | OK
752. der Trabant | bodyguard/fan/follower | WRONG: satellite/Trabant car - the current gloss misses the common modern senses
753. der Traditionsverein | tradition association | WRONG: traditional club - Verein means club here, and Traditions- is adjectival
754. der Trainingseffekt | training effect | OK
755. die Teilzeitbeschäftigung | part-time employment | OK
756. die Tränke | watering trough | OK
757. der Transformator | transformer | OK
758. die Translokation | translocation | OK
759. die Transportmöglichkeit | transport option | OK
760. der Trapper | trapper | OK
761. der Traualtar | altar | WRONG: wedding altar - Trau- means wedding or marriage here
762. die Trauerarbeit | grief business | WRONG: grief work - Arbeit means work here, not business
763. die Traumdeutung | dream interpretation | OK
764. das Traumkleid | dream dress | OK
765. der Traummann | dream man | OK
766. der Trauschein | marriage certificate | OK
767. das Trekkingrad | degree | WRONG: trekking bike - Rad means bicycle here, not degree
768. das Treppengeländer | flight of stairs guardrail | WRONG: stair railing/banister - the current gloss is an awkward literal translation
769. der Treter | boots/kickers (slang) | OK
770. der Trialog | trialogue/three-way dialogue | OK
771. die Trias | Triassic | OK
772. der Triggerpunkt | trigger point | OK
773. die Trigonometrie | trigonometry | OK
774. das Trimenon | None | WRONG: trimester - the current English field is missing
775. der Trittstein | stepping stone | OK
776. das Trockenobst | dried fruit | OK
777. der Trockenstress | drought stress | OK
778. der Trog | trough | OK
779. die Tropenkrankheit | tropical disease | OK
780. der Tröster | stere | WRONG: comforter/consoler - the current gloss is a different word
781. der Trucker | trucker | OK
782. der Trunk | drink (poetic) | OK
783. die Trunkenheitsfahrt | drunk driving | OK
784. das Truppendienstgericht | court | WRONG: military service court - the current gloss is too generic
785. die Tuchfabrik | cloth factory | OK
786. die Tüchtigkeit | competence/efficiency | OK
787. der Tupfer | swab/dab | OK
788. das Türblatt | door leaf | OK
789. der Turbolader | turbocharger | OK
790. der Turnierleiter | tournament director | OK
791. das Türschloss | door lock | OK
792. die Tyrannei | tyranny | OK
793. die Überbauung | superstructure | OK
794. der Überdruck | overpressure/pressure overload | OK
795. die Überfremdung | foreign infiltration | OK
796. das Überholverbot | ban on overtaking/no overtaking/no passing | OK
797. die Überlänge | overlength | OK
798. die Überlebensrate | survival installment | WRONG: survival rate - Rate means rate here, not installment
799. die Überlebensstrategie | survival strategy | OK
800. der Übermut | arrogance/boisterousness/bravado | OK
801. der Überschwang | abundance/exuberance | OK
802. der Übertrag | carryover | OK
803. das Ufo | UFO | OK
804. das Ulkus | ulcer | OK
805. die Umdeutung | reinterpretation | OK
806. die Umerziehung | draw | WRONG: re-education - the current gloss is a different word
807. die Umgegend | surrounding area | OK
808. der Umschüler | person retraining | WRONG: retrainee - Umschueler is a person retraining for a new occupation
809. die Umweltkatastrophe | environmental disaster | OK
810. das Umweltzeichen | eco-label/environmental label | OK
811. die Umzäunung | fencing/enclosure | OK
812. der Unfallfahrer | driver involved in an accident | OK
813. die Unfallfolge | consequence of an accident | OK
814. die Unfallrente | accident pension | OK
815. der Unfallschwerpunkt | accident black spot/high-accident location | OK
816. der Unfalltod | accidental death | OK
817. das Ungemach | adversity/ill | OK
818. der Ungläubige | disbeliever | OK
819. der Universitätsabschluss | university accounts | WRONG: university degree - Abschluss means degree or qualification, not accounts
820. die Universitätsleitung | university direction | WRONG: university management/leadership - Leitung means management here, not direction
821. der Universitätsprofessor | university professor | OK
822. die Unke | fire-bellied toad | OK
823. das Untergewicht | underweight | OK
824. die Unterhaltungsmusik | light music/easy-listening music | OK
825. die Textilindustrie | textils industry | WRONG: textile industry - the current gloss is misspelled and unidiomatic
826. der Unterschrank | base cabinet | OK
827. die Untersuchungstechnik | analysis equipment | WRONG: examination technique - Untersuchung means examination here, not analysis equipment
828. der Untertest | Jack check | WRONG: subtest - Untertest is a subtest, not Jack check
829. die Unterwanderung | Jack hike | WRONG: infiltration/undermining - Unterwanderung is infiltration, not Jack hike
830. die Aufdeckung | cover | WRONG: uncovering/exposure - Aufdeckung means revealing, not cover
831. die Unzuverlässigkeit | unreliability | OK
832. das Urgroßeltern | great grandparents | OK
833. der Urlaubsantrag | application for leave | OK
834. der Urzustand | original condition/original position/original state | OK
835. die Validität | validity | OK
836. die Variationsmöglichkeit | variation chance | WRONG: variation option/possibility - Moeglichkeit means possibility or option, not chance here
837. der Vaterschaftstest | paternity test | OK
838. das Vaterunser | Lord's Prayer/Our Father | OK
839. der Veganismus | veganism | OK
840. die Vegetarierin | vegetarian | OK
841. die Verbannung | banishment/exile | OK
842. der Verbiss | browsing | OK
843. die Verblendung | dazzlement/infatuation/veneer | OK
844. das Themenspektrum | range of topics/topic spectrum | OK
845. die Verbringung | transport/disposal | OK
846. das Verdauungsorgan | digestive organ | OK
847. die Vereinnahmung | appropriation/co-opting | OK
848. das Vereinsrecht | association law | OK
849. die Vereinssatzung | association statute | OK
850. die Verfahrensdauer | duration of proceedings | OK
851. die Verfasstheit | constitution/state | OK
852. der Verfassungsgerichtshof | constitutional court | OK
853. die Verfassungsordnung | constitutional order | OK
854. die Verfassungswidrigkeit | unconstitutionality | OK
855. die Verflüssigung | liquefaction | OK
856. die Vergärung | fermentation | OK
857. der Vergeltungsschlag | act of reprisal/retaliatory attack/retaliatory strike | OK
858. die Verhaltensforschung | behavioural research/ethology | OK
859. der Verhinderungsfall | case | WRONG: case of being prevented - the current gloss is too generic
860. das Verhungern | starving | OK
861. die Verifikation | verification | OK
862. die Verkehrsader | communication artery | WRONG: traffic artery - Verkehr means traffic here, not communication
863. die Verkehrsberuhigung | traffic calming | OK
864. der Verkehrsexperte | communication expert | WRONG: traffic/transport expert - Verkehr means traffic or transport here
865. die Tischplatte | tabletop/table top | OK
866. der Verlagsleiter | publishing director/publishing manager | OK
867. die Verneinung | negation | OK
868. die Verrentung | retirement | OK
869. der Versager | loser | OK
870. der Verschwörer | conspirator | OK
871. die Versicherungspflichtgrenze | border | WRONG: compulsory insurance limit - Grenze means threshold or limit, not border here
872. die Versuchsanordnung | attempt arrangement | WRONG: experimental setup - Versuch means experiment here, not attempt
873. die Verteidigungsanlage | defense installation/fortification | OK
874. das Verteidigungsbündnis | defence alliance | OK
875. die Verteilungsgerechtigkeit | distributive justice | OK
876. der Verteilungsschlüssel | distribution key | OK
877. der Vertragsarztsitz | domicile | WRONG: SHI-accredited doctor's practice seat - this is a healthcare licensing term, not domicile
878. die Verwaltungseinrichtung | administrative facility | OK
879. der Verwandtschaftsgrad | relationship degree | OK
880. der Verwerter | recycler/utiliser | OK
881. die Verwundung | wound | OK
882. die Verzichtserklärung | disclaimer/notice of abandonment/quitclaim deed | OK
883. die Viehweide | cattle pasture | OK
884. der Vielfraß | glutton/wolverine | OK
885. das Vierbettzimmer | four-bed room | OK
886. der Vietnamkrieg | Vietnam War | OK
887. der Viktualienmarkt | market | IMPROVE: Viktualienmarkt/food market - market alone loses the proper-name or food-market sense
888. das Vintage | vintage | OK
889. die Virtualität | virtuality | OK
890. die Vizemeisterin | vice-champion (female) | IMPROVE: runner-up (female) - vice-champion is understandable but nonidiomatic
891. der Vogelkot | bird droppings | OK
892. der Vogelzug | bird migration | OK
893. die Vokalmusik | vocal music | OK
894. die Völkerschlacht | Battle of Leipzig/Battle of the Nations | OK
895. das Völkerschlachtdenkmal | Battle of Leipzig monument | OK
896. die Völkerwanderung | Migration Period/migration | OK
897. die Volkspolizei | People's Police (East German) | OK
898. der Volksstamm | tribe | OK
899. der Volkstrauertag | Memorial Day/Remembrance Day | IMPROVE: National Day of Mourning/Volkstrauertag - Memorial Day can mislead US learners
900. der Vollbrand | fully engulfed fire/full blaze | OK
901. die Vollmilch | whole milk | OK
902. der Vollrausch | drunken stupor | OK
903. das Vorblatt | bracteole/bractlet/prophyll | WRONG: cover sheet/front leaf - the botany gloss is not the useful primary sense here
904. das Vorderbein | front leg/foreleg | OK
905. das Vorderhaus | front building | OK
906. die Ausschreitung | dissoluteness/riot/rioting | OK
907. die Vorhalle | hall | OK
908. der Vorkampf | preliminary round/preliminary bout | OK
909. die Vorratskammer | pantry | OK
910. der Vorredner | previous speaker | OK
911. der Vorspann | opening credits/introduction | OK
912. die Außenwirkung | effect | WRONG: external impact/public image - the current gloss is too generic and omits Au?en-
913. die Automatik | automatic/automatic transmission/automatism | OK
914. der Autoreifen | tyre | OK
915. der Autounfall | auto accident/bingle/car accident | OK
916. der Avis | notification (commercial) | OK
917. die Ressourcen | resources | OK
918. die Bahnlinie | railroad line/railway line | OK
919. die Bandscheibe | intervertebral disc/spinal disc | OK
920. die Hausaufgaben | homework | OK
921. das Barcamp | amp | WRONG: BarCamp/unconference - the current gloss is a truncated mistranslation
922. das Baugewerbe | building occupation | WRONG: building trade/construction industry - Gewerbe means trade or industry, not occupation here
923. das Bauspardarlehen | building society loan | OK
924. die Übertragungsrate | transmission rate | OK
925. die Begrünung | greening | OK
926. der Beiname | nickname/sobriquet/soubriquet | OK
927. die Beisetzung | burial/inhumation/sepulture | OK
928. der Beitragszahler | contributor/premium payer | OK
929. der Bergmann | digger/miner | OK
930. die Berufsaussicht | career prospect/job prospect | OK
931. die Berührungsangst | fear of contact/reserve | OK
932. die Besuchergruppe | patron group | WRONG: visitor group - Besucher means visitors, not patrons here
933. der Bewegungsapparat | musculoskeletal system/locomotor system | OK
934. der BH | bra | OK
935. die Bildhauerei | sculpture | OK
936. das Bildnis | portrait | OK
937. die Binde | bandage/sanitary towel | OK
938. das Bioprodukt | product | WRONG: organic product - Bio- means organic here
939. die Ultraschalluntersuchung | ultrasound examination | OK
940. der Bohrer | drill | OK
941. der Brutvogel | incubation bird | WRONG: breeding bird - Brut- refers to breeding, not incubation as an adjective
942. das Bundesgesundheitsministerium | Federal Ministry of Health | OK
943. der Bürokratieabbau | bureaucracy reduction/cutting red tape/reducing bureaucracy | OK
944. der Computerraum | computer room | OK
945. der Dämmstoff | insulation material | OK
946. das Deckblatt | cover page | OK
947. der Unterbau | foundation | OK
948. die Desinformation | disinformation | OK
949. der Deutschlehrer | German teacher | OK
950. der Dienstagmorgen | Tuesday morning | OK
951. das Dienstverhältnis | employment relationship | OK
952. die Dolmetscherin | interpreter | OK
953. die Durchblutungsstörung | circulatory problem | OK
954. der Durchlauf | iteration/pass/passage | OK
955. die Düse | nozzle | OK
956. die Eingangsbestätigung | entrance acknowledgement | WRONG: confirmation of receipt - Eingang means receipt here, not entrance
957. die Eingewöhnung | settling in/acclimatisation | OK
958. der Einschlag | element/felling/hem | WRONG: impact/strike - Einschlag primarily means impact here
959. das Eintrittsgeld | entrance fee | OK
960. der Englischunterricht | English lessons | OK
961. das Unterhaltungsprogramm | entertainment program | OK
962. der Erhaltungszustand | state of preservation | OK
963. der Erkenntnisgewinn | discovery gain | WRONG: gain in knowledge/insight - the current gloss is a literal calque
964. die Erntezeit | harvest time | OK
965. die Eröffnungsrede | opening address | OK
966. der Fake | fake | OK
967. die Feldlerche | skylark | OK
968. die Festschrift | festschrift | OK
969. das Filmmaterial | footage | OK
970. die Finanzhilfe | financial support | OK
971. das Firmengelände | company premises | OK
972. die Flexibilisierung | making more flexible | OK
973. der Fondsmanager | bond manager | WRONG: fund manager - Fonds means fund, not bond
974. der Forschungsaufenthalt | research delay | WRONG: research stay - Aufenthalt means stay, not delay
975. die Foundation | foundation | OK
976. die Fracht | cargo/freight/payload | OK
977. die Frauenquote | women's quota | OK
978. der Frischkäse | cream cheese/fresh cheese | OK
979. das Frühlingsfest | spring celebration | OK
980. die Führungsrolle | command part | WRONG: leadership role - F?hrungsrolle is a role in leadership, not command part
981. der Funken | spark | OK
982. das Funkgerät | radio | OK
983. das Fußballturnier | football tournament | OK
984. der Fußstapfen | footprint | OK
985. die Veranlassung | cause/instigation | OK
986. der Verhaltenskodex | code of conduct | OK
987. das Gebilde | construct/shape | OK
988. die Gedenktafel | commemorative plaque | OK
989. die Gegenseite | opposing side/other side | OK
990. das Gelege | clutch/eggs | OK
991. der Geologe | geologist | OK
992. die Gesamtausgabe | collected works/omnibus | OK
993. der Geschäftsraum | business premises/commercial space | OK
994. der Gesprächsstoff | topic of conversation | OK
995. der Gewässerschutz | water protection | OK
996. das Gewölbe | arch/vault | OK
997. das Gleichbehandlungsgesetz | Equal Treatment Act | OK
998. der Golem | golem | OK
999. die Verkehrsinfrastruktur | transport infrastructure | OK
1000. die Grundausbildung | basic training | OK
