1. abfragen | query | OK
814. ratifizieren | ratify | OK
815. rügen | reprimand/reprove | OK
816. säumen | line/delay | OK
817. schreien | scream/shout | OK
818. streifen | brush/stroke/wander | OK
819. verdauen | digest/stomach | OK
820. vermessen | cross the line/map/survey | OK
821. zusammentun | add together/join up | OK
822. abschwächen | weaken | OK
823. annähern | approach/approximate/get friendly | OK
824. beißen | bite/burn/itch | OK
825. bekleiden | dress/hold | OK
826. beleidigen | affront/insult/offend | OK
827. dazugehören | belong to something | OK
828. durchschauen | see clearly/see through | OK
829. einberufen | conscript/convene/convoke | OK
830. fesseln | attract/captivate/chain | OK
831. fortbewegen | move/remove | OK
832. fortfahren | continue/drive away | OK
833. herankommen | approach/come close | OK
834. hinbekommen | fix/manage | OK
835. rekrutieren | recruit | OK
836. schwinden | diminish/dwindle/fade out | OK
837. schwören | swear | OK
838. transformieren | transform | OK
839. überliefern | hand down | OK
840. verstopfen | clog/plug | OK
841. weihen | be bound/be destined/consecrate | OK
842. widerstehen | resist/withstand | OK
843. zurückmelden | be back/get back/report back | OK
844. abwerfen | throw off/drop/yield | OK
845. anklagen | accuse/attach/charge | OK
846. anliegen | concern/matter to/lie against | OK
847. besiegeln | seal/finalize | OK
848. datieren | date | OK
849. durchqueren | cross/ford/traverse | OK
850. einweisen | brief/commit/instruct | OK
851. hauen | hit | OK
852. marschieren | march | OK
853. missachten | despise/disregard/flout | OK
854. porträtieren | portray | OK
855. schwitzen | sweat | OK
856. streicheln | stroke/pet | OK
857. umschreiben | circumscribe/paraphrase | OK
858. versprühen | spray | OK
859. verwickeln | entangle/involve | OK
860. weiterverarbeiten | process | OK
861. wischen | wipe | OK
862. abstürzen | crash | OK
863. avancieren | advance/be promoted | OK
864. bejahen | answer something in the affirmative/approve | OK
865. bewerkstelligen | accomplish | OK
866. blättern | leaf through/turn pages | OK
867. dämmen | dam/insulate/isolate | OK
868. einfrieren | freeze | OK
869. hingeben | hand over | OK
870. partizipieren | participate | OK
871. schleppen | carry/drag/schlep | OK
872. scrollen | scroll | OK
873. signieren | sign | OK
874. trösten | comfort/console | OK
875. verinnerlichen | internalise | OK
876. verschweigen | conceal | OK
877. vorbringen | bring forward/put forward/state | OK
878. wiedersehen | meet again | OK
879. anbraten | sear/brown | OK
880. anstrengen | make an effort/try hard | OK
881. auflaufen | run up/accumulate | OK
882. auswechseln | change/exchange/substitute | OK
883. delegieren | delegate/depute | OK
884. einlagern | store | OK
885. konstatieren | ascertain/note/state | OK
886. schlummern | slumber/doze | OK
887. stimulieren | stimulate | OK
888. thronen | sit enthroned | OK
889. vererben | bequeath/pass on | OK
890. weiten | widen/expand | OK
891. zurückbekommen | get back/retrieve | OK
892. zurücklehnen | lean/lounge/recline | OK
893. abräumen | clear away | OK
894. artikulieren | articulate | OK
895. aufdrehen | get going/open/turn on | OK
896. belästigen | harass/bother | OK
897. beschenken | gift | OK
898. deklarieren | declare | OK
899. festmachen | fasten/fix/moor | OK
900. mähen | mow | OK
901. multiplizieren | multiply | OK
902. nachsehen | check/look up | OK
903. überbringen | deliver | OK
904. verdreifachen | treble/triple | OK
905. verschlagen | drive/carry off/end up | OK
906. vollbringen | accomplish/complete/finish off | OK
907. zocken | gamble | OK
908. abfließen | drain | OK
909. ableisten | complete/do/fulfill | OK
910. aufzählen | enumerate/list | OK
911. beschützen | protect | OK
912. bestreuen | sprinkle | OK
913. bezwingen | beat/defeat/overcome | OK
914. drosseln | choke/curb/throttle | OK
915. einatmen | breath in/inhale | OK
916. einchecken | check in | OK
917. einwerben | raise (funds) | OK
918. köcheln | simmer | OK
919. krachen | crack/crash | OK
920. leugnen | deny | OK
921. lügen | lie | OK
922. mitgehen | accompany/go along | OK
923. mithaben | have something with one | OK
924. mitreißen | carry away/entrain/fill with enthusiasm | OK
925. regenerieren | recover/regenerate | OK
926. schrauben | screw | OK
927. stagnieren | stagnate | OK
928. umtauschen | exchange | OK
929. unterstehen | be subordinate to/dare | OK
930. verschlimmern | aggravate/get worse/worsen | OK
931. wegziehen | move away/pull away | OK
932. zerfallen | decay/dilapidate/disintegrate | OK
933. ausbremsen | slow down/thwart | OK
934. ausschauen | appear/look/look out | OK
935. austeilen | distribute | OK
936. billigen | agree/approve/assent | OK
937. dazukommen | arrive/be added | OK
938. entfachen | arouse/ignite/kindle | OK
939. ertönen | ring out/sound | OK
940. fegen | sweep clean | OK
941. freihalten | keep free/reserve | OK
942. frühstücken | have breakfast | OK
943. glätten | smooth/unwrinkle | OK
944. hinsehen | look | OK
945. irritieren | confuse/disturb/irritate | OK
946. losfahren | set off/depart | OK
947. pendeln | commute/oscillate/shuttle | OK
948. perfektionieren | perfect | OK
949. säen | sow | OK
950. skalieren | scale | OK
951. tendieren | tend | OK
952. ticken | tap/tick | OK
953. tolerieren | accept/allow/tolerate | OK
954. trauern | mourn | OK
955. trotzen | affront/brave/defy | OK
956. trüben | cloud/tarnish | OK
957. verleiten | lead astray/tempt | OK
958. vernehmen | examine/hear/interrogate | OK
959. vorenthalten | keep/withhold | OK
960. wachen | watch over | OK
961. wetten | bet | OK
962. akquirieren | acquire | OK
963. altern | age/get older/grow old | OK
964. aufspielen | show off | OK
965. aufwärmen | warm up | OK
966. deinstallieren | uninstall | OK
967. einen | unite | OK
968. einwerfen | interject/smash | OK
969. entfliehen | escape/flee/fly past | OK
970. entgegenbringen | show/extend toward | OK
971. erliegen | succumb | OK
972. fahnden | search for | OK
973. favorisieren | favour | OK
974. firmieren | trade under the name | OK
975. hüpfen | hop/jump | OK
976. immatrikulieren | enroll/matriculate | OK
977. knallen | bang/slam | OK
978. lokalisieren | localise/locate | OK
979. mixen | mix | OK
980. verdammen | condemn/damn | OK
981. verteuern | go up/raise the price | OK
982. absenden | send/dispatch | OK
983. anfügen | add/append/attach | OK
984. angleichen | adapt/adjust/assimilate | OK
985. anonymisieren | anonymise | OK
986. ausstoßen | eject/emit/expel | OK
987. befeuern | be lighted/fire upon/fuel | OK
988. deportieren | deport | OK
989. duften | smell nice | OK
990. einbehalten | retain/withhold | OK
991. erschöpfen | exhaust | OK
992. gruppieren | group | OK
993. herrichten | prepare | OK
994. hetzen | rush/incite | OK
995. jubeln | cheer | OK
996. klopfen | beat/knock/tap | OK
997. kultivieren | cultivate/grow | OK
998. nachbilden | reproduce | OK
999. relativieren | qualify/relativise | OK
1000. rocken | rock | OK
