1. die Effektivität | effectiveness | OK
643. die Abdeckung | cover/covering | OK
644. das Abgeordnetenhaus | house of representatives | OK
645. die Schleimhaut | mucosa/mucous membrane | OK
646. die Ambulanz | ambulance | WRONG: outpatient clinic — Ambulanz in German usually means an outpatient clinic or emergency department, not an ambulance vehicle.
647. der Atemweg | airway/respiratory tract | OK
648. die Auffälligkeit | abnormality/conspicuousness | OK
649. die Aufwertung | appreciation/upgrade | OK
650. der Bass | bass/double bass | OK
651. der Baustoff | building material/material | OK
652. das Blech | blech/brass/nonsense | WRONG: sheet metal/tin — Blech primarily means sheet metal or tin; brass is a different metal.
653. die Bronze | bronze | OK
654. der Sinto | Sinto | OK
655. die Skizze | sketch | OK
656. der Chefredakteur | editor in chief/editor-in-chief | OK
657. der Drink | drink | OK
658. die Erprobung | proving/test/testing | OK
659. die Gesamtheit | collectivity/entirety/totality | OK
660. der Steuerzahler | tax payer/tax-payer/taxpayer | OK
661. die Grünanlage | green space/park | OK
662. die Impression | impression | OK
663. die Lebensgrundlage | basic needs/basis for life/basis of life | OK
664. der Pirat | pirate | OK
665. der Planer | planner | OK
666. der Rauch | fume/reek/smoke | OK
667. die Schaltfläche | button/push button | OK
668. die Fassung | version/composure | OK
669. die Stätte | location/place/site | OK
670. der Stich | engraving/stab/sting | OK
671. der Trost | comfort/consolation/solace | OK
672. die Überschwemmung | flood/inundation | OK
673. die Weisung | directions/instruction | OK
674. die Windkraftanlage | wind turbine | OK
675. das Wahlergebnis | election result | OK
676. die Abmessung | admeasurement/measurement | OK
677. die Begutachtung | assessment | OK
678. die Benennung | designation | OK
679. das Bürgerhaus | community centre/mansion | OK
680. der Spitzname | moniker/nickname | OK
681. der Sprengel | angel | WRONG: parish/district — Sprengel means a parish, district, or jurisdiction; angel is unrelated.
682. das Startkapital | seed capital/seed money | OK
683. die Subvention | subsidy/subvention | OK
684. der Superheld | superhero | OK
685. der Superlativ | superlative | OK
686. der Syrer | Syrian | OK
687. das Teilstück | section/piece | OK
688. die Todesstrafe | capital punishment/death penalty | OK
689. der Torhüter | goalkeeper | OK
690. der Trab | jog/trot | OK
691. die Moderation | moderation/presentation | OK
692. der Transportweg | transport route | OK
693. die Turbine | turbine | OK
694. die Überdosierung | overdosage | OK
695. die Übergangsfrist | change(over) deadline | IMPROVE: transition period/deadline — Übergangsfrist is a transition period or grace period, not a changeover deadline.
696. der Umweltverband | environment association | OK
697. die Ungleichbehandlung | care | WRONG: unequal treatment — Ungleichbehandlung means unequal treatment; care is unrelated.
698. die Unverträglichkeit | incompatibility/intolerance | OK
699. die Urlaubszeit | holiday season/vacation time | OK
700. der Diabetiker | diabetic | OK
701. das Vakuum | vacuum | OK
702. die Menschlichkeit | humaneness/humanity | OK
703. die Vanille | vanilla | OK
704. der Verfolger | persecutor/persuer/spotlight | IMPROVE: pursuer/persecutor — Verfolger means pursuer, follower, or persecutor; spotlight is unrelated.
705. das Vermächtnis | bequest/devise/legacy | OK
706. die Verschuldung | indebtedness | OK
707. der Verstärker | amplifier/repeater | OK
708. die Verwarnung | warning | OK
709. die Videokamera | video camera | OK
710. die Vitrine | display case/glass cabinet/showcase | OK
711. das Vorgespräch | preliminary discussion/preliminary talk | OK
712. die Ökonomie | economy | OK
713. der Wassertank | cistern/water tank | OK
714. der Webspace | webspace | OK
715. das Weihnachtsgeld | Christmas allowance/Christmas bonus/year-end bonus | OK
716. die Weltoffenheit | cosmopolitanism/open-mindedness | OK
717. die Wettfahrt | race | OK
718. die Wiederbelebung | reanimation/revival | OK
719. das Wifi | Wi-Fi | OK
720. das WiFi | Wi-Fi | OK
721. die Wirtschaftsforschung | economics research | OK
722. die Zahnpasta | toothpaste | OK
723. der Zeichner | drawer/graphic artist/illustrator | IMPROVE: illustrator/draftsperson — Zeichner is a person who draws; drawer is easily misread as furniture.
724. der Zivilist | civilian | OK
725. das Zugriffsrecht | access right | OK
726. die Zwangsarbeit | compulsory labour/forced labour | OK
727. der Abschuss | launch | WRONG: shooting down/launch — Abschuss usually means shooting down or firing/launching; launch alone misses the common sense.
728. die Akquise | acquisition | OK
729. der Alliierte | ally/Allied soldier | OK
730. das Altpapier | wastepaper | OK
731. die Anlieferung | delivery | OK
732. die Anmeldefrist | term of application/time for applications | OK
733. der Lieferant | supplier | OK
734. die Ballade | ballad/lay | OK
735. die Baufirma | building enterprise/construction company | OK
736. die Bauordnung | building code/building regulations/construction regulations | OK
737. der Beisitzer | assessor/juror | OK
738. die Bergakademie | mining academy | OK
739. die Berufskrankheit | industrial disease/occupational disease | OK
740. das Berufungsverfahren | appeal proceedings | OK
741. das Betätigungsfeld | activity field | OK
742. die Beurkundung | notarisation | OK
743. das Beutetier | prey | OK
744. das Bewegtbild | moving image | OK
745. die Blende | aperture/blind/diaphragm | OK
746. der Blumenstrauß | bouquet/bunch/flower bouquet | OK
747. der Brenner | burner/distiller | OK
748. die Palme | palm/palm tree | OK
749. der Buchs | box tree/boxwood | OK
750. der Bundesligist | Bundesliga team | OK
751. der Bündnispartner | alliance partner | OK
752. die Comedy | comedy | OK
753. der Däne | Dane | OK
754. die Demografie | demography | OK
755. der Demos | deme | OK
756. das Derivat | derivate/derivative | OK
757. der Diener | servant/valet | OK
758. die Durchsuchung | search/searching | OK
759. die Effizienzsteigerung | increase in efficiency/efficiency improvement | OK
760. die Empfindlichkeit | sensitivity | OK
761. das Domizil | domicile | OK
762. der Jahrestag | anniversary | OK
763. die Entführung | abduction/elopment/hijacking | OK
764. das Kanu | canoe | OK
765. die Entsendung | delegation/dispatch/sending | OK
766. die Erdgeschichte | geological history/geology/history of the earth | OK
767. die Eurozone | Eurozone | OK
768. der Exot | exotic | IMPROVE: exotic person/outsider — Exot is a noun for an exotic or unusual person/thing, not just the adjective exotic.
769. das Fachbuch | specialist book/reference book/textbook | OK
770. der Feige | coward | OK
771. die Fernsehsendung | television program/television programme/television show | OK
772. das Molekül | molecule | OK
773. der Filmschaffende | filmmaker/film professional | OK
774. der Fingernagel | fingernail/nail | OK
775. der Flächenverbrauch | land consumption | OK
776. der Fleiß | diligence/industriousness | OK
777. die Flüchtlingskrise | crisis | WRONG: refugee crisis — Flüchtlingskrise means refugee crisis; crisis alone drops the defining meaning.
778. die Fortentwicklung | advancement/development/progress | OK
779. das Fossil | fossil | OK
780. die Fotoausstellung | photo exhibition | OK
781. der Freiherr | baron | OK
782. die Freikarte | complimentary ticket | OK
783. das Fremdwort | foreignism | IMPROVE: foreign word/loanword — Fremdwort means a foreign word or loanword; foreignism is uncommon.
784. der Frequenzbereich | frequency area | IMPROVE: frequency range — Frequenzbereich means frequency range, not frequency area.
785. der Frühsommer | early summer | OK
786. das Gefieder | feathering/plumage | OK
787. der Gegenbesuch | return visit | OK
788. die Gehaltsabrechnung | pay slip/payslip/salary statement | OK
789. die Gleichbehandlung | care | WRONG: equal treatment — Gleichbehandlung means equal treatment; care is unrelated.
790. die Glühbirne | bulb/light bulb | OK
791. der Grenzübergang | checkpoint | OK
792. der Großhändler | wholesaler | OK
793. der Neuling | newcomer/novice | OK
794. die Grundregel | basic rule | OK
795. die Haptik | haptics | OK
796. das Schulgebäude | schoolhouse | OK
797. die Fraktion | parliamentary group/faction | OK
798. die Herzinsuffizienz | heart failure | OK
799. die Hitzewelle | heatwave/hot spell | OK
800. das Panorama | panorama | OK
801. der Hochschulabsolvent | college graduate | OK
802. der Industriebetrieb | industrial enterprise | OK
803. die Interessengemeinschaft | interest group/syndicate | OK
804. das Investitionsvolumen | investment volume | OK
805. der Psychotherapeut | psychotherapist | OK
806. der Kochkurs | cooking course | OK
807. die Kollaboration | collaboration | OK
808. die Konnektivität | connectivity | OK
809. der Korrespondent | correspondent | OK
810. der Kraftstoffverbrauch | fuel consumption | OK
811. die Kollision | collision | OK
812. der Kunsthistoriker | art historian | OK
813. der Kurort | health resort/spa | OK
814. der Leader | leader | OK
815. die Lebenserfahrung | life experience | OK
816. der Lehrauftrag | apprenticeship application | WRONG: teaching assignment — Lehrauftrag means a teaching assignment or lectureship, not an apprenticeship application.
817. das Teilchen | particle/sweet pastry | OK
818. die Lungenentzündung | pneumonia | OK
819. das Mahnmal | memorial | OK
820. das Managementsystem | management system | OK
821. die Mikrobiologie | microbiology | OK
822. der Milliliter | millilitre | OK
823. die Muttergesellschaft | mother company | OK
824. der Mutterleib | womb | OK
825. die Nachrichtenagentur | news agency | OK
826. der Naturraum | nature region | OK
827. die Nebenkostenabrechnung | additional costs account | WRONG: service charge statement — Nebenkostenabrechnung is a statement of ancillary rental costs, not an additional costs account.
828. die Nordstadt | north centre | WRONG: northern district — Nordstadt means the northern part or district of a city, not a north centre.
829. die Notenbank | central bank/issuing bank | OK
830. das Osterei | Easter egg | OK
831. der Osterhase | Easter Bunny | OK
832. der Peer | peer | OK
833. die Pflegefamilie | foster family | OK
834. der Pflegestützpunkt | care support center | OK
835. die Teilnehmerzahl | number of participants | OK
836. die Popmusik | pop/pop music | OK
837. die Promenade | promenade | OK
838. die Prophylaxe | prophylaxis | OK
839. das Prozedere | procedure | OK
840. der Psalm | psalm | OK
841. der Publizist | publicist | OK
842. der Puderzucker | confectioners' sugar/icing sugar/powdered sugar | OK
843. der Radar | radar | OK
844. der Radius | radius | OK
845. der Raub | abduction/booty/deprivation | WRONG: robbery — Raub primarily means robbery; the current gloss misses the main sense.
846. der Rebell | rebel | OK
847. die Rechtsordnung | legal system/legal order | OK
848. die Rechtsstreitigkeit | civil dispute/legal dispute/suit | OK
849. die Reeperbahn | Reeperbahn (Hamburg street) | OK
850. der Reflex | reflex | OK
851. die Reichsstadt | imperial city | OK
852. das Reiseland | travel destination | OK
853. das Rentenalter | pension age/pensionable age/retirement age | OK
854. der Übergriff | encroachment/infringement | IMPROVE: assault/encroachment — Übergriff commonly means an assault or transgression, not only encroachment/infringement.
855. der Rundfunkbeitrag | broadcasting fee/license fee | OK
856. das Rundschreiben | circulaire | WRONG: circular letter — Rundschreiben means a circular or circular letter; circulaire is not normal English.
857. der Sarg | casket/coffin | OK
858. der Schauer | rain shower/shudder | OK
859. das Schlauchboot | inflatable boat/rubber dinghy | OK
860. der Vorbehalt | caveat/reservation | OK
861. das Limit | limit | OK
862. die Schutzausrüstung | protective equipment | OK
863. der Schweregrad | degree/gravity/severity | OK
864. die Mechanik | mechanics | OK
865. das Seniorenheim | senior citizen asylum | WRONG: retirement home/nursing home — Seniorenheim means a retirement or nursing home, not an asylum.
866. die Sicherheitsvorkehrung | safety precaution/security precaution | OK
867. der Sitzungssaal | meeting cavity | WRONG: conference room/meeting hall — Sitzungssaal means a meeting or conference hall; cavity is unrelated.
868. die Spanne | span/range/margin | OK
869. der Speichel | spittle | OK
870. die Spiegelung | endoscopy/reflection/reflex | OK
871. die Spielfigur | game piece | OK
872. der Sportverband | sport association | OK
873. das Staatsarchiv | state archive | OK
874. das Stadtmarketing | centre marketing | WRONG: city marketing — Stadtmarketing means city or municipal marketing, not centre marketing.
875. der Stadtplaner | centre planner | WRONG: urban planner — Stadtplaner means urban or city planner, not centre planner.
876. der Stammsitz | headquarters | OK
877. die Stammzelle | stem cell | OK
878. der Stängel | stalk | OK
879. die Steinzeit | Stone Age | OK
880. die Stimulation | incentive/stimulation | OK
881. das Strandbad | beach bath | WRONG: lido/outdoor swimming area — Strandbad is a lakeside/beach swimming facility, not a literal beach bath.
882. der Strass | diamanté/paste/rhinestone | OK
883. die Straßenbeleuchtung | road lighting | IMPROVE: street lighting — Straßenbeleuchtung is street lighting; road lighting is understandable but less idiomatic.
884. der Stundenkilometer | kilometre per hour | OK
885. der Stundensatz | hour composition | WRONG: hourly rate — Stundensatz means hourly rate, not hour composition.
886. die Tarifverhandlung | collective bargaining/tariff negotiation | OK
887. die Tinte | ink | OK
888. der Traumjob | dream job | OK
889. der Trotz | defiance | OK
890. der Tsunami | tsunami | OK
891. der Parcours | show-jumping course | IMPROVE: course/obstacle course — Parcours is a course or obstacle course; show-jumping course is too narrow.
892. die Überflutung | flood | OK
893. die Übergangsphase | change(over) phase | OK
894. die Übergangszeit | transition period | OK
895. der Aktionsplan | action plan | OK
896. das Unwesen | misdeed | IMPROVE: mischief/nuisance — Unwesen usually means mischief, nuisance, or harmful activity; misdeed is too narrow.
897. der Ureinwohner | indigenous person/native inhabitant | OK
898. der Vampir | vampire/vampire bat | OK
899. die Vitalität | vitality | OK
900. die Voliere | aviary | OK
901. die Volljährigkeit | legal age/majority | OK
902. die Vorlesungszeit | lecture period | OK
903. der Wahlbezirk | adoption borough | WRONG: electoral district/precinct — Wahlbezirk means electoral district or precinct; adoption borough is unrelated.
904. der Weißwein | white wine | OK
905. die Wertvorstellung | values/value system | OK
906. der Whirlpool | whirlpool | OK
907. die Wimper | cilium/eyelash | OK
908. die Zielerreichung | achievement of goal/goal attainment | OK
909. der Zopf | an antiquated custom/braid/plait | OK
910. die Zusatzinformation | addition information | WRONG: additional information — Zusatzinformation means additional information; addition information is unidiomatic.
911. die Zweitwohnung | second home | OK
912. die Abfallentsorgung | garbage disposal/waste disposal | OK
913. der Abfluss | drain/runoff/wastepipe | OK
914. die Abiturientin | high-school graduate | OK
915. die Ablösung | removal/shift change | OK
916. der Abtransport | removal/transport away | OK
917. das Adrenalin | adrenaline/epinephrine | OK
918. die Agrarpolitik | agrarian policy/agricultural policy | OK
919. der Ahorn | maple | OK
920. die Akquisition | acceptance/acquisition | OK
921. der Alleingang | solo attempt/solo run | OK
922. die Altersteilzeit | partial early retirement | OK
923. die Analytik | analytics | OK
924. die Anfangszeit | starting time/early period | OK
925. der Mikroplastik | microplastics | OK
926. die Arbeitsmarktpolitik | job market policy | OK
927. die Arbeitsplatte | countertop | OK
928. die Au | meadow/floodplain | OK
929. das Aufräumen | tidying up | OK
930. der Aufschrei | outcry/scream/yelp | OK
931. das Ausbildungszentrum | education centre | IMPROVE: training center — Ausbildungszentrum means training center; education centre is too broad.
932. das Auslandsstudium | abroad studies | IMPROVE: study abroad — Auslandsstudium means study abroad; abroad studies is unidiomatic.
933. der Austauschpartner | exchange partner | OK
934. das Bare | cash | OK
935. die Schwere | difficulty/gravity/heaviness | OK
936. der Bauingenieur | building engineer/civil engineer/construction engineer | OK
937. der Beckenboden | pelvic floor | OK
938. die Premiere | première | OK
939. das Grundgesetz | Basic Law (constitution) | OK
940. der Ratgeber | guide/adviser | OK
941. die Abrechnung | billing/settlement | OK
942. die Achtung | attention/respect | OK
943. die Applikation | application | OK
944. die Errichtung | construction/establishment | OK
945. die Preisverleihung | award ceremony | OK
946. die Stabilität | stability | OK
947. die Berufung | appeal/vocation | OK
948. das Ferienhaus | holiday home | OK
949. der Gesetzentwurf | bill/draft law | OK
950. das Gewerbe | trade/business | OK
951. der Schulleiter | principal | OK
952. der Straßenverkehr | road traffic | OK
953. die Hardware | hardware | OK
954. der Mittelstand | small and medium businesses | OK
955. der Sektor | sector | OK
956. das Ambiente | ambiance/atmosphere | OK
957. das Halbjahr | half year | OK
958. die Konstruktion | construction | OK
959. der Lehrgang | training course | OK
960. der Senat | senate | OK
961. der Verbraucherschutz | consumer protection | OK
962. der Bauherr | building owner | OK
963. die Meisterschaft | championship | OK
964. der Urlaubsgruß | greetings from abroad | IMPROVE: holiday greeting — Urlaubsgruß means a greeting sent from vacation; greetings from abroad is too narrow.
965. der Urlaubstyp | type of vacationer/holiday type | OK
966. die Urlaubsplanung | holiday planning | OK
967. das Wellnesshotel | spa hotel | OK
968. die Fahrtzeit | travel time | OK
969. der Reisebüro-Mitarbeiter | travel agent (m) | OK
970. die Reisebüro-Mitarbeiterin | travel agent (f) | OK
971. der Skibus | ski bus | OK
972. der Wellness-Bereich | spa area | OK
973. die Werbesprache | language of advertising | OK
974. das Adverb | adverb | OK
975. die Vergangenheitsform | past time | WRONG: past tense/past form — Vergangenheitsform is a grammatical past tense or past form, not past time.
976. die Geschäftsfrau | businesswoman | OK
977. die Chemikerin | chemist | OK
978. die Einwegflasche | bottle | IMPROVE: disposable bottle — Einwegflasche specifically means a non-returnable or disposable bottle.
979. die Mehrwegflasche | deposit bottle | IMPROVE: reusable bottle — Mehrwegflasche means a reusable/returnable bottle; deposit bottle is only a related system.
980. das Solarpanel | solar panel | OK
981. der Satzanfang | beginning of a sentence | OK
982. der Herbststurm | autumn storm | OK
983. das Nachbardorf | neighbouring village | OK
984. die Windturbine | wind turbine | OK
985. der Kasus | case | OK
986. die Ehegattin | wife | OK
987. das Tempus | time | WRONG: tense — Tempus as a grammar noun means tense, not time in general.
988. die Liebesszene | love scene | OK
989. die Kursstunde | class session | OK
990. der Ethnologe | ethnologist | OK
991. der Farbstift | colored pencil | OK
992. das Passiv | liabilities | WRONG: passive voice — Passiv is the grammatical passive voice; liabilities is the accounting sense of Passiva.
993. das Garagentor | garage door | OK
994. der Wortstamm | stem | OK
995. die Kaufmannsfamilie | merchant family | OK
