row	rank	verb	preposition	case	english	example
348	354	vorgehen	gegen	Akk	take action against	Die Polizei geht gegen die Demonstranten vor.
349	355	zurückblicken	auf	Akk	look back on	Sie blickt auf ihr Berufsleben zurück.
350	356	sich ausrichten	an	Dat	align/orient oneself with	Das Konzept richtet sich an den Bedürfnissen der Lernenden aus.
351	357	sich einbringen	in	Akk	contribute to/get involved in	Er bringt sich aktiv in das Projekt ein.
352	358	sich verlieren	in	Dat	get lost in	Sie verliert sich in Details.
353	359	glänzen	mit	Dat	shine with/show off	Er glänzt mit seinem Wissen.
354	360	heranführen	an	Akk	introduce/lead up to	Der Lehrer führt die Kinder an Mathematik heran.
355	361	ansetzen	zu	Dat	start to/move to	Sie setzt zu einer Antwort an.
356	362	sich wiederfinden	in	Dat	find oneself in/relate to	Viele finden sich in dieser Beschreibung wieder.
357	363	zutreffen	auf	Akk	apply to/be true of	Diese Aussage trifft auf alle zu.
358	364	übergehen	zu	Dat	move on to	Wir gehen jetzt zum nächsten Punkt über.
359	365	sich anfreunden	mit	Dat	become friends with	Sie freundet sich mit der Idee an.
360	366	sich auflehnen	gegen	Akk	rebel against	Die Jugend lehnt sich gegen die Tradition auf.
361	367	anregen	zu	Dat	encourage/inspire to	Der Film regt zum Nachdenken an.
362	368	experimentieren	mit	Dat	experiment with	Wir experimentieren mit Gewürzen.
363	369	belegen	mit	Dat	cover/spread/document with	Belegen Sie das Brot mit Käse.
364	370	hinwegsehen	über	Akk	overlook/disregard	Wir sehen über kleine Fehler hinweg.
