1. der Ansturm | onslaught/rush | OK
538. das Ertrinken | drowning | OK
539. das Erwachen | awakening/realisation | OK
540. die Erwerbung | acquisition | OK
541. die Evakuierung | evacuation | OK
542. die Exekutive | executive | OK
543. der Expressionismus | expressionism | OK
544. die Fachbibliothek | specialist library/academic library | OK
545. der Fachschaftsrat | student representatives | OK
546. die Fachwissenschaft | specialist discipline/academic field | OK
547. der Fahrplanwechsel | schedule bill of exchange | WRONG: timetable change/schedule change - Fahrplanwechsel is a change of timetable.
548. das Relikt | relict | OK
549. das Fahrtenbuch | driver's logbook | OK
550. der Fahrzeugbrief | vehicle letter | WRONG: vehicle registration document - Fahrzeugbrief is the German vehicle registration document.
551. die Familienministerin | family minister | OK
552. die Fastnacht | Shrove Tuesday/Shrovetide/carnival | OK
553. das Feeling | feeling | OK
554. die Feministin | feminist | OK
555. der Ferienort | resort | OK
556. der Fernsehturm | television tower | OK
557. das Fernwärmenetz | distance heat network | WRONG: district heating network - This is a district heating network.
558. die Filmförderung | film funding | OK
559. die Filterblase | filter bubble | OK
560. der Finanzberater | financial advisor | OK
561. die Finanzbranche | financial sector/finance industry | OK
562. das Firmenjubiläum | anniversary | WRONG: company anniversary - This is a company anniversary, not any anniversary.
563. der Fleischkonsum | meat consumption | OK
564. der Flitzer | speedster/streaker | OK
565. die Flüchtlingsfamilie | refugee family | OK
566. der Foodtruck | food truck | OK
567. die Förderungsmöglichkeit | conveyance chance | WRONG: funding opportunity - This is an opportunity for funding or support.
568. der Forschungsbericht | research report | OK
569. die Frauenbewegung | women's movement | OK
570. der Frontmann | frontman | OK
571. der Fühler | feeler/sensor | OK
572. das Funkhaus | broadcasting house | OK
573. der Fürstbischof | prince-bishop | OK
574. der Fußballspieler | football player/footballer/kicker | OK
575. der Gabelstapler | fork lift/fork-lift/forklift truck | OK
576. die Gallenblase | gall bladder | OK
577. die Garde | guard | OK
578. der Gartenabfall | garden waste | OK
579. die Inneneinrichtung | design | WRONG: interior design/furnishings - Inneneinrichtung means interior design or furnishings.
580. der Gastraum | dining room/guest room | OK
581. der Gedankengang | train of thought | OK
582. die Gefährlichkeit | dangerousness | OK
583. der Gefallene | fallen soldier | OK
584. der Gegenwind | headwind | OK
585. die Gehaltserhöhung | pay raise/pay rise/salary increase | OK
586. die Gelatine | gelatin/jelly | OK
587. die Gesamthöhe | altitude | WRONG: total height - This means total height, not altitude.
588. der Geschichtsunterricht | history class/history lesson | OK
589. das Insektensterben | decline in insect populations/insects dying-off/insects extinction | OK
590. der Gesichtsausdruck | facial expression | OK
591. das Protokoll | minutes/protocol | OK
592. die Gewaltherrschaft | authority control | WRONG: tyranny/despotic rule - Gewaltherrschaft means rule by violence or tyranny.
593. die Gewichtsreduktion | weight reduction | OK
594. die Glaubensfrage | belief issue | IMPROVE: question of faith - Glaubensfrage is idiomatically a question of faith.
595. der Gleichgewichtssinn | balance meaning | WRONG: sense of balance - Gleichgewichtssinn is the sense of balance.
596. die Gleichgültigkeit | apathy/indifference/nonchalance | OK
597. das Goodie | freebie | OK
598. die Gottheit | deity | OK
599. der Gradmesser | degree knife | WRONG: gauge/yardstick - Gradmesser means an indicator or gauge, not degree knife.
600. der Inselstaat | insular state/island country/island state | OK
601. die Grausamkeit | atrocity/coldness/cruelty | OK
602. das Grillfest | barbecue grill celebration | WRONG: barbecue - Grillfest is a barbecue or barbecue party.
603. die Grundeinstellung | basis adjustment | WRONG: basic attitude/default setting - Grundeinstellung means a basic attitude or default setting.
604. die Grundlinie | baseline | OK
605. der Grünkohl | kale | OK
606. die Gutachterin | expert witness | IMPROVE: expert/assessor - Gutachterin is a female expert or assessor; expert witness is only one context.
607. die Halswirbelsäule | cervical vertebrae | IMPROVE: cervical spine - This is the cervical spine, not just the vertebrae.
608. das Handelsabkommen | trade agreement | OK
609. der Handlauf | hand barrel | WRONG: handrail - Handlauf means a handrail.
610. die Hanglage | hillside location/slope | OK
611. die Hantel | barbell/dumbbell | OK
612. der Hauptgewinn | grand prize | OK
613. die Hautschicht | skin layer | OK
614. die Heimatregion | home region | OK
615. die Hightech | hi-tech/high tech/high-tech | OK
616. die Hintertür | back door/loophole/tradesman's entrance | OK
617. der Hippie | hippie | OK
618. der Historismus | historicism/historism | OK
619. das Hochland | highlands | OK
620. die Hochsaison | peak season | OK
621. die Holzart | kind of wood/type of wood | OK
622. die Intimität | intimacy | OK
623. die Hotelkette | hotel chain | OK
624. die Humanität | humanity | OK
625. der Hybride | crossbreed/hybrid | OK
626. der Republikaner | Republican/republican | OK
627. die Immunabwehr | defence | WRONG: immune defense - Immunabwehr specifically means immune defense.
628. die Immunität | immunity | OK
629. der Informationsbedarf | information need | OK
630. die Kachel | tile | OK
631. der Innendienst | office-based service/internal service | IMPROVE: office-based staff/internal service - Innendienst contrasts with field service and is not indoor service.
632. die Interessenlage | interest situation | OK
633. der Interviewpartner | interview partner | OK
634. das Jagdschloss | hunting lodge/hunting seat | OK
635. der Jahreszins | annual interest rate | OK
636. das Jenseits | afterlife | OK
637. der Kalkstein | limestone | OK
638. die Jubiläumsfeier | anniversary celebration | OK
639. der Kahn | flat-bottomed boat | OK
640. der Kalkül | calculations/calculus | OK
641. die Robbe | seal | OK
642. das Kärtchen | little card | OK
643. der Kartoffelsalat | potato salad | OK
644. die Kartonage | cardboard packaging | OK
645. der Katastrophenfall | disaster situation | OK
646. der Katzensprung | stone's throw | OK
647. die Kelle | trowel/ladle | OK
648. der Kerzenschein | candlelight | OK
649. die Kinderkrankenschwester | child nurse | WRONG: pediatric nurse - Kinderkrankenschwester means a nurse for children.
650. die Rötung | reddening | IMPROVE: redness - This is normally redness rather than reddening.
651. der Kirchenbau | church building | OK
652. der Kirchenchor | church chancel | WRONG: church choir - Kirchenchor is a church choir, not a chancel.
653. die Klebe | glue/adhesive | OK
654. der Kleber | adhesive/glue/gluten | OK
655. das Kleinkindalter | toddler age/early childhood | OK
656. der Rutsch | trip | WRONG: slide/slip - Rutsch usually means a slide or slip; trip is misleading.
657. das Kalzium | calcium | OK
658. die Klitoris | clitoris | OK
659. der Knabe | boy/lad | OK
660. der Kodex | code/codex/manuscript | OK
661. der Kohlenwasserstoff | hydrocarbon | OK
662. der Kolben | butt/club/flask | WRONG: piston - Kolben most commonly means piston in technical contexts.
663. der Kolumnist | columnist | OK
664. der Komet | comet | OK
665. der Komposthaufen | compost heap | OK
666. die Konserve | preserve | IMPROVE: canned food/preserve - Konserve is usually canned food or a preserve.
667. die Kontamination | amalgam/blending | WRONG: contamination - Kontamination means contamination.
668. der Konzernumsatz | combine conversion | WRONG: group sales - Konzernumsatz is sales or revenue of a corporate group.
669. die Koppel | coupler/paddock | OK
670. das Kosmetikprodukt | cosmetic product | OK
671. die Kostenfalle | cost trap | OK
672. die Kostensteigerung | cost increase | OK
673. die Krabbe | crab/crocket | OK
674. der Krankentransport | ambulance transport | OK
675. der Kreuzgang | cloister | OK
676. der Kreuzzug | crusade | OK
677. das Kriegsschiff | warship | OK
678. das Kriegsverbrechen | war crime | OK
679. die Kripo | criminal investigation department | OK
680. der Kroate | Croat/Croatian | OK
681. die Krücke | crutch | OK
682. die Kruste | crust | OK
683. der Kuckuck | cuckoo | OK
684. die Kufe | runner/skid | OK
685. der Kundenkreis | customer base/clientele | OK
686. die Kündigungsschutzklage | action for unfair dismissal | OK
687. die Kunstpädagogik | art education science | IMPROVE: art education - This is art education as a field.
688. die Kuvertüre | couverture (chocolate coating) | OK
689. der Lacher | laugh/laughing | OK
690. das Landwirtschaftsministerium | ministry of agriculture | OK
691. der Laserstrahl | laser beam | OK
692. die Lebensenergie | life energy/life force/vitality | OK
693. die Lebensrealität | life reality | OK
694. die Lebenswoche | week of life | OK
695. die Lebertransplantation | hepatic transplantation/liver transplantation | OK
696. die Legierung | alloy | OK
697. die Legitimität | legitimacy | OK
698. das Lehen | feud/fief/loan | IMPROVE: fief - Lehen is primarily a feudal fief; feud is misleading noise.
699. die Leihe | loan/loan for use/pawnshop | OK
700. der Lichtstrahl | beam of light/ray of light | OK
701. die Lichtung | clearing/glade | OK
702. die Liebesbeziehung | love affair | OK
703. das Ligaspiel | league match | OK
704. der Linienverkehr | scheduled service/regular traffic | OK
705. die Linkskurve | left-hand bend | OK
706. der Logistikdienstleister | logistic service provider | OK
707. der Sandkasten | sand table/sand-box/sand-pit | OK
708. die Lufttemperatur | air temperature | OK
709. der Mähroboter | robotic lawn mower | OK
710. das Makro | close-up view/closeup/macro | OK
711. das Mandala | mandala | OK
712. der Mandatsträger | elected official | OK
713. der Marktpreis | market price | OK
714. der Mauersegler | common swift | OK
715. das Mietauto | clamp auto | WRONG: rental car/hire car - Mietauto is a rented car.
716. die Militärdiktatur | military dictatorship | OK
717. die Milliardenhöhe | billion altitude | WRONG: billions - This means an amount in the billions.
718. die Mindestmenge | abundance | WRONG: minimum quantity - Mindestmenge is a minimum quantity.
719. der Mindestpreis | price floor | OK
720. das Mineral | mineral | OK
721. das Monatsgehalt | monthly wage | OK
722. die Monokultur | monoculture | OK
723. die Morbidität | morbidity | OK
724. die Mortalität | mortality | OK
725. die Müllentsorgung | garbage disposal | OK
726. die Müllverbrennungsanlage | incineration plant | OK
727. das Schadprogramm | malware | OK
728. die Nachbargemeinde | neighbour municipality | IMPROVE: neighboring municipality/community - Nachbargemeinde is a neighboring municipality.
729. der Nachtfalter | moth | OK
730. die Nahrungskette | food chain | OK
731. das Navigieren | navigating | OK
732. der Neandertaler | Neanderthal man | OK
733. der Negativzins | negative interest | IMPROVE: negative interest rate - Negativzins is normally a negative interest rate.
734. der Neubeginn | fresh start/new beginning | OK
735. die Neubewertung | re-evaluation | OK
736. die Nikolaikirche | St. Nicholas' Church | OK
737. die Notfallsituation | emergency situation | OK
738. die Oberliga | top league/upper league | OK
739. die Objektivität | objectivity | OK
740. die Oktave | Cayley algebra/Cayley numbers/octave | OK
741. der Oldie | oldie | OK
742. der Ölwechsel | oil change | OK
743. das Orakel | oracle | OK
744. die Örtlichkeit | locality/place/site | OK
745. die Ostseite | east side | OK
746. der Page | bellboy/bellhop/bellman/page (attendant) | OK
747. der Palmengarten | palm garden | OK
748. das Paper | paper | OK
749. der Paukenschlag | bombshell/drumbeat | OK
750. der Pauschalbetrag | lump sum | OK
751. die Pfingstferien | Whitsun holidays | OK
752. das Pharmaunternehmen | pharmaceutical company | OK
753. die Schaukel | swing | OK
754. der Physikunterricht | physics lessons | OK
755. der Rapper | rapper | OK
756. das Platzverhältnis | place background | WRONG: space conditions/space available - This refers to spatial conditions, not background.
757. der Poker | four of a kind/poker/quads | OK
758. die Polizeibehörde | police agency | OK
759. der Polyester | ester | WRONG: polyester - Polyester is polyester, not ester in general.
760. der Preisanstieg | price ascent | WRONG: price increase - Preisanstieg means a rise in price.
761. das Preisschild | price tag | OK
762. die Premierministerin | prime minister | OK
763. der Print | print | OK
764. das Profiling | profiling | OK
765. der Projektor | projector | OK
766. der Projektstart | project start | OK
767. die Protestbewegung | protest movement | OK
768. der Puder | powder | OK
769. die Querung | crossing | OK
770. das Seebad | seaside resort | OK
771. der Rassist | racist | OK
772. die Raststätte | rest stop/service area | OK
773. die Rasur | shave | OK
774. die Raumluft | indoor air/room air | OK
775. das Rebhuhn | grey partridge/partridge | OK
776. die Rebsorte | grape variety | OK
777. das Rechtsgeschäft | legal transaction/transaction | OK
778. das Rechtsgutachten | law expert opinion | WRONG: legal opinion - Rechtsgutachten is an expert legal opinion.
779. die Rechtsnorm | legal norm | OK
780. der Rechtspopulist | right-wing populist | OK
781. die Redundanz | redundance/redundancy | OK
782. der Reflektor | reflector | OK
783. der Sehbehinderte | disabled person | WRONG: visually impaired person - Sehbehinderte means a visually impaired person.
784. die Rehabilitierung | rehabilitation | OK
785. die Reichsmark | Reichsmark | OK
786. der Bayer | Bavarian | OK
787. der Rettungsweg | ambulance method | WRONG: escape route - Rettungsweg is an emergency escape route.
788. der Riesling | Riesling | OK
789. der Roggen | rye | OK
790. der Routinier | old hand/veteran | OK
791. die Rückblende | cutback/flashback | OK
792. die Sirene | siren | OK
793. der Rundblick | round glance | WRONG: panoramic view - Rundblick is an all-around or panoramic view.
794. der Rundfunkrat | broadcast advice | WRONG: broadcasting council - Rundfunkrat is a broadcasting council.
795. der Saisonauftakt | season opener/start of the season | OK
796. die Soforthilfe | help | WRONG: immediate aid/emergency aid - Soforthilfe is immediate help or emergency aid.
797. die Sammelaktion | action | WRONG: collection campaign - Sammelaktion is a collection or fundraising campaign.
798. der Samt | velvet | OK
799. der Sonnenbrand | sunburn | OK
800. die Sau | sow/pig | OK
801. das Saxophon | horn/sax/saxophone | OK
802. das Schienennetz | rail net | IMPROVE: rail network - Schienennetz is naturally rail network.
803. der Schlich | trick/ruse | OK
804. die Schlichtung | arbitration/conciliation/mediation | OK
805. die Schlosskirche | castle church | OK
806. der Schlupf | hatch/slippage | OK
807. die Schneeflocke | snowflake | OK
808. die Schnittblume | cut flower | OK
809. der Schreiber | recorder/writer/writing implement | OK
810. der Schuhkarton | shoebox | OK
811. der Schulungsraum | training room | OK
812. die Seefahrt | sea voyage/seafaring | OK
813. die Sehhilfe | help | WRONG: visual aid - Sehhilfe is an aid for vision, such as glasses.
814. die Sekte | cult/sect | OK
815. der Sellerie | celeriac/celery | OK
816. die Seminararbeit | department business | WRONG: seminar paper/term paper - Seminararbeit is an academic seminar paper.
817. die Sepsis | sepsis | OK
818. die Spielmöglichkeit | playing opportunity | OK
819. das Silikon | silicone | OK
820. die Sondierung | probe/sounding | OK
821. das Sperma | semen/sperm | OK
822. die Sperrklausel | election threshold/electoral threshold | OK
823. die Kanutour | canoe tour | OK
824. die Spielgruppe | game group | WRONG: playgroup - Spielgruppe is a playgroup, not a game group.
825. die Spielklasse | league | OK
826. die Spielszene | game scene | OK
827. der Splitter | splinter | OK
828. der Sporn | spur | OK
829. die Sprachreise | language holiday | OK
830. der Sprengstoff | blasting agent/explosive | OK
831. der Spritverbrauch | fuel consumption | OK
832. das Staatsgebiet | States area | WRONG: national territory - This means a state's territory.
833. der Stadtbummel | centre stroll | IMPROVE: stroll through town - Stadtbummel means a leisurely stroll around town.
834. der Staudamm | dam | OK
835. der Steinweg | boulder method | WRONG: stone path - Steinweg means a stone path or stone-paved way.
836. die Steuerlast | tax burden | OK
837. die Stolperfalle | tripping hazard/pitfall | OK
838. der Strafvollzug | penal execution | WRONG: penal system - Strafvollzug means enforcement of sentences or the prison system.
839. die Strähne | hank/skein/strand | OK
840. der Straßenbaum | road boom | WRONG: street tree - This is a tree along a street.
841. der Straßenname | hodonym/odonym | IMPROVE: street name - Street name is the learner-friendly gloss; hodonym is technical.
842. das Straßenverkehrsamt | road traffic authority/DMV | OK
843. die Strumpfhose | pantyhose/tights | OK
844. das Sturmgewehr | assault rifle | OK
845. das Subsystem | subsystem | OK
846. die Kastanie | chestnut/chestnut tree | OK
847. der Superior | superior | OK
848. das Supplement | supplement | OK
849. die Spielstätte | venue | OK
850. die Süßware | confectionery | OK
851. die Tagesstätte | daycare center | OK
852. der Teddy | Ted/panda/panda bear | WRONG: teddy bear - Teddy normally means a teddy bear.
853. der Kataster | land register | OK
854. die Theaterpädagogin | drama teacher (f.) | IMPROVE: theater educator - This is a female theater educator, not simply a drama teacher.
855. das Theaterspiel | theatre play | OK
856. das Theologiestudium | theology studies | OK
857. die Theologin | theologian | OK
858. der Ticketverkauf | ticket sale | OK
859. die Tiermedizin | veterinary medicine | OK
860. die Tochterfirma | daughter company | IMPROVE: subsidiary - Tochterfirma is idiomatically a subsidiary company.
861. der Toner | toner | OK
862. das Töten | killing | OK
863. das Tötungsdelikt | homicide | OK
864. die Township | township | OK
865. die Translation | translation | OK
866. der Trauerfall | bereavement | OK
867. der Trendsetter | hipster | WRONG: trendsetter - Trendsetter means trendsetter, not hipster.
868. der Trichter | funnel | OK
869. die Trilogie | trilogy | OK
870. der Turmfalke | kestrel | OK
871. das Überangebot | offer | WRONG: oversupply - This means excess supply.
872. die Überlagerung | superposition | OK
873. der Übertragungsweg | post-date-labour method | WRONG: transmission path - This is a path or route of transmission.
874. die Überzeugungsarbeit | conviction business | WRONG: persuasion - This means efforts to persuade.
875. der Uhrzeigersinn | clockwise direction | OK
876. die Kernaussage | core message | OK
877. die Umnutzung | change of use/repurposing | OK
878. die Umweltwissenschaft | environment academic discipline | WRONG: environmental science - Umweltwissenschaft is environmental science.
879. die Unfähigkeit | inability | OK
880. das Untermenü | submenu | OK
881. der Unterrichtsausfall | class cancellation/lesson cancellation | OK
882. die Unzulänglichkeit | shortcoming | OK
883. die Urne | ballot box/urn | OK
884. die Variabilität | variability | OK
885. die Verehrung | veneration | OK
886. die Verfolgungsjagd | chase/pursuit | OK
887. die Verkehrskontrolle | traffic check/roadblock | OK
888. die Verlautbarung | statement | OK
889. die Vermischung | mixture | OK
890. das Versorgungsunternehmen | utility company | OK
891. die Verwaltungsgemeinschaft | back-office | WRONG: administrative community - Verwaltungsgemeinschaft is an administrative association/community.
892. das Volum | volume | OK
893. der Vordenker | thought leader | OK
894. die Vorgängerin | predecessor (female) | OK
895. die Vorinstanz | instance | WRONG: lower court/previous instance - Vorinstanz is the lower or previous court instance.
896. der Vorjahresmonat | previous year month | WRONG: same month last year - Vorjahresmonat means the corresponding month of the previous year.
897. der Wachstumsmarkt | growing market | OK
898. die Wahlheimat | adopted homeland | OK
899. die Waldameise | wood ant | OK
900. das Wäldchen | copse | OK
901. die Wallfahrtskirche | pilgrimage church | OK
902. die Wärmeerzeugung | heat creation | IMPROVE: heat generation - This is the generation of heat.
903. der Wartebereich | lookout area | WRONG: waiting area - Wartebereich is an area for waiting.
904. die Wäscherei | laundry | OK
905. der Wasserlauf | watercourse | OK
906. die Wassermühle | water mill | OK
907. der Wasserweg | waterway | OK
908. der Weckruf | alarm call/clarion call/wake-up call | OK
909. das Wegenetz | method net | WRONG: road network/path network - Wegenetz is a network of roads or paths.
910. die Wehranlage | weir installation/defensive structure | OK
911. der Weltenbummler | globetrotter | OK
912. der Sportlehrer | games master/gym teacher/sports coach | OK
913. die Weltkarte | world map | OK
914. das Werbegeschenk | advertising gift/freebie/giveaway | OK
915. die Werkstofftechnik | materials engineering | OK
916. die Westseite | vest angle | WRONG: west side - Westseite means the western side.
917. die Wetterverhältnisse | weather conditions | OK
918. der Widersacher | adversary/foe | OK
919. die Widmung | dedication/devotement | OK
920. das Wie | how | OK
921. der Wilderer | poacher | OK
922. das Staatsoberhaupt | chief of State/head of State | OK
923. der Wisch | piece of bumph/piece of paper/wisp | OK
924. das Wissenschaftsministerium | academic discipline department | WRONG: Ministry of Science - Wissenschaftsministerium is a science ministry.
925. die Wohlfahrt | social services/welfare | OK
926. die Wohltat | benefit/relief | OK
927. das Xi | xi | OK
928. der Yachthafen | yacht harbour | OK
929. die Zeitumstellung | time change | OK
930. der Zeitverlust | time loss | OK
931. der Zensus | censitary suffrage/census/census suffrage | IMPROVE: census - Zensus means census; suffrage glosses are misleading here.
932. die Zentralisierung | centralisation | OK
933. die Zielscheibe | Aunt Sally/butt/laughingstock | WRONG: target - Zielscheibe is a target, not primarily a laughingstock.
934. die Zwangsvollstreckung | enforcement | OK
935. der Zweijährige | two-year-old | OK
936. der Zwischenraum | gap/interval/space | OK
937. der Zwölfjährige | twelve-year-old | OK
938. das Abendkleid | evening dress/evening gown/gown | OK
939. der Abfallbehälter | bin/dustbin/garbage can | OK
940. die Abgasnorm | emission standard | OK
941. das Ablaufdatum | activity date | WRONG: expiration date/expiry date - Ablaufdatum is an expiration date.
942. der Abszess | abscess | OK
943. die Achtzigerjahre | eighties | OK
944. der Adlige | aristocrat/noble/nobleman | OK
945. der Aktivurlaub | active holiday/active vacation | OK
946. die Ampelanlage | traffic light system | OK
947. der Amtsarzt | public health officer | OK
948. die Amtseinführung | inauguration | OK
949. die Anästhesiologie | anaesthesiology/anesthesiology | OK
950. der Anhalter | hitch-hiker/hitcher/hitchhiker | OK
951. die Anpassungsfähigkeit | adaptability/adaptiveness | OK
952. die Anreicherung | enrichment | OK
953. die Ansichtskarte | picture postcard | OK
954. das Antioxidans | antioxidant | OK
955. das Antlitz | countenance/face/visage | OK
956. die Appetitlosigkeit | lack of apetite | IMPROVE: loss of appetite - The current gloss has a typo and is less idiomatic.
957. die Arbeitsmöglichkeit | business chance | WRONG: work opportunity/job opportunity - This means an opportunity for work.
958. das Arsen | arsenic | OK
959. das Ärztehaus | medical centre | OK
960. die Aufbauphase | assembly phase | WRONG: build-up phase/development phase - Aufbauphase is a phase of building up or development.
961. der Aufguss | infusion | OK
962. der Aufhebungsvertrag | termination agreement | OK
963. das Aufspüren | detection | OK
964. das Augenzwinkern | wink | OK
965. das Ausschlusskriterium | exclusion criterion | OK
966. das Außenministerium | Foreign Office/Foreign and Commonwealth Office/State Department | OK
967. der Außenspiegel | outside mirror | OK
968. der Aussiedler | emigrant/resettler | OK
969. der Automobilbau | automobile manufacturing | OK
970. die Autostunde | auto hour | WRONG: hour by car - Autostunde means a travel time of one hour by car.
971. der Babybauch | baby belly | OK
972. der Ballen | bale/ball | OK
973. der Barometer | barometer | OK
974. die Bastelei | handicraft | OK
975. der Bauplatz | building lot | OK
976. die Bautechnik | structural engineering | OK
977. die Bearbeitungsdauer | processing time | OK
978. die Behandlungsdauer | duration of treatment | OK
979. das Beige | beige | OK
980. die Benutzergruppe | user group | OK
981. das Stadthaus | townhouse | OK
982. die Bereinigung | clean-up | OK
983. die Berglandschaft | mountain landscape | OK
984. die Berufsoberschule | vocational high school | OK
985. der Berufszweig | profession | OK
986. die Besatzungsmacht | occupying power | OK
987. das Beschäftigungsverbot | employment ban | OK
988. die Kernenergie | atomic energy/nuclear energy | OK
989. die Beschneidung | circumcision/female circumcision/female genital cutting | OK
990. die Bettdecke | bedspread/blanket/comforter | OK
991. der Bewerb | competition (Austrian) | OK
992. die Bildschirmdiagonale | screen diagonal | OK
993. der Sterbefall | death/death case | OK
994. das Bildungsniveau | educational level/level of education | OK
995. das Bildungsziel | creation aim | WRONG: educational goal - Bildungsziel is an educational goal.
996. das Bindemittel | binder/binding agent | OK
997. der Blazer | blazer | OK
998. das Bleiberecht | right of residence | OK
999. die Blindheit | blindness | OK
1000. die Blütenpracht | bloom glory | WRONG: floral splendor - This means an impressive display of blossoms.
