1. der Arbeitsminister | Secretary of Labour/Secretary of State for Employment | IMPROVE: labor minister/minister of labor - Current gloss is too country-specific for the general German title.
550. der Ratsherr | advice Lord | WRONG: councillor - Ratsherr means a councillor, not an advice lord.
551. die Raumsonde | space probe | OK
552. die Rechtskraft | legal force | OK
553. der Rechtsruck | shift to the right/swing to the right | OK
554. das Reformhaus | health food store | OK
555. der Reformvorschlag | reform offer | WRONG: reform proposal - Reformvorschlag means proposal, not offer.
556. der Regelbetrieb | period business | WRONG: regular operation - Regelbetrieb means normal or regular operation, not period business.
557. der Regionalverkehr | communication | WRONG: regional transport - Regionalverkehr means regional transport, not communication.
558. der Regionalzug | regional train | OK
559. die Reiseleiterin | tour guide (female) | OK
560. der Reitweg | riding trail/bridle path | OK
561. die Rekultivierung | crossing | WRONG: recultivation/land rehabilitation - Rekultivierung means restoring land, not crossing.
562. die Relegation | relegation | OK
563. die Religiosität | religiosity/religiousness | OK
564. die Rennbahn | racetrack | OK
565. der Rennsport | sport | WRONG: racing - Rennsport means racing or motor sport, not sport in general.
566. die Rettungsgasse | emergency corridor/emergency lane | OK
567. die Preisentwicklung | price development | OK
568. das Risikogebiet | chance area | WRONG: risk area - Risikogebiet means risk area, not chance area.
569. der Roboterarm | robot arm | OK
570. das Röhrchen | cannula/tubule | IMPROVE: small tube/vial - R?hrchen is a small tube or vial; "cannula" is too narrow.
571. das Rokoko | rococo | OK
572. der Kniff | stratagem/trick | OK
573. die Röntgenaufnahme | radiograph/roentgenogram | OK
574. die Röntgenuntersuchung | X-ray examination/X-ray investigation/X-ray study | OK
575. die Rotbuche | European beech/common beech | OK
576. das Röteln | rubella | OK
577. das Rotkehlchen | European robin/robin/robin redbreast | OK
578. die Roulade | bird/roulade/roulade of meat | IMPROVE: roulade/meat roll - "Bird" is not a useful primary gloss here.
579. der Rückschnitt | pruning/cutback | OK
580. der Kommentator | commentator | OK
581. das Rückzugsgebiet | retreat area | OK
582. das Ruderboot | rowboat | OK
583. das Sägeblatt | saw blade | OK
584. die Salzwiese | salt marsh/salt meadow | OK
585. die Sanitäreinrichtung | sanitary fitting | IMPROVE: sanitary facilities/installations - Sanit?reinrichtung usually means sanitary facilities, not one fitting.
586. die Körperpflege | body care/grooming/personal hygiene | OK
587. die Privatleute | individuals/particular | IMPROVE: private individuals - "Particular" is the wrong part of speech here.
588. der Sauerteig | leaven/sourdough | OK
589. die Kreatur | creature | OK
590. die Schadensregulierung | claims settlement/settlement of damages | OK
591. die Schalte | live link/studio link | OK
592. der Schaumstoff | cellular material/expanded material/foam | OK
593. das Schilddrüsenhormon | thyroid gland hormone | OK
594. die Schippe | shovel | OK
595. der Schlafanzug | nightgown/pair of pyjamas | OK
596. das Schlendern | strolling | OK
597. die Schleppe | train | OK
598. die Schmiererei | scribbling/graffiti | OK
599. der Schnickschnack | bits and pieces/knick-knack | IMPROVE: frills/nonsense/bits and pieces - Schnickschnack is usually unnecessary frills or nonsense, not a single knick-knack.
600. der Schraubendreher | screwdriver | OK
601. der Schraubenzieher | screwdriver | OK
602. das Schrifttum | corpus/literature | OK
603. der Schrittzähler | crotch counter | WRONG: pedometer/step counter - Schrittz?hler means step counter; "crotch" is a mistranslation.
604. der Schulbau | school building | IMPROVE: school construction - Schulbau often means the construction of schools, not just a school building.
605. der Schutzpatron | patron saint | OK
606. das Schwefeldioxid | sulfur dioxide | OK
607. der Schwerkranke | seriously ill person | OK
608. der Schwiegersohn | son-in-law | OK
609. der Scout | scout | OK
610. der Sechste | sixth | OK
611. die Seelsorgerin | pastor/chaplain (female) | OK
612. der Seitenflügel | angle grand piano | WRONG: side wing - Seitenfl?gel means a side wing, not an angle grand piano.
613. der Seitenwechsel | angle bill of exchange | WRONG: change of sides/page change - Seitenwechsel means changing sides or pages, not an angle bill of exchange.
614. die Selbstauskunft | self information | WRONG: self-disclosure - Selbstauskunft means self-disclosure, not self information.
615. die Produktqualität | product quality | OK
616. die Selbsttötung | self killing | IMPROVE: suicide - "Self killing" is understandable but not idiomatic.
617. der Selbstversorger | self-caterer | OK
618. der Seminarleiter | seminar leader | OK
619. der Sendeplatz | broadcast slot | OK
620. die Sensitivität | sensitivity | OK
621. der Kreißsaal | delivery room/maternity room | OK
622. der Showdown | showdown | OK
623. die Sicherheitsleistung | bail/bailout/surety | IMPROVE: security deposit/surety - "Bailout" is misleading; this is a security or surety.
624. der Siebenjährige | seven-year-old | OK
625. die Sinologie | sinology | OK
626. das Skispringen | ski jumping | OK
627. die Sommerblume | summer flower | OK
628. das Sommerhaus | summer house | OK
629. das Sonnenbad | sun bath/sunbath | OK
630. die Sonnenliege | Sun lounger | OK
631. die Sozietät | partnership (legal/medical) | OK
632. der Spazierweg | walking path/footpath | OK
633. der Spendenaufruf | donation appeal | OK
634. die Spezialeinheit | special forces/special unit | OK
635. der Spickzettel | cheat sheet/crib sheet | OK
636. der Propst | provost | OK
637. die Spielfreude | joy of playing | OK
638. die Spielsituation | game situation | OK
639. die Spionage | espionage | OK
640. der Spoiler | spoiler | OK
641. das Sportboot | sports boat | OK
642. die Sporttasche | sports bag | OK
643. der Sprengsatz | composition | WRONG: explosive device - Sprengsatz means explosive device, not composition.
644. die Sprengung | detonation | OK
645. die Spreu | chaff | OK
646. die Spundwand | sheet pile/sheet piling | OK
647. die Spürnase | good nose/flair | OK
648. der Staatshaushalt | national budget | OK
649. die Stabstelle | staff unit | OK
650. die Stadtführerin | centre driver | WRONG: city guide (female) - Stadtf?hrerin is a female city guide, not a centre driver.
651. die Stadtratssitzung | city council meeting | OK
652. die Stadtteilbibliothek | quarter library | WRONG: district library - Stadtteilbibliothek means district or neighborhood library, not quarter library.
653. die Stahlkonstruktion | steel construction | OK
654. der Standby | standby | OK
655. das Kulturhaus | house of culture | OK
656. der Steilhang | steep slope/escarpment | OK
657. der Steinbock | Capricorn/ibex | OK
658. der Steinwurf | boulder dropping | WRONG: stone's throw/stone throw - Steinwurf is a throw of a stone or short distance, not boulder dropping.
659. das Sternbild | constellation | OK
660. die Steuerreform | tax reform | OK
661. der Stieglitz | goldfinch | OK
662. das Stillleben | still life | OK
663. das Stillschweigen | silence | OK
664. die Stippvisite | flying visit | OK
665. der Störfaktor | disruptive element | OK
666. der Störfall | incident | OK
667. der Strafbefehl | penalty order | OK
668. der Strandabschnitt | section of beach/beach section | OK
669. die Straßenkreuzung | crossing/intersection | OK
670. die Straßenmeisterei | road maintenance depot | OK
671. die Stratosphäre | stratosphere | OK
672. die Streicheleinheit | item | WRONG: caress/stroke - Streicheleinheit means a stroke or affectionate attention, not an item.
673. das Streichinstrument | bowed string instrument | OK
674. der Streikende | striker | WRONG: striker - Streikende is a person on strike, not the end of a strike.
675. das Laboratorium | laboratory | OK
676. das Stresshormon | stress hormone | OK
677. das Studioalbum | studio album | OK
678. der Südhang | southern slope | OK
679. die Superintendentin | superintendent | OK
680. der Tacho | speedo | OK
681. die Tagesdosis | daily dose | OK
682. die Protagonistin | protagonist (female) | OK
683. die Tatkraft | energy/vigor | OK
684. die Taverne | tavern | OK
685. der Technologiekonzern | technology group | OK
686. die Teesorte | tea type | OK
687. der Teilhaber | but | WRONG: partner/shareholder - Teilhaber means a partner or shareholder, not "but."
688. das Teilsystem | sub-system/subsystem | OK
689. die Telefonzelle | telephone booth/telephone box | OK
690. das Teleobjektiv | telephoto/telephoto lens | OK
691. das Pult | lectern/podium | OK
692. die Terrororganisation | terrorist organisation | OK
693. der Testflug | check flight | OK
694. der Testzweck | test purpose | OK
695. das Lamm | lamb | OK
696. die Textverarbeitung | text processing | OK
697. die Theaterpädagogik | drama education/theater pedagogy | OK
698. die Theatervorstellung | theater performance | OK
699. die Tintenpatrone | ink cartridge | OK
700. das Töchterchen | little daughter | OK
701. die Tora | Torah | OK
702. der Torjäger | goal scorer | OK
703. das Tragegefühl | fit and feel/wearing comfort | OK
704. die Tranche | block/cut/part | OK
705. der Trank | potion | OK
706. der Transgender | trans person/trans-person/transgender | OK
707. der Trauzeuge | best man/witness to a marriage | OK
708. das Trauzimmer | marriage room/wedding room | OK
709. der Trecker | tractor | OK
710. die Trockenperiode | dry period | OK
711. der Trolley | roller suitcase/rolling suitcase/trolley case | OK
712. die Truhe | chest/coffer | OK
713. die Turnerin | gymnast (female) | OK
714. die Türschwelle | threshold | OK
715. der Tusch | flourish/sting | OK
716. die Übereinkunft | agreement | OK
717. die Überfischung | overfishing | OK
718. der Überflieger | flyover/high flyer/overpass | IMPROVE: high-flyer/overachiever - ?berflieger primarily means a high-flyer, not an overpass.
719. der Puma | cougar/mountain lion/panther | OK
720. der Überspannungsschutz | overvoltage protection | OK
721. der Uferbereich | shore area | OK
722. die Umgangssprache | colloquial language/colloquial speech/common speech | OK
723. die Umgebungsluft | ambient air | OK
724. die Umhängetasche | bag | WRONG: shoulder bag - Umh?ngetasche is a shoulder or crossbody bag, not just any bag.
725. die Umkleide | cabin/changing room/locker room | OK
726. die Uneinigkeit | disagreement | OK
727. das Ungeheuer | monster | OK
728. das Universitätsarchiv | university archive | OK
729. die Untergrenze | lower limit | OK
730. die Unterhose | briefs/pants/shorts | OK
731. die Unternehmenssteuerung | business control | WRONG: corporate management - Unternehmenssteuerung means corporate management or control, not business control.
732. der Unteroffizier | junior officer/non-commissioned officer/noncommissioned officer | OK
733. die Urbanität | urbanity | OK
734. die Urheberschaft | authorship | OK
735. die Ursachenforschung | cause research | IMPROVE: root-cause analysis/causal research - "Cause research" is literal and not idiomatic.
736. das Utopien | utopias | OK
737. die Veranda | porch/veranda/verandah | OK
738. der Landschaftspark | landscape park | OK
739. die Verdeutlichung | clarification | OK
740. das Verfahrensrecht | adjective law/procedural law | OK
741. das Leasing | leasing | OK
742. die Verhütungsmethode | contraception method | OK
743. der Verkaufsstart | sale start | IMPROVE: sales launch - Verkaufsstart is a launch or start of sales, not simply sale start.
744. der Verkehrsknotenpunkt | transport hub | OK
745. die Verkehrsverbindung | public transport connection | IMPROVE: transport connection - Verkehrsverbindung is a transport connection, not only public transport.
746. der Verkehrsverstoß | communication breach | WRONG: traffic offence - Verkehrsversto? means a traffic violation, not communication breach.
747. die Verkleinerung | diminishment | IMPROVE: reduction/downsizing - "Diminishment" is uncommon; reduction is the learner gloss.
748. die Verknappung | scarcity/shortage | OK
749. der Vertragstext | agreement lyric | WRONG: contract text - Vertragstext means contract text, not agreement lyric.
750. die Verwicklung | complication/involvement | OK
751. der Verwundete | wounded person | OK
752. der Veteran | veteran | OK
753. die Vielschichtigkeit | complexity | OK
754. der Vizekanzler | Vice-Chancellor/vice chancellor | OK
755. der Volleyballer | volleyball player | OK
756. das Vollkornbrot | whole-grain bread/wholemeal bread/wholewheat bread | OK
757. die Vorankündigung | preannouncement | OK
758. die Vorbereitungsphase | preparatory phase | OK
759. die Vorderachse | front axle | OK
760. die Vorhaut | foreskin/prepuce | OK
761. die Vormundschaft | guardianship/wardship | OK
762. das Vorschaubild | thumbnail | OK
763. der Vorsteuerabzug | input tax deduction | OK
764. das Voting | voting | OK
765. der Wachhund | guard dog/watchdog | OK
766. die Wahlkabine | polling booth/voting booth | OK
767. das Wahlversprechen | election pledge | OK
768. der Wanderfalke | peregrine falcon | OK
769. das Wärmenetz | heat network | OK
770. die Lebendigkeit | liveliness/liveness | OK
771. die Waschanlage | car wash/carwash/wash system | OK
772. das Wasserbecken | water basin | OK
773. die Wasserentnahme | water extraction | OK
774. das Wasserfahrzeug | vessel/water craft/watercraft | OK
775. der Wasserwerfer | water cannon | OK
776. der Wasserzähler | water metre | OK
777. der Lehrinhalt | apprenticeship content | WRONG: teaching content/course content - Lehrinhalt means teaching or course content, not apprenticeship content.
778. der Wegeunfall | commuting accident | OK
779. der Wegzug | moving away | OK
780. der Wehrturm | keep | IMPROVE: defensive tower - Wehrturm is a defensive tower; "keep" is too specific.
781. die Weihnacht | Christmas | OK
782. die Weihnachtsdekoration | Christmas decoration | OK
783. die Weltausstellung | expo/universal Exposition/world exhibition | OK
784. die Weltpolitik | world politics | OK
785. die Weltstadt | metropolis/world city | OK
786. der Weltstar | world star | OK
787. die Wertminderung | depreciation/impairment of value/value reduction | OK
788. die Wettbewerbsverzerrung | distortion of competition/unfair competition | OK
789. der Widder | Aries/ram | OK
790. die Wildcard | wild card | OK
791. der Wildunfall | wildlife accident | OK
792. die Willenserklärung | declaration of will | OK
793. die Winterferien | winter holidays | OK
794. das Wirbeltier | vertebrate | OK
795. die Wirtschaftsakademie | economics academy | IMPROVE: business academy - This is a more natural institutional gloss for Wirtschaftsakademie.
796. die Wirtschaftsentwicklung | economics development | IMPROVE: economic development - "Economics development" is unidiomatic.
797. die Wirtschaftskriminalität | economic crime | OK
798. die Leistungssteigerung | improvement in performance/improvement in results/increase in performance | OK
799. die Rechtsauffassung | legal opinion | OK
800. das Wochenblatt | weekly newspaper | OK
801. der Wochenendausflug | weekend excursion | OK
802. der Wochenplan | weekly plan | OK
803. die Woge | surge/wave | OK
804. der Wohnblock | apartment block/apartment building | OK
805. das Wolfsrudel | wolf pack | OK
806. das Wortspiel | play on words/pun/wordplay | OK
807. die Wühlmaus | vole | OK
808. der Zahlenwert | numerical value | OK
809. die Zahlungsfrist | payment deadline | OK
810. das Zahnrad | cog wheel/gear wheel | OK
811. der Zahnstein | calculus/tartar | OK
812. der Zahntechniker | dental technician | OK
813. der Zeichentrickfilm | animated cartoon/animated film/cartoon | OK
814. der Zeitstempel | timestamp | OK
815. das Zeitungspapier | gazette document | WRONG: newsprint/newspaper paper - Zeitungspapier means newsprint, not gazette document.
816. das Zeitzeugengespräch | interview with a contemporary witness | OK
817. die Zellbiologie | cell biology/cytology | OK
818. der Zenit | zenith | OK
819. die Zerschlagung | smashing/breaking up | OK
820. die Leitidee | idea | IMPROVE: central idea/guiding idea - Leitidee is more specific than just idea.
821. der Leopard | leopard/pard | OK
822. die Zielvorstellung | aim idea | WRONG: objective/goal - Zielvorstellung means an intended objective, not an aim idea.
823. das Zollamt | custom office/customhouse/customs | OK
824. der Zufluchtsort | refuge | OK
825. die Zugangskontrolle | access control | OK
826. der Zugverkehr | rail traffic | OK
827. die Zündung | firing/ignition | OK
828. der Zusammenfluss | confluence | OK
829. der Zuschauerraum | auditorium | OK
830. die Zwangsheirat | forced marriage | OK
831. die Zwickmühle | conundrum/dilemma/lose-lose situation | OK
832. die Abarbeitung | processing/working through | OK
833. das Abbrennen | burning down/burning off | OK
834. die Abbrucharbeit | demolition work | OK
835. die Abendsonne | evening sun/setting sun | OK
836. der Aberglaube | bigotry/superstition | IMPROVE: superstition - "Bigotry" is misleading; Aberglaube means superstition.
837. der Abfallwirtschaftsbetrieb | waste management company | OK
838. die Abfassung | drafting/composition | OK
839. das Abführmittel | laxative | OK
840. die Abfüllanlage | bottling plant/filling plant | OK
841. die Abgeltungssteuer | withholding tax/flat-rate capital-gains tax | OK
842. der Ablaufplan | schedule/process plan | OK
843. der Abschleppdienst | breakdown service/towing service | OK
844. der Absprung | jump | OK
845. die Abteilungsleiterin | department head | OK
846. der Abwasserkanal | sewage/sewage system/sewer | OK
847. die Lesekompetenz | competence | WRONG: reading competence/literacy - Lesekompetenz means reading competence, not competence in general.
848. der Adventskranz | Advent wreath | OK
849. die Aerodynamik | aerodynamics | OK
850. die Agrarindustrie | agro-industry | OK
851. der Akkuschrauber | cordless drill/cordless screwdriver | OK
852. der Aktionspreis | action price | WRONG: special offer price/promotional price - Aktionspreis is a promotional price, not action price.
853. die Reflektion | lesson | WRONG: reflection - Reflektion means reflection, not lesson.
854. das Akutkrankenhaus | acute hospital | OK
855. der Alkoholeinfluss | alcohol influence | IMPROVE: influence of alcohol - "Alcohol influence" is literal; this means being under the influence of alcohol.
856. der Alkoholgehalt | alcoholic content | IMPROVE: alcohol content - "Alcoholic content" is not the normal term.
857. das Alkoholproblem | alcohol problem | OK
858. das Allgemeinwissen | general knowledge | OK
859. das Allzeithoch | all-time high | OK
860. das Altholz | waste wood/reclaimed wood | OK
861. der Angstzustand | state of fear | OK
862. der Anime | anime | OK
863. die Ankunftszeit | arrival time/time of arrival | OK
864. die Anmeldegebühr | fee | WRONG: registration fee - Anmeldegeb?hr is a registration fee, not just any fee.
865. die Anomalie | anomaly | OK
866. der Anpassungsprozess | accommodation lawsuit | WRONG: adaptation process/adjustment process - Anpassungsprozess is an adaptation process, not an accommodation lawsuit.
867. die Anpflanzung | planting/plantation | OK
868. der Antipasto | antipasto/starter | OK
869. die Antriebsart | drive type/propulsion type | OK
870. der Antriebsstrang | powertrain | OK
871. die Anwärterin | candidate | OK
872. die Anwenderin | user | OK
873. die Anwerbung | recruitment | OK
874. die Anziehung | attraction/pull | OK
875. der Apache | apache | OK
876. die Apostelgeschichte | Acts of the Apostles/Book of Acts | OK
877. die Arbeitserfahrung | business experience | WRONG: work experience - Arbeitserfahrung means work experience, not business experience.
878. die Arbeitsfähigkeit | business ability | WRONG: ability to work/work capacity - Arbeitsf?higkeit means capacity for work, not business ability.
879. die Arbeitslosenzahl | jobless figures/unemployment figures | OK
880. das Arbeitspensum | workload | OK
881. das Arbeitstempo | working speed/work pace | OK
882. der Arbeitsvermittler | business agent | WRONG: employment agent/job placement officer - Arbeitsvermittler places workers in jobs, not a business agent.
883. der Archipel | archipelago | OK
884. der Archivar | archivist | OK
885. das Armutsrisiko | poverty risk | OK
886. der Lord | lord | OK
887. der Asbest | asbestos | OK
888. der Atlant | Atlas figure (architecture) | OK
889. der Aufgang | stairway/ascent | OK
890. die Aufholjagd | catch-up/catching up/catching-up process | OK
891. der Aufklärer | enlightener | OK
892. die Aufklärungskampagne | Enlightenment campaign | WRONG: awareness campaign - Aufkl?rungskampagne means an information or awareness campaign, not an Enlightenment campaign.
893. das Auftauchen | appearance | OK
894. der Augapfel | eyeball | OK
895. das Augentropfen | eyedrop | IMPROVE: eye drops - Augentropfen is normally plural "eye drops."
896. das Ausatmen | exhale | WRONG: exhalation/breathing out - Ausatmen is the noun process, not the verb "exhale."
897. die Ausbildungsdauer | education duration | IMPROVE: duration of training - "Education duration" is literal and unidiomatic.
898. das Ausflugslokal | excursion bar | WRONG: excursion restaurant - Ausflugslokal is a restaurant or inn at an excursion destination, not a bar.
899. die Ausgangsposition | exit function | WRONG: starting position - Ausgangsposition means starting position, not exit function.
900. die Ausgrabungsstätte | excavation site | OK
901. der Auswärtssieg | victory | WRONG: away win - Ausw?rtssieg means away win, not victory in general.
902. die Autobatterie | car battery | OK
903. der Autozulieferer | auto supplier | OK
904. der Aw | Av | OK
905. der Bäckermeister | master baker | OK
906. der Bademeister | pool attendant/swimming-master | OK
907. der Bahndamm | railroad embankment | OK
908. die Bahnverbindung | face affair | WRONG: rail connection - Bahnverbindung means a rail connection, not face affair.
909. der Balanceakt | balancing act | OK
910. der Ballwechsel | rally | OK
911. das Bandmitglied | band member/bandmate | OK
912. der Makel | blemish/flaw | OK
913. der Bankrott | bankruptcy | OK
914. die Bärin | she-bear | OK
915. die Barockzeit | Baroque time | IMPROVE: Baroque period - "Baroque time" is literal; period is the standard historical term.
916. der Barren | bar/ingot/parallel bars | OK
917. der Baubetrieb | building business | IMPROVE: construction company/construction operations - Baubetrieb is a construction firm or operations, not simply building business.
918. der Bauboom | building boom | OK
919. der Bauminister | building minister | OK
920. die Baumscheibe | boom disk | WRONG: tree pit/tree disc - Baumscheibe means the area or disc around a tree, not a boom disk.
921. die Beauty | beauty | OK
922. der Begünstigte | beneficiary | OK
923. der Behandlungsfehler | error in treatment/malpractice/treatment mistake | OK
924. die Beherbergung | recovering | WRONG: accommodation/lodging - Beherbergung means accommodation, not recovering.
925. die Beifahrerin | driver | WRONG: passenger (female) - Beifahrerin is a female passenger, not a driver.
926. der Beifahrersitz | co-driver's seat/front passenger seat/passenger seat | OK
927. die Belagerung | beleaguerment/siege | OK
928. die Benutzbarkeit | usability | OK
929. die Bergregion | mountain region | OK
930. das Manifest | manifest/manifesto | OK
931. das Beruhigungsmittel | depressant/pacifier/sedative | IMPROVE: sedative/tranquilizer - "Pacifier" is misleading; the usual meaning is a sedative.
932. das Besitztum | possession/property | OK
933. das Refugium | refuge | OK
934. der Bestimmungsort | destination | OK
935. der Bestsellerautor | best seller author | IMPROVE: bestselling author - "Best seller author" is unidiomatic.
936. die Regelmäßigkeit | regularity | OK
937. die Besuchszeit | attendance time | WRONG: visiting time - Besuchszeit means visiting time, not attendance time.
938. die Bevölkerungsdichte | density of population/population density | OK
939. die Bewährungsstrafe | suspended sentence | OK
940. der Bewegungsraum | emotion region | WRONG: room to move/range of motion - Bewegungsraum means space or scope for movement, not emotion region.
941. die Bezugsquelle | source of supply | OK
942. die Bibelstelle | biblical passage | OK
943. das Bibliothekswesen | library being | WRONG: librarianship/library system - Bibliothekswesen means the field or system of libraries, not library being.
944. die Biegung | bend/curvature/curve | OK
945. die Bildungsgerechtigkeit | educational equity | OK
946. die Biologin | biologist | OK
947. das Biomethan | biomethane | OK
948. der Birnbaum | pear tree | OK
949. der Bitcoin | bitcoin | OK
950. der Blackout | blackout | OK
951. die Blattlaus | aphid/black fly | OK
952. der Blauton | shade of blue/blue tone | OK
953. die Blockhütte | log cabin | OK
954. das Blütenblatt | petal | OK
955. die Blutgerinnung | blood clotting/blood coagulation | OK
956. der Blutkreislauf | blood circulation/circulation | OK
957. die Bodenart | soil type | OK
958. die Bodenerosion | soil erosion | OK
959. der Bollerwagen | handcart/wagon | OK
960. das Bordell | bawdy-house/brothel/house of ill fame | OK
961. der Börsenwert | market capitalisation | OK
962. das Braille | Braille | OK
963. das Branchenverzeichnis | business directory/industry directory | OK
964. die Brandung | surf/surge | OK
965. der Briefwechsel | correspondence | OK
966. die Brüderlichkeit | brotherhood/fraternity | OK
967. der Brüllaffe | ape | WRONG: howler monkey - Br?llaffe means howler monkey, not just ape.
968. die Buchecker | beechnut | OK
969. das Manöver | manoeuvre | OK
970. die Buchstabenkombination | letter combination | OK
971. der Buchtipp | book recommendation/book tip | OK
972. der Buchtitel | book title | OK
973. die Bundesjustizministerin | minister | WRONG: Federal Minister of Justice (female) - Bundesjustizministerin is the female federal justice minister, not just minister.
974. der Bundespolizist | federal police officer | OK
975. der Bürgerbeauftragte | bourgeois commissioner | WRONG: ombudsman/citizens' representative - B?rgerbeauftragte is an ombudsman, not bourgeois commissioner.
976. der Camembert | camembert | OK
977. der Cashflow | cash flow | OK
978. das Chemieunternehmen | attunement business | WRONG: chemical company - Chemieunternehmen means chemical company, not attunement business.
979. der Compiler | compiler | OK
980. die Cyberattacke | cyber attack/cyberattack | OK
981. der Cyberspace | cyberspace | OK
982. der Dackel | dachshund | OK
983. die Datenpanne | data leak | OK
984. der Debütroman | debut novel | OK
985. der Deckmantel | cloak/guise | OK
986. die Demokratin | democrat (female) | OK
987. die Demoskopie | opinion poll/opinion research/opinion survey | OK
988. das Departement | department | OK
989. der Depp | dork/fool/moron | OK
990. die Dienstbehörde | duty agency | WRONG: service authority - Dienstbeh?rde means service authority, not duty agency.
991. das Dienstjahr | year of service | OK
992. der Digitalfunk | digital broadcasting | OK
993. die Diode | diode | OK
994. das Diorama | diorama | OK
995. die Diphtherie | diphtheria | OK
996. die Direktwahl | direct dialling/direct election | OK
997. die Disk | disc/disk | OK
998. die Diva | diva | OK
999. der Donnerstagvormittag | Thursday morning | OK
1000. der Doodle | doodle | OK
