1. die Blutuntersuchung | blood test | OK
529. die Zugspitze | Zugspitze (mountain) | OK
530. die Zulassungsbeschränkung | admission constraint | IMPROVE: admission restriction - Zulassungsbeschr?nkung is an admission restriction.
531. die Zumutung | imposition | OK
532. die Zweckmäßigkeit | expediency | OK
533. das Zwischenlager | interim storage | OK
534. der Aal | eel | OK
535. die Abberufung | calling home/dismissal/recalling | OK
536. das Abbiegen | turning | OK
537. das Abfallprodukt | by-product/fall-out/spin-off product | OK
538. der Abfuhrtermin | rebuff date | WRONG: collection date - Abfuhrtermin is the scheduled pickup or collection date.
539. die Abgeschiedenheit | seclusion | OK
540. der Abrieb | abrasion/wear | OK
541. das Abschiedsgeschenk | departing gift/farewell present/leaving present | OK
542. die Abschreckung | deterrence | OK
543. der Zuwendungsbescheid | care answer | WRONG: grant notification - Zuwendungsbescheid is an official grant notification.
544. der Abstiegskampf | relegation battle | OK
545. die Abwandlung | adaption/modification/variation | OK
546. der Adventssonntag | Advent Sunday | OK
547. die Aerobic | aerobics | OK
548. der After | anus | WRONG: anus - After as a German noun means anus.
549. die Akademisierung | academisation | OK
550. der Aktenordner | folder | OK
551. das Allerheiligen | All Hallows/All Saints' Day | OK
552. die Alphabetisierung | literacy | OK
553. die Beförderung | carriage/promotion/transport | OK
554. die Krampfader | varicose vein/varix | OK
555. der Alterungsprozess | ageing | OK
556. die Alu | aluminium (colloquial) | OK
557. die Alufelge | circle | WRONG: aluminium rim - Alufelge means an aluminium wheel rim.
558. die Amerikanerin | American | OK
559. der Amoklauf | killing spree | OK
560. die Anfängerin | beginner (female) | OK
561. die Anmut | beauty/charm/grace | OK
562. das Antidepressivum | antidepressant | OK
563. die Anwesenheitspflicht | compulsory attendance | OK
564. die Arbeitsanweisung | work instruction | OK
565. der Arbeitsplan | work plan | OK
566. die Armlehne | armrest | OK
567. der Artenreichtum | biodiversity/species richness | OK
568. die Artistik | acrobatics/artistry | OK
569. das Aspirin | acetylsalicylic acid/aspirin | OK
570. der Auffahrunfall | rear ender/rear-end collision | OK
571. der Auflauf | baked pudding/casserole/crowd | OK
572. das Aufnahmeverfahren | absorption action | WRONG: admission procedure - Aufnahmeverfahren means an admission or intake procedure.
573. das Ackerland | arable land | OK
574. die Ausdrucksweise | diction/enunciation | OK
575. der Ausflügler | day-tripper/excursionist/tripper | OK
576. die Auskunftei | enquiry agency/information bureau | OK
577. der Kreisel | gyro/gyroscope/pegtop | IMPROVE: roundabout/gyroscope/top - Kreisel commonly means a traffic roundabout as well as a spinning top or gyroscope.
578. der Ausreißer | outlier/runaway | OK
579. der Ausritt | end ride | WRONG: horseback ride - Ausritt means a ride out, especially on horseback.
580. die Ausrottung | extermination | OK
581. die Außengrenze | external border | OK
582. die Austrocknung | desiccation/exsiccation | OK
583. die Auszählung | count | OK
584. der Autobesitzer | car owner | OK
585. der Autofokus | autofocus | OK
586. der Autokäufer | car buyer | OK
587. das Babyphon | baby phone | IMPROVE: baby monitor - Baby monitor is the normal English term.
588. die Backform | baking tin | OK
589. der Bahnverkehr | rail traffic | OK
590. das Bändchen | booklet/ribbon | OK
591. der Panzer | armor/armour/coat of mail | IMPROVE: tank/armor - Panzer most commonly means tank; armor is also possible.
592. die Banknote | banknote/bill/note | OK
593. die Baracke | barrack/hut/shack | OK
594. der Bärenpark | Bear park | OK
595. die Bastion | bastion | OK
596. die Baulücke | building gap | IMPROVE: vacant lot/gap between buildings - Baul?cke is a gap site or vacant lot between buildings.
597. die Bauplanung | building planning | OK
598. der Beckenrand | edge | WRONG: pool edge - Beckenrand means the edge of a pool or basin.
599. die Kröte | toad | OK
600. der Küchenchef | chef | OK
601. die Bedürftigkeit | indigence | OK
602. die Begierde | desire/longing/yearning | OK
603. die Beikost | diet | WRONG: complementary food/baby food - Beikost is supplementary food given to babies.
604. die Beilegung | settlement | OK
605. die Belichtungszeit | exposure time | OK
606. die Bellevue | Bellevue (Berlin presidential palace) | OK
607. der Berufsberater | career counselor/careers adviser | OK
608. der Besatz | trim/garrison | OK
609. das Beschwerdeverfahren | grievance procedure | OK
610. das Bestattungsunternehmen | burial business | WRONG: funeral home/funeral company - Bestattungsunternehmen means a funeral business or funeral home.
611. die Bestleistung | best/performance | IMPROVE: personal best/best performance - Bestleistung means a best performance, often a personal best.
612. das Betäubungsmittelgesetz | narcotic act | OK
613. das Betriebsergebnis | operating income | OK
614. das Betriebsgeheimnis | business secret | OK
615. das Bewegungsspiel | emotion game | WRONG: movement game - Bewegungsspiel means a movement or physical activity game.
616. die Bezirksliga | borough league | WRONG: district league - Bezirksliga means district league.
617. der Bildungsminister | Secretary of State for Education/United States Secretary of Education | WRONG: minister of education - Bildungsminister is a minister of education, not specifically the US secretary.
618. der Bildungsurlaub | educational leave | OK
619. der Biomüll | biodegradable waste/biowaste/organic waste | OK
620. die Biowissenschaft | academic discipline | WRONG: bioscience/life science - Biowissenschaft means bioscience or life science.
621. der Aktienfonds | equity fund | OK
622. das Bläschen | small bubble/vesicle | OK
623. das Blasorchester | wind orchestra | OK
624. die Blaupause | plan | IMPROVE: blueprint - Blaupause is best translated as blueprint.
625. der Blinker | blinker/indicator/spoon bait | OK
626. das Blumenbeet | flowerbed | OK
627. die Bohle | plank | OK
628. das Amphitheater | amphitheater/amphitheatre | OK
629. die Bosse | bosses/Bosse (surname) | OK
630. die Amtsperiode | office period | OK
631. der Brandstifter | arsonist/fireraiser | OK
632. der Braumeister | brow champion | WRONG: master brewer - Braumeister means master brewer.
633. das Briefpapier | letter paper | OK
634. die Brotdose | lunchbox | OK
635. das Kündigungsschreiben | cancelation letter | IMPROVE: termination letter/cancellation letter - K?ndigungsschreiben is a notice or letter of termination.
636. die Bruttowertschöpfung | gross value added | OK
637. der Bube | jack | OK
638. die Buchform | book form | OK
639. die Anhöhe | hill/incline | OK
640. der Büffel | buffalo/hunne | IMPROVE: buffalo - B?ffel means buffalo; the extra alternative is not useful.
641. der Bugfix | bugfix | OK
642. das Bundesarbeitsgericht | Federal Labour Court | OK
643. der Bungalow | bungalow/ranch house | OK
644. der Buntstift | coloured pencil/crayon | OK
645. der Bursche | boy | OK
646. der Bustransfer | bus transfer | OK
647. der Champion | champion | OK
648. das Charisma | charisma | OK
649. der Checkpoint | check point/check-point/checkpoint | OK
650. die Chefsache | matter for senior management/matter for top-level management/matter of great importance | OK
651. die Compliance | compliance | OK
652. der Antragsgegner | application adversary | WRONG: respondent/defendant - Antragsgegner is the opposing party in an application, often respondent.
653. der Countdown | countdown | OK
654. die Darmflora | gut flora | OK
655. die Datierung | dating | OK
656. das Desaster | disaster | OK
657. die Dienstpflicht | duty business | WRONG: compulsory service - Dienstpflicht means compulsory service obligation.
658. der Direktkandidat | candidate | IMPROVE: direct candidate - Direktkandidat specifically means a constituency or direct candidate.
659. der Dispokredit | drawing credit/overdraft | OK
660. der Domplatz | cathedral square | OK
661. die Anwohnerin | resident (female) | OK
662. das Dornröschen | Sleeping Beauty | OK
663. der Dreiklang | triad | OK
664. die Dunkelziffer | dark figure/estimated number/unreported cases | OK
665. das Dunkle | dark beer/the dark | OK
666. der Dutt | bun | OK
667. die Echse | lizard | OK
668. das Ehrenmal | chastity brand | WRONG: memorial - Ehrenmal means a memorial or monument.
669. der Eichenprozessionsspinner | Oak Processionary | IMPROVE: oak processionary moth - The full English name includes moth.
670. der Eid | oath | OK
671. der Apfelbaum | apple/apple tree | IMPROVE: apple tree - Apfelbaum means apple tree, not apple alone.
672. der Eiffelturm | Eiffel tower | OK
673. das Eigeninteresse | self-interest | OK
674. die Einblendung | abacination | WRONG: fade-in/inset - Einblendung means a fade-in or on-screen insert.
675. das Eingangstor | entrance gate | OK
676. die Einkaufsliste | shopping list | OK
677. der Einschub | interpolation | IMPROVE: insertion/insert - Einschub is usually an insertion or insert.
678. das Einwanderungsland | immigration country | IMPROVE: country of immigration - This is the natural English phrase for Einwanderungsland.
679. das Arbeitsprogramm | business channel | WRONG: work programme - Arbeitsprogramm means work programme.
680. der Eistee | ice tea/iced tea | OK
681. das Elektromobil | electromobile | OK
682. der Enddarm | end gut | WRONG: rectum - Enddarm means rectum.
683. der Energiemarkt | energy market | OK
684. der Energiemix | energy mix | OK
685. der Energiesektor | energy sector | OK
686. der Entstehungsprozess | coming out lawsuit | WRONG: development process - Entstehungsprozess means development or formation process.
687. die Erdkruste | crust/earth's crust | OK
688. der Erfahrungspunkt | experience points | OK
689. das Ergometer | ergometer | OK
690. der Ernteausfall | crop failure/harvest result | IMPROVE: crop failure - Ernteausfall means crop failure; harvest result is misleading.
691. die Erststimme | voice | WRONG: first vote - Erststimme is the first vote on a German ballot.
692. der Essensrest | dish radical | WRONG: leftovers/food scraps - Essensrest means leftover food.
693. das Eth | edh/eth | OK
694. die Ethnologie | ethnology | OK
695. die Europapolitik | policy | WRONG: European policy - Europapolitik is specifically European policy.
696. der Evangelist | cunning | WRONG: evangelist - Evangelist means evangelist, not cunning.
697. die Eventualität | eventuality | OK
698. das Fachabitur | vocational university-entrance qualification | OK
699. das Fachjournal | trade journal/specialist journal | OK
700. das Fachwerk | frame-work/framework/half-timber construction | OK
701. die Fällung | felling/precipitation | OK
702. die Farbigkeit | colouring/colourfulness | OK
703. die Faustformel | rule of thumb | OK
704. die Faxnummer | fax number | OK
705. der Feldhase | hare | OK
706. die Fensterbank | window sill/windowsill | OK
707. die Fernsicht | distance point of view | WRONG: long-distance view/visibility - Fernsicht means a distant view or long-range visibility.
708. der Festzug | parade/procession | OK
709. der Finanzinvestor | financial investor | OK
710. die Finanzkraft | financial strength | OK
711. das Finanzsystem | financial system | OK
712. die Finesse | chimney | WRONG: finesse - Finesse means finesse or subtle skill.
713. die Fleischerei | butcher's shop | OK
714. der Flirt | coquetry/flirt/flirtation | OK
715. die Flocke | flake | OK
716. die Flüchtlingszahl | number of refugees | OK
717. der Arbeitssuchende | jobseeker | OK
718. der Fluglärm | flight noise | IMPROVE: aircraft noise - Flugl?rm means noise from aircraft.
719. das Forschungslabor | research lab/research laboratory | OK
720. die Forschungsmethode | research method | OK
721. das Frauenbild | image of women | OK
722. die Frauenheilkunde | gynaecology | OK
723. das Frauenwahlrecht | women's suffrage | OK
724. die Freisprecheinrichtung | speakerphone | OK
725. die Fremdheit | foreignness/strangeness | OK
726. der Funktionsbereich | function area | OK
727. die Fürsorgepflicht | duty of care | OK
728. die Fußballmannschaft | football team/soccer team | OK
729. der Fußballverband | football association | OK
730. der Fußmarsch | march on foot | OK
731. das Gastgeschenk | present for one's host/present for the guest | IMPROVE: gift for one's host - Gastgeschenk is a gift brought for a host.
732. die Gedenkfeier | commemoration | OK
733. der Gefrierschrank | freezer | OK
734. der Gelenkschmerz | arthralgia/joint pain | OK
735. der Generalkonsul | consul-general | OK
736. das Generalkonsulat | consulate general | OK
737. die Generalsanierung | general redevelopment | OK
738. das Kunstobjekt | art object/objet d'art | OK
739. das Asthma | asthma | OK
740. der Gesandte | ambassador | OK
741. die Geschäftsfähigkeit | capacity to act/transactional capacity | OK
742. die Geschichtswissenschaft | historical studies | OK
743. das Gesellschaftsrecht | company law | OK
744. die Gesundheitsreform | health service reform/healthcare reform | OK
745. das Gewandhaus | concert hall (Gewandhaus) | OK
746. das Gewehr | gun/rifle/tusk | IMPROVE: rifle/gun - Gewehr means rifle or gun; tusk is misleading here.
747. der Gewerkschafter | trade unionist/unionist | OK
748. das Gif | gif | OK
749. das GIF | GIF | OK
750. der Glamour | glamour | OK
751. die Glasfaserleitung | optical fibre cable | OK
752. die Glasfassade | glass façade | OK
753. der Gleichstrom | direct current | OK
754. der Grip | grip (tyres) | OK
755. der Großbuchstabe | capital/capital letter | OK
756. die Großmacht | big power/great power/major power | OK
757. der Großstadtdschungel | big city jungle | IMPROVE: urban jungle - Urban jungle is the natural English equivalent.
758. das Großsteingrab | grave | WRONG: megalithic tomb - Gro?steingrab means a megalithic tomb.
759. die Grundgesamtheit | basis collectivity | WRONG: population/statistical population - Grundgesamtheit is the statistical population.
760. das Gruppenbild | group picture | OK
761. der Gültigkeitszeitraum | validity period | OK
762. die Hainbuche | hornbeam | OK
763. die Astronomie | astronomy | OK
764. der Handelsweg | trade route | OK
765. die Atomwaffe | atomic weapon/nuclear weapon | OK
766. der Handrücken | back of the hand | OK
767. die Hartnäckigkeit | persistence/tenacity | OK
768. der Harzer | Harzer cheese/person from the Harz | OK
769. die Hauptdarstellerin | leading actress | OK
770. die Hausgemeinschaft | house community/residents | OK
771. der Haushaltsausschuss | budget committee | OK
772. der Haushaltsentwurf | budget draft/budget proposal | OK
773. die Aufmachung | design/appearance/get-up | OK
774. die Hausmannskost | househusband diet | WRONG: home cooking - Hausmannskost means plain home-style cooking.
775. die Hautzelle | covering basic item | WRONG: skin cell - Hautzelle means skin cell.
776. das Heiligtum | sanctuary/sanctum | OK
777. die Heilmethode | hail method | WRONG: healing method - Heilmethode means healing method.
778. die Heizanlage | heating system | OK
779. das Helium | helium | OK
780. die Herausgeberin | editor (female) | OK
781. die Herrlichkeit | magnificence/splendour | OK
782. das Herstellungsverfahren | manufacture action | WRONG: manufacturing process - Herstellungsverfahren means manufacturing process.
783. der Augenarzt | eye specialist/oculist/ophthalmologist | OK
784. die Hinterlegung | deposit/lodging | OK
785. die Lähmung | paralysis | OK
786. die Hochebene | mesa/plateau/tableland | OK
787. die Hochkonjunktur | anticyclone boom | WRONG: economic boom - Hochkonjunktur means an economic boom.
788. die Hochspannungsleitung | high-voltage power line | OK
789. der Höhenflug | altitude flight | WRONG: high-flying success/flight of fancy - H?henflug is a figurative high flight, not an altitude flight.
790. der Hohn | derision/mockery/scorn | OK
791. der Hoodie | hoodie | OK
792. die Hündin | bitch | IMPROVE: female dog/bitch - Female dog is the neutral learner gloss; bitch is often offensive in English.
793. die Hymne | anthem/hymn | OK
794. der Idealismus | idealism | OK
795. die Imkerei | beekeeping/apiary | OK
796. das Immergrün | periwinkle | OK
797. die Immunantwort | immune response | OK
798. die Indizierung | indexing/listing on the index | OK
799. die Landesbibliothek | country library | WRONG: state library - Landesbibliothek means a state or regional library.
800. das Ingenieurwesen | engineer being | WRONG: engineering - Ingenieurwesen means engineering.
801. die Initiale | initial | OK
802. die Interessenabwägung | weighing of interests | OK
803. der Irrglaube | misbelief/misconception | OK
804. der Irrsinn | insanity/lunacy/madness | OK
805. die Jägerprüfung | chaser audit | WRONG: hunting exam - J?gerpr?fung is the examination for hunters.
806. der Jahresdurchschnitt | annual average | OK
807. der Jahresrückblick | review of the year's event/year in review | OK
808. die Jalousie | Venetian blinds/jalousie/window blind | OK
809. das Jod | iodine | OK
810. die Journalistenschule | journalist school | IMPROVE: journalism school/school of journalism - Journalistenschule is a school for journalism training.
811. das Jugendprojekt | youth project | OK
812. die Kaffeepause | coffee break | OK
813. die Kaltmiete | bare rent/base rent/basic rent | OK
814. der Kämmerer | chamberlain/treasurer | OK
815. die Kampfhandlung | combat action | OK
816. die Kapitalerhöhung | capital increase | OK
817. der Kardiologe | cardiologist | OK
818. der Ausbildende | instructor/trainer | OK
819. der Kegel | bowling pin/cone/skittle | OK
820. der Keimling | embryo/seedling | OK
821. die Kenngröße | quantity | WRONG: parameter/characteristic value - Kenngr??e means a characteristic parameter, not quantity in general.
822. die Kernfrage | core issue | OK
823. die Keule | club/leg/shank | OK
824. die Landtagspräsidentin | Landtag chair | IMPROVE: President of the State Parliament - This is the usual title for Landtagspr?sidentin.
825. der Kiefernwald | pinewood | OK
826. der Kindersoldat | child soldier | OK
827. der Kinobesucher | cinemagoer/filmgoer/moviegoer | OK
828. das Klavierkonzert | piano concert/piano concerto | OK
829. das Klimagas | greenhouse gas/climate gas | OK
830. der Klimagipfel | climate summit | OK
831. der Klimaschützer | climate protector/climate activist | OK
832. das Kohlenstoffdioxid | carbon dioxide | OK
833. der Koloss | colossus | OK
834. die Kommunikationsform | form of communication | OK
835. die Kommunion | Communion | OK
836. die Kompensationsmaßnahme | compensation action | WRONG: compensation measure - Kompensationsma?nahme means compensation or offsetting measure.
837. die Konditorei | confectionery/pastry shop | IMPROVE: pastry shop/confectionery - Konditorei is primarily the shop, not just confectionery goods.
838. die Ausstellungseröffnung | exhibition opening | OK
839. die Königsfamilie | king family | WRONG: royal family - K?nigsfamilie means royal family.
840. das Konjunkturpaket | boom package | WRONG: economic stimulus package - Konjunkturpaket means an economic stimulus package.
841. das Konjunkturprogramm | boom channel | WRONG: economic stimulus programme - Konjunkturprogramm means an economic stimulus programme.
842. die Kontoführung | account command | WRONG: account management - Kontof?hrung means account management or maintenance.
843. der Kormoran | Great Cormorant/cormorant | OK
844. der Kotflügel | fender/mud guard/mud wing | OK
845. das Kratzen | scratching | OK
846. der Kräutertee | herbal tea | OK
847. der Krawall | affray | IMPROVE: riot/disturbance - Krawall usually means a riot or noisy disturbance.
848. die Krebsforschung | Cancer research | OK
849. das Krebsmedikament | Cancer drug | OK
850. die Kreditkartennummer | credit card number | OK
851. das Kribbeln | tingling | OK
852. die Kriegsgräberstätte | war cemetery | OK
853. das Küchenutensil | kitchen utensil | OK
854. der Kulturbetrieb | cultural sector | OK
855. die Kunsthistorikerin | art historian (female) | OK
856. die Kunststoffindustrie | plastics industry | OK
857. das Kunststoffteil | plastic part | OK
858. das Kupferkabel | copper cable | OK
859. die Kupplung | clutch | OK
860. der Kursbeginn | course start | OK
861. der Kurswechsel | change of course/change of policy | OK
862. die Kurznachricht | message | IMPROVE: short message/text message - Kurznachricht is a short message, often a text message.
863. die Küstenlandschaft | coastal landscape | OK
864. die Länderebene | floor | WRONG: state level/country level - L?nderebene means the level of the states or countries, not a floor.
865. der Landesdurchschnitt | national average | OK
866. die Landespolizei | country police | WRONG: state police - Landespolizei means state police.
867. der Landeswahlleiter | state election commissioner/returning officer | OK
868. das Landgestüt | country stud | WRONG: state stud - Landgest?t is a state-run stud farm.
869. der Landschaftsplan | landscape plan | OK
870. die Landtagsfraktion | Landtag faction | IMPROVE: state parliament parliamentary group - Landtagsfraktion is a parliamentary group in a state parliament.
871. die Langzeitstudie | study | WRONG: long-term study - Langzeitstudie means long-term study.
872. die Lasur | glaze | OK
873. die Latenz | latency | OK
874. der Leasingvertrag | leasing agreement | OK
875. der Leerlauf | no-load operation | IMPROVE: idle/idling - Leerlauf is normally idle or idling.
876. die Leerstelle | argument place/blank space/space | IMPROVE: blank space/gap - Leerstelle means a blank space or gap.
877. die Legalisierung | legalisation | OK
878. die Legionelle | Legionella | OK
879. die Leihfrist | loan deadline | IMPROVE: loan period - Leihfrist is the period allowed for borrowing.
880. das Leistungsniveau | benefit level | WRONG: performance level - Leistungsniveau means performance level.
881. das Leistungsverzeichnis | benefit directory | WRONG: list of services/bill of quantities - Leistungsverzeichnis is a list of services or bill of quantities.
882. die Lektorin | lector | IMPROVE: editor/proofreader - Lektorin is commonly an editor or proofreader.
883. die Lernkurve | learning curve | OK
884. der Lichthof | light corona | WRONG: atrium/light well - Lichthof means an atrium or light well.
885. der Lichtschutzfaktor | sun protection factor | OK
886. der Liedermacher | songwriter | OK
887. der Lieferschein | bordereau/delivery note/docket | OK
888. der Linkshänder | left-hander/lefty/southpaw | OK
889. der Literat | advice | WRONG: writer/literary figure - Literat means a writer or literary figure.
890. der Live | live (broadcast) | OK
891. die Lizenzgebühr | licence fee | OK
892. die Lohnfortzahlung | payment | WRONG: continued payment of wages - Lohnfortzahlung means continued wage payment.
893. die Rendite | return/yield | OK
894. die Löscharbeit | business | WRONG: extinguishing work/firefighting - L?scharbeit means work to extinguish a fire.
895. das Losverfahren | destiny action | WRONG: lottery procedure - Losverfahren means a procedure based on drawing lots.
896. der Luftaustausch | air exchange/exchange of air/renewed supply of air | OK
897. der Luftstrom | air current | OK
898. das Lumen | lumen | OK
899. die Madonna | Virgin Mary | OK
900. das Mahl | meal | OK
901. die Mahnwache | candlelight vigil/protest | OK
902. die Mangelerscheinung | deficiency symptom | OK
903. die Maniküre | manicure/manicurist | OK
904. der Marienkäfer | ladybird/ladybug | OK
905. der Markgraf | margrave | OK
906. das Maschinenwesen | machine engineering | IMPROVE: mechanical engineering - Maschinenwesen is better rendered as mechanical engineering.
907. die Mediendidaktik | didactics | WRONG: media didactics - Mediendidaktik means media didactics.
908. die Meinungsvielfalt | intention diversity | WRONG: diversity of opinion - Meinungsvielfalt means diversity of opinion.
909. das Backhaus | bakehouse | OK
910. die Messi | hoarder (slang)/Messi | OK
911. das Messing | brass | OK
912. die Metallbearbeitung | metalworking | OK
913. die Metrik | metric | OK
914. der Mikrokosmos | microcosm | OK
915. der Millionenbetrag | million absolute value | WRONG: amount in millions - Millionenbetrag means an amount in the millions.
916. die Mitarbeiterzahl | assistant count | WRONG: number of employees - Mitarbeiterzahl means number of employees.
917. die Modulation | modulation | OK
918. die Mordserie | homicide series | IMPROVE: murder series - Mordserie is more naturally a series of murders.
919. der Most | cider/must | OK
920. die Mundhygiene | lips hygiene | WRONG: oral hygiene - Mundhygiene means oral hygiene.
921. die Muskelgruppe | muscle group | OK
922. das Mysterium | enigma/mystery | OK
923. die Mystik | mysticism | OK
924. das Nachbargrundstück | neighbour estate | WRONG: neighbouring property - Nachbargrundst?ck means a neighbouring property.
925. die Nachtwanderung | night walk/walk at night | OK
926. der Nationalist | nationalist | OK
927. das Nationalmuseum | national museum | OK
928. das Naturgesetz | law of nature | OK
929. der Nebenfluss | affluent/tributary | OK
930. die Neuerkrankung | disease | WRONG: new case/new illness - Neuerkrankung means a new case of illness.
931. die Neunzigerjahre | the nineties | OK
932. das Neutron | neutron | OK
933. das Nichtmitglied | non-member | OK
934. die Komplexität | complexity | OK
935. der Nikolaustag | St. Nicholas' Day | OK
936. das Nordlicht | northern light | OK
937. die Obdachlosigkeit | homelessness | OK
938. die Oberschicht | upper class/upper stratum | OK
939. der Oberstaatsanwalt | chief public prosecutor | OK
940. der Öko | eco/eco-friendly person | OK
941. der Olivenbaum | olive boom | WRONG: olive tree - Olivenbaum means olive tree.
942. die Olympiade | Olympiad/Olympics | OK
943. das Opioid | opioid | OK
944. der Optionsschein | warrant | OK
945. die Ortung | localisation | OK
946. das Ostufer | east bank/east shore | OK
947. die Parkbank | park bench | OK
948. der Parlamentspräsident | parliament chairman | IMPROVE: president of parliament - Parlamentspr?sident is normally president of parliament.
949. die Parodontologie | periodontics/periodontologyperiodontology | IMPROVE: periodontology - The current gloss has a duplicated typo.
950. der Passus | passage | OK
951. der Pfiff | whistle | OK
952. der Pflasterstein | cobblestone/flagstone/paving stone | OK
953. die Pfütze | pool/puddle | OK
954. der Pharmakonzern | combine | WRONG: pharmaceutical company - Pharmakonzern means a pharmaceutical company or group.
955. der Bassist | bass guitarist/bass player/bass singer | OK
956. das Piercing | piercing | OK
957. die Pilgerreise | pilgrimage | OK
958. die Pinzette | tweezers | OK
959. der Schatz | treasure/darling | OK
960. das Polieren | polishing | OK
961. das Polizeigesetz | police act | OK
962. das Beben | earthquake | OK
963. die Preissenkung | price descent | WRONG: price reduction - Preissenkung means price reduction.
964. die Presseerklärung | press explanation | WRONG: press release - Presseerkl?rung means press release or press statement.
965. die Privatsammlung | collection | IMPROVE: private collection - Privatsammlung is specifically a private collection.
966. die Projektmanagerin | project manager | OK
967. der Prolog | prolog/prologue | OK
968. die Prosa | prose | OK
969. das Provisorium | temporary arrangement/makeshift | OK
970. das Beisammensein | get-together | OK
971. die Lebensgefährtin | cohabitee/companion/companion in life | OK
972. der Punsch | punch | OK
973. das Puppenhaus | doll's house | OK
974. die Qualitätsstufe | quality degree | WRONG: quality level - Qualit?tsstufe means quality level or grade.
975. die Bemessungsgrundlage | basis for assessment | OK
976. der Quartalsbericht | quarter report | IMPROVE: quarterly report - Quarterly report is the natural English term.
977. die Quere | way (in 'in die Quere kommen') | OK
978. das Radon | radon | OK
979. der Radwanderweg | bicycle trail | OK
980. der Rasierer | razor/shaver | OK
981. die Räumungsklage | removal claim | WRONG: eviction lawsuit - R?umungsklage is a legal action for eviction.
982. die Rebfläche | vineyard | OK
983. der Rechenschaftsbericht | account report | WRONG: accountability report/statement of accounts - Rechenschaftsbericht is a report accounting for actions or finances.
984. die Redensart | idiom/locution/saying | OK
985. der Reigen | round dance | OK
986. die Reiserücktrittsversicherung | trip cancellation insurance | OK
987. das Rekordhoch | record anticyclone | WRONG: record high - Rekordhoch means record high.
988. die Religionspädagogik | religious pedagogics/religious pedagogy | OK
989. die Repräsentanz | dance | WRONG: representative office/representation - Repr?sentanz means representation or a representative office.
990. die Besorgnis | anxiety/apprehension/concern | OK
991. der Rocker | biker/rocker | OK
992. das Rodeln | luge/sledding | OK
993. der Rohstoffpreis | commodity price/price/raw materials | OK
994. die Rollo | roller blind | OK
995. der Rosenmontag | Rose Monday (Carnival) | OK
996. der Rosmarin | rosemary | OK
997. der Rothirsch | red deer | OK
998. die Rückbank | back seat/rear seat | OK
999. die Rückbesinnung | reflection/recollection | OK
1000. das Rückenproblem | back problem | OK
