1. das Schauspiel | drama/play/playhouse | IMPROVE: drama/play — Playhouse is Schauspielhaus, while Schauspiel means drama or play.
557. die Produktionstechnik | production equipment | WRONG: production technology/production engineering — Produktionstechnik means production technology, not production equipment.
558. die Projektion | projection | OK
559. der Punk | punk | OK
560. die Rarität | infrequency/rareness/rarity | OK
561. die Reklamation | claim/complaint/consumer complaint | OK
562. das Relief | relief | OK
563. die Crew | crew | OK
564. der Rückfall | recidivism/relapse | OK
565. die Scham | genitals/shame | OK
566. der Schlafraum | dormitory | OK
567. der Schuppen | joint/shack/shed | OK
568. der Schlag | beat/blow/kind | OK
569. die Senatorin | senator (female) | OK
570. der Siegeszug | series of victories/succession of victories/successive victories | IMPROVE: triumphal advance/success story — Siegeszug usually means a triumphant advance, not just a series of wins.
571. der Spagat | splits | OK
572. die Spielregel | rule of the game | OK
573. die Sportwissenschaft | sports science | OK
574. die Staatsanleihe | government bond | OK
575. der Staatspräsident | president/president of the Republic/president of the State | OK
576. der Straftäter | criminal/delinquent/offender | OK
577. die Strahlentherapie | radiation therapy | OK
578. der Suchende | searcher/seeker | OK
579. das Synonym | convertible terms/equivalent terms/synonym | OK
580. die Tanne | fir | OK
581. der Technologietransfer | technology transfer | OK
582. der Tierversuch | animal experiment | OK
583. das Triebwerk | engine/powerplant | OK
584. die Überforderung | excessive demand/overextension/overload | OK
585. das Ubuntu | Ubuntu (operating system/philosophy) | OK
586. die Umbaumaßnahme | alteration action | WRONG: renovation measure/remodelling measure — Umbauma?nahme means a renovation or conversion measure, not alteration action.
587. der Unterschlupf | shelter | OK
588. die Unterversorgung | undersupply | OK
589. der Unterzeichner | signatory/signer | OK
590. der Verbündete | ally | OK
591. der Verkehrsweg | traffic route/transport route | OK
592. der Verleih | rental | OK
593. die Vermehrung | proliferation/reproduction | OK
594. der Vermerk | comment/endorsement/memo | OK
595. die Verminderung | decrease/decreation/lessening | OK
596. der Vermittlungsausschuss | arbitration committee | IMPROVE: mediation committee — Vermittlungsausschuss is the formal mediation committee, especially in German politics.
597. der Touch | touch | OK
598. die Versprechung | promise | OK
599. die Verstopfung | costiveness/occlusion/plugging | IMPROVE: constipation/blockage — Verstopfung commonly means constipation or blockage; costiveness is obscure.
600. der Vertriebsweg | sales method | WRONG: distribution channel/sales channel — Vertriebsweg means a route to market, not sales method.
601. die Vizepräsidentin | vice president | OK
602. der Vorläufer | forerunner/precursor | OK
603. die Vorratsdatenspeicherung | data preservation/data retention/telecommunications data retention | OK
604. der Wahlgang | ballot/round of voting | OK
605. die Wasserfläche | water area | OK
606. die Weiterbildungsmaßnahme | further education action | WRONG: continuing education measure/training programme — Weiterbildungsma?nahme means a training or continuing education measure, not further education action.
607. die Baugenehmigung | building permission/building permit | OK
608. die Wiedereröffnung | reopening | OK
609. die Wunschliste | wish list/wishlist | OK
610. der Zahlungseingang | payment entrance | WRONG: receipt of payment/incoming payment — Zahlungseingang means payment received, not payment entrance.
611. der Zahlungsverkehr | monetary transactions/payment transactions/payments | OK
612. die Zehe | clove of garlic/toe | OK
613. das Zeichnen | drawing/art | OK
614. die Zeitgeschichte | contemporary history | OK
615. die Zulassungsbescheinigung | certificate of registration/registration certificate | OK
616. die Zusammenkunft | congress/convention/gathering | OK
617. der Zweckverband | point association | WRONG: special-purpose association — Zweckverband is a special-purpose municipal association, not point association.
618. der Abenteuerspielplatz | adventure playground | OK
619. die Abstammung | descent | OK
620. der Abt | abbot | OK
621. die Abwärme | waste heat | OK
622. die Altlast | contaminated land/contaminated site/contaminated waste | OK
623. der Trainee | trainee, graduate | OK
624. der Anschein | appearance/impression | OK
625. das Atmen | breathing | OK
626. die Ausbildungsförderung | education conveyance | WRONG: educational assistance/training funding — Ausbildungsf?rderung means educational or training support, not education conveyance.
627. die Ausfertigung | copy/engrossment | OK
628. das Ausschalten | switching off | OK
629. der Bauchschmerz | abdominal pain/abdominalgia/bellyache | OK
630. die Begehung | ascent/celebration/commission | WRONG: inspection/site visit — Begehung commonly means an inspection or site visit; the listed senses miss that.
631. die Begrifflichkeit | terminology/conceptual framework | OK
632. die Bekanntschaft | acquaintance/acquaintanceship | OK
633. der Berichtszeitraum | report period | OK
634. der Trojaner | Trojan | OK
635. das Bike | bike | OK
636. das Blutkörperchen | blood cell | OK
637. der Borkenkäfer | bark beetle | OK
638. der Börsengang | initial public offering | OK
639. die Bratwurst | bratwurst/fried sausage | OK
640. das Bruttoinlandsprodukt | gross domestic product | OK
641. der Clown | clown | OK
642. der Datentransfer | data transfer | OK
643. der Einkaufswagen | shopping cart/shopping trolley | OK
644. der Elan | go/vigor/vim | OK
645. die Elektrifizierung | electrification | OK
646. die Elternschaft | parents/parent body | WRONG: parenthood — Elternschaft means parenthood, not parents as a group.
647. der Endeffekt | end effect | OK
648. der Energieberater | energy adviser | OK
649. die Energieerzeugung | energy creation | WRONG: energy generation/power generation — Energieerzeugung means generation of energy, not energy creation.
650. das Energiesparen | energy saving | OK
651. der Energiespeicher | energy storage | OK
652. die Erfolgsaussicht | success outlook | WRONG: prospect of success — Erfolgsaussicht means prospect of success, not success outlook.
653. die Ermordung | assassination/murder | OK
654. die Exposition | exposition/show | OK
655. das Fachmagazin | trade magazine/specialist magazine | OK
656. der Fachunterricht | subject teaching/specialized instruction | OK
657. der Feldweg | field path/dirt road | OK
658. die Festigkeit | decidedness/firmness/rigidity | OK
659. das Flächenland | area country | WRONG: territorial state/non-city state — Fl?chenland is a territorial federal state, contrasted with a city-state.
660. das Forschungsthema | research subject | OK
661. das Frauenhaus | women's shelter | OK
662. die Freeware | freeware | OK
663. der Deich | dike | OK
664. der Desktop | desktop/desktop computer | OK
665. das Gästezimmer | guest room | OK
666. der Geldgeber | investor/sponsor | OK
667. das Genießen | enjoying/enjoyment | OK
668. die Genossenschaftsbank | cooperative bank | OK
669. die Grabstätte | gravesite | OK
670. die Haftstrafe | imprisonment | OK
671. der Handelspartner | commercial partner/trade partner/trading partner | OK
672. der Hauptausschuss | main committee | OK
673. das Herzogtum | duchy/dukedom | OK
674. der Hesse | Hessian | OK
675. die Honigbiene | honey bee | OK
676. der Informationsstand | information booth | OK
677. das Innenleben | inner feelings/inner workings | OK
678. das Investitionsprogramm | investment channel | WRONG: investment programme/investment program — Investitionsprogramm means an investment programme, not investment channel.
679. das Jahrbuch | yearbook | OK
680. die Jahreshauptversammlung | annual general meeting | OK
681. der Draht | cable/wire | OK
682. der Juror | juror | OK
683. der Käfig | cage | OK
684. die Kandidatur | nomination | WRONG: candidacy/candidature — Kandidatur is the state or act of standing as a candidate, not nomination.
685. die Kaserne | barracks | OK
686. die Kinderseite | child angle | WRONG: children's page — Kinderseite means a page for children, not child angle.
687. die Kirchensteuer | church tax | OK
688. das Konstrukt | construct | OK
689. die Kreissparkasse | district savings bank | OK
690. die Küchenmaschine | food processor | OK
691. die Kulturpflanze | crop/crop plant | OK
692. die Kunstakademie | academy of arts | OK
693. die Kunstsammlung | art collection | OK
694. die Lebensführung | life command | WRONG: lifestyle/way of life — Lebensf?hrung means way of life, not life command.
695. der Leerstand | vacancy | OK
696. der Leistungskurs | intensive course | WRONG: advanced course — Leistungskurs is an advanced school course, not an intensive course.
697. der Leistungsnachweis | benefit certificate | WRONG: proof of achievement/performance record — Leistungsnachweis means proof of performance, not benefit certificate.
698. das Lernmaterial | educational material/learning material | OK
699. die Lesbarkeit | readability | OK
700. die Liebesgeschichte | love affair/love story/romance | OK
701. die Literaturwissenschaft | literary studies | OK
702. die Liturgie | liturgy | OK
703. der Trubel | hurly-burly | OK
704. der Luftdruck | air pressure/atmospheric pressure | OK
705. das Luxushotel | luxury hotel | OK
706. der Mainstream | mainstream | OK
707. das Halbfinale | semi-final | OK
708. die Metro | metro/subway | OK
709. der Mist | crap/dung/manure | OK
710. der Historiker | historian | OK
711. das Mittelgebirge | low mountains/low-mountain region | OK
712. das Mobiliar | furniture/furnishings | OK
713. der Naturschützer | conservationist | OK
714. die Verlässlichkeit | dependability/reliability | OK
715. die Niederschlagsmenge | precipitation/rainfall | OK
716. der Nistkasten | box | WRONG: nesting box/birdhouse — Nistkasten means a nesting box, not a generic box.
717. die Oberseite | upper side/top side | OK
718. die Organisationseinheit | organisation item | WRONG: organizational unit — Organisationseinheit means organizational unit, not organisation item.
719. das Dreieck | triangle | OK
720. die Privatisierung | privatisation | OK
721. die Probefahrt | test drive | OK
722. der Prostituierte | male prostitute | OK
723. die Prozedur | procedure | OK
724. die Radikalisierung | radicalisation | OK
725. die Reaktionszeit | reaction time/response time | OK
726. der Review | review | OK
727. das Richtfest | topping out | OK
728. der Rohbau | shell/structural building work | OK
729. der Rosengarten | rose garden | OK
730. das Rudel | pack | OK
731. der Saalbau | hall building | OK
732. die Leiche | body/cadaver/carcass | OK
733. der Schaum | foam/froth/lather | OK
734. der Schluck | drop/gulp/sip | OK
735. das Schulprogramm | school channel | WRONG: school programme/school program — Schulprogramm means a school programme, not a school channel.
736. die Selbstverpflichtung | commitment/self-commitment | OK
737. der Sozialismus | socialism | OK
738. die Führe | route | OK
739. der Spitzenplatz | top spot/leading position | OK
740. das Sportfest | sports meeting | OK
741. der Sportunterricht | physical education/sports lessons | OK
742. die Sportveranstaltung | sport event | OK
743. das Standbein | mainstay | OK
744. die Stimmabgabe | voice casting | WRONG: voting/casting a vote — Stimmabgabe means casting a vote, not voice casting.
745. das Versteck | hiding place | OK
746. der Stromausfall | blackout/power cut/power failure | OK
747. die Stube | parlour/room | OK
748. die Tageskarte | carte du jour/menu du jour/menu of the day | IMPROVE: day ticket/day pass; daily menu — Tageskarte often means a day ticket or daily menu, so the current menu-only entry is too narrow.
749. die Tapete | wallpaper | OK
750. die Taxis | taxis | OK
751. das Tiergehege | animal enclosure | OK
752. die Überführung | command | WRONG: transfer/overpass — ?berf?hrung means transfer or overpass, not command.
753. die Übersichtlichkeit | clarity | OK
754. die Unkenntnis | ignorance | OK
755. die Unterrichtung | instruction/information | OK
756. der Verfall | decadence/decay/depreciation | OK
757. die Verkaufsfläche | sale area | OK
758. die Versicherungspflicht | affirmation business | WRONG: compulsory insurance/insurance obligation — Versicherungspflicht means an obligation to have insurance, not affirmation business.
759. die Versuchung | temptation | OK
760. der Viertklässler | fourth-grader | OK
761. die Volksrepublik | People's Republic | OK
762. das Volontariat | traineeship/internship | OK
763. die Vorstufe | preamplifier | WRONG: preliminary stage — Vorstufe means a preliminary stage, not a preamplifier in general use.
764. die Wachstumsrate | growth rate | OK
765. die Wasseroberfläche | surface of the water/water surface | OK
766. die Weihnachtsferien | Christmas holidays | OK
767. die Wellenlänge | wavelength | OK
768. die Weltwirtschaft | world economy | OK
769. der Generalsekretär | General Secretary/secretary general | OK
770. die Yacht | yacht | OK
771. der Zeitgenosse | contemporary | OK
772. das Zink | zinc/zinc (metal) | OK
773. die Zufuhr | supply/intake/feed | OK
774. die Vorsorgeuntersuchung | medical checkup/preventive checkup/screening | OK
775. der Zweikampf | duel/tackle | OK
776. das Waschbecken | sink/wash-basin | OK
777. der Ägypter | Egyptian | OK
778. der Albtraum | bad dream/nightmare | OK
779. die Alltagssituation | everyday situation | OK
780. die Anbaufläche | cultivation area | OK
781. die Anfangsphase | first phase/initial phase | OK
782. die Anspielung | allusion/innuendo/insinuation | OK
783. das Arbeitszeitmodell | hours of work model | IMPROVE: working-time model/work schedule model — Arbeitszeitmodell is idiomatically a working-time model.
784. der Artgenosse | conspecific | OK
785. die Ärzteschaft | medical fraternity | IMPROVE: medical profession — ?rzteschaft means the medical profession; fraternity is dated and gendered.
786. der Ausläufer | offshoot | OK
787. das Ausrufezeichen | exclamation mark/exclamation point | OK
788. das Ballungsgebiet | congested area/conurbation | OK
789. die Bearbeitungsgebühr | adaptation fee | WRONG: processing fee — Bearbeitungsgeb?hr means processing fee, not adaptation fee.
790. der Beistand | aid/assistance/counsel | OK
791. die Bestnote | top mark | OK
792. die Bestzeit | best time/record time | OK
793. das Beten | praying | OK
794. der Betreuungsplatz | care place/childcare slot | OK
795. der Biker | biker | OK
796. das Bildungswesen | education system | OK
797. die Birke | birch | OK
798. die Bronzemedaille | bronze medal | OK
799. der Bundesanzeiger | federal gazette | OK
800. die Charakterisierung | characterisation | OK
801. die Arbeitsbedingung | working condition | OK
802. der Dämon | daemon/demon | OK
803. der Delfin | Delphinus/butterfly stroke/dolphin | OK
804. der Diktator | dictator | OK
805. der Dinosaurus | dinosaur | OK
806. die Diskrepanz | discrepancy | OK
807. die Eheleute | married couple | OK
808. das Empfinden | feeling/sensation | OK
809. die Empörung | indignation/insurrection/rebellion | OK
810. das Entfernen | removing/removal | OK
811. die Entgeltgruppe | remuneration group | OK
812. die Entwässerung | drainage | OK
813. der Entwicklungsstand | state of development | OK
814. die Erdkunde | geography | OK
815. die Erneuerbare | renewable energy | OK
816. die Erstaufnahmeeinrichtung | original recording design | WRONG: initial reception centre/initial reception facility — Erstaufnahmeeinrichtung means an initial reception facility, not original recording design.
817. das Fahrgeschäft | ride | OK
818. die Färbung | slant/slanting view | WRONG: colouring/colouration — F?rbung means colouring or colouration, not slant.
819. die Fehlbildung | creation | WRONG: malformation — Fehlbildung means malformation, not creation.
820. der Fischotter | Eurasian otter/European otter/otter | OK
821. die Fixierung | fixation | OK
822. das Folkwang | Folkwang (university/museum name) | OK
823. die Freisetzung | layoff/liberation/release | OK
824. der Freitagnachmittag | Friday afternoon | OK
825. das Fundraising | fundraising | OK
826. das Gastland | guest nation/host country | OK
827. das Gefälle | decline/downward slope | OK
828. die Geheimhaltung | concealment/secrecy | OK
829. der Geliebte | beloved/lover | OK
830. die Geselligkeit | sociability/conviviality | OK
831. die Glasflasche | glass bottle | OK
832. der Golfclub | golf club | OK
833. der Golfplatz | golf course | OK
834. der Graffito | graffito | OK
835. das Hauptfach | main subject/major | OK
836. die Hauptursache | main cause | OK
837. das Heu | hay | OK
838. der Hofladen | farm shop | OK
839. der Hub | lift | OK
840. die Impfung | vaccination | OK
841. die Initiativbewerbung | speculative application/unsolicited application | OK
842. der Insolvenzverwalter | liquidator/receiver/trustee in banktruptcy | OK
843. die Intensivierung | crossing | WRONG: intensification — Intensivierung means intensification, not crossing.
844. der Item | item | OK
845. der Jahresbeitrag | annual fee | OK
846. das Kap | cape | OK
847. das Kinderspiel | child's play/piece of cake | OK
848. die Klarstellung | clarification | OK
849. die Geographie | geography | OK
850. der Kölner | inhabitant of Cologne/native of Cologne | OK
851. die Wespe | wasp | OK
852. das Lehrjahr | apprenticeship year | OK
853. die Lernzeit | study time/learning period | OK
854. die Liegewiese | sunbathing lawn | OK
855. der Mac | mac | OK
856. das Maul | mouth/muzzle/snout (of an animal) | OK
857. der Mechatroniker | mechatronics engineer | OK
858. die Meisterin | champion (female)/master craftswoman | OK
859. das Menschenbild | view of humanity/image of humankind | OK
860. der Merkzettel | note | OK
861. das Milligramm | milligramm | IMPROVE: milligram — The current English has a spelling error.
862. der Ministerrat | council of ministers/state government | OK
863. die Missachtung | contempt/disregard/flouting | OK
864. die Nachrüstung | armour | WRONG: retrofitting/upgrading — Nachr?stung means retrofitting or upgrading, not armour.
865. der Nenner | denominator | OK
866. die Neugründung | reestablishment | WRONG: new foundation/new establishment — Neugr?ndung means founding anew, not reestablishment.
867. der Normalfall | normal case | OK
868. die Ostküste | east coast | OK
869. der Palästinenser | Palestinian | OK
870. das Pendel | pendular/pendulum | OK
871. der Perspektivwechsel | perspective bill of exchange | WRONG: change of perspective — Perspektivwechsel means a change of perspective, not a bill of exchange.
872. das Pflegegeld | care benefit/care allowance | OK
873. die Pflegestufe | care degree | IMPROVE: care level — Pflegestufe is the established care level category.
874. der Plenarsaal | plenary chamber | OK
875. die Privatschule | public school | WRONG: private school — Privatschule means private school; public school is misleading for most learners.
876. die Eleganz | elegance/snazziness | OK
877. der Receiver | receiver | OK
878. die Reederei | shipping company | OK
879. das Referendum | referendum | OK
880. der Riff | reef | OK
881. der Rückflug | flight | IMPROVE: return flight — R?ckflug specifically means the return flight.
882. der Sachstand | state of affairs | OK
883. der Samstagnachmittag | Saturday afternoon | OK
884. der Scan | scan | OK
885. die Maske | mask | OK
886. die Schatzsuche | treasure hunt | OK
887. der Scherz | joke | OK
888. die Schlüsseltechnologie | key technology | OK
889. das Neugeborene | newborn | OK
890. die Schulkonferenz | school conference | OK
891. der Screen | screen | OK
892. das Erbrechen | regurgitation | WRONG: vomiting — Erbrechen means vomiting; regurgitation is a narrower medical process.
893. die Sicherheitslage | security situation | OK
894. die Silhouette | silhouette | OK
895. das Sonderzeichen | special character | OK
896. die Sonnencreme | sun creme/sunblock/suntan cream | OK
897. die Sozialkompetenz | social competence | OK
898. der Sperrmüll | bulky refuse/bulky waste | OK
899. der Spielplan | schedule/fixture list | OK
900. der Spinat | spinach | OK
901. die Spitzenposition | leading position | OK
902. das Spurenelement | lane element | WRONG: trace element — Spurenelement means trace element, not lane element.
903. der Stammkunde | patron/regular customer | OK
904. das Sternchen | asteric/asterisk/star | OK
905. das Sternzeichen | zodiac sign | OK
906. die Stilllegung | shutdown/decommissioning | OK
907. die Streichung | cancellation/cutting | OK
908. die Stromkosten | electricity costs/power costs | OK
909. die Vorführung | demonstration/performance/showing | OK
910. der Terroranschlag | terrorist attack | OK
911. das Tesla | tesla | OK
912. der Thermostat | thermostat | OK
913. der Todestag | deathday | WRONG: anniversary of death/date of death — Todestag means the date or anniversary of death, not deathday.
914. die Tragfähigkeit | load-bearing capacity | OK
915. der Traumberuf | dream job | OK
916. das Wiki | wiki | OK
917. der Triumph | triumph | OK
918. die Umweltverträglichkeitsprüfung | audit | WRONG: environmental impact assessment — Umweltvertr?glichkeitspr?fung means environmental impact assessment, not audit.
919. die Universitätsklinik | university clinic | OK
920. die Unmenge | huge amount/plethora | OK
921. das Unterfangen | undertaking | OK
922. die Unterhaltungselektronik | consumer electronics | OK
923. das Unverständnis | lack of understanding | OK
924. die Veredelung | ennoblement/ennobling/finishing | OK
925. das Verlagshaus | publishing house | OK
926. die Verschärfung | tightening/intensification | OK
927. die Versicherungsgesellschaft | insurance company | OK
928. die Vertragspartei | party | OK
929. der Videoclip | music video | IMPROVE: video clip — Videoclip means a video clip generally; music video is only one use.
930. die Vogelwelt | birdlife/world of birds | OK
931. die Vollstreckung | execution | IMPROVE: enforcement — Vollstreckung is legal enforcement; execution can mislead toward capital punishment.
932. die Vollzeitstelle | full-time position | OK
933. die Vorauswahl | assortment | WRONG: preselection/shortlist — Vorauswahl means preselection, not assortment.
934. der Vormarsch | advance | OK
935. der Wasservogel | water bird/waterfowl | OK
936. das Wetten | betting | OK
937. die Zeche | bill/mine | OK
938. der Zelte | tents | OK
939. der Zerfall | decay/decline/disintegration | OK
940. die Zweigstelle | branch office | OK
941. die Ablage | storage | OK
942. die Abschrift | copy/manuscript/transcript | OK
943. die Abtei | abbey | OK
944. die Ackerfläche | acre area | WRONG: arable land/cultivated area — Ackerfl?che means arable land or field area, not acre area.
945. die Agrarwirtschaft | agriculture | OK
946. der Anästhesist | anaesthetist | OK
947. der Sportverein | sports club | OK
948. das Ausstellungsstück | exhibition piece | OK
949. der Ausstoß | emission/output/production | OK
950. die Barmherzigkeit | charity/mercy/tenderheartedness | OK
951. das Bauamt | building authority | OK
952. das Baumhaus | treehouse | OK
953. die Beanspruchung | strain/demand | OK
954. das Behältnis | case | IMPROVE: container/receptacle — Beh?ltnis means a container; case is too narrow.
955. die Betriebsvereinbarung | business agreement | WRONG: works agreement/company agreement — Betriebsvereinbarung is a workplace agreement, not a generic business agreement.
956. das Blockheizkraftwerk | cogeneration unit | OK
957. der Bodenschutz | soil conservation | OK
958. die Fahrerlaubnis | driving licence | OK
959. das Fünftel | fifth | OK
960. die Christin | Christian | OK
961. die Computertomographie | computed tomography | OK
962. das Derby | derby/local derby | OK
963. die Digitalkamera | digital camera | OK
964. die Dorfkirche | village church | OK
965. die Düne | dune/sand dune | OK
966. das Durchhaltevermögen | assets | WRONG: stamina/perseverance — Durchhalteverm?gen means stamina or perseverance, not assets.
967. das Ego | ego | OK
968. das Eigelb | egg yolk | OK
969. die Eigentümerin | proprietor | OK
970. der Abbruch | abort/abortion/breaking off | OK
971. die Energiegewinnung | energy production | OK
972. die Entwicklungsphase | development phase | OK
973. der Zauber | magic | OK
974. der Zoom | zoom | OK
975. der Ergotherapeut | therapist | IMPROVE: occupational therapist — Ergotherapeut specifically means occupational therapist, not therapist in general.
976. der Europameister | champion | IMPROVE: European champion — Europameister specifically means European champion.
977. der Extrakt | abstract/essence/extract | OK
978. der Facharbeiter | craftsman | IMPROVE: skilled worker — Facharbeiter means a skilled worker; craftsman is too narrow.
979. der Fachhändler | specialist dealer/specialist retailer | OK
980. das Fahrradfahren | cycling | OK
981. der Fahrschein | ticket | OK
982. das Familienfest | family celebration | OK
983. die Ferienzeit | holiday time | OK
984. die Flusslandschaft | river landscape/riverscape | OK
985. das Forschungsgebiet | research area | OK
986. die Gebietskörperschaft | area body | WRONG: regional authority/local authority — Gebietsk?rperschaft means a territorial public authority, not area body.
987. der Antrieb | drive/impetus | OK
988. die Gemeindeordnung | municipality order | WRONG: municipal code/municipal regulations — Gemeindeordnung means municipal code or regulations, not municipality order.
989. die Gesamtbevölkerung | total population | OK
990. das Gesamtjahr | full year | OK
991. der Grundgedanke | basis idea | OK
992. die Grundsteinlegung | groundbreaking/laying the first stone | OK
993. der Gruppenraum | group room | OK
994. der Gummi | elastic/eraser/johnny | IMPROVE: rubber/eraser/condom — Gummi primarily means rubber; the current set omits that central meaning.
995. der Gynäkologe | gynaecologist | OK
996. die Handlungsfähigkeit | act ability | WRONG: capacity to act/legal capacity — Handlungsf?higkeit means capacity to act, not act ability.
997. der Heimwerker | handyman | OK
998. die Befugnis | authority/competence | OK
999. der Hocker | stool | OK
1000. der Hundehalter | dog holder | WRONG: dog owner — Hundehalter is the person keeping or owning a dog, not dog holder.
